Location and Name of Building in which Polling Station located,Total_Booths_In_Locality,Dominant_Party,Dominant_Party_Booths_Won
"Panchayat Union Ele.School, West Block, Silamalai",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Ele.School, Western Side, Rasingapuram",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Ele.School,South Building, North Facing, Silamalai",1,All India Anna Dravida Munnetra Kazhagam,1
"Panchayat Union Elementary School, Eastern Side Kottaipatti",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Elementary School, New Building North Side. Ramakrishnapuram",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Elementary School, Oothukadu",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Elementary School, Western Side, Kottaipatti",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Middle School  , North Block, Manapatti, Bodimettu",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Middle School , B.Maniyampatti",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Middle School,       SSA Building West Side, B.Ammapatti",1,All India Anna Dravida Munnetra Kazhagam,1
"Panchayat Union Middle School, Additional Building, Thadichery",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Middle School, Ayyampatti",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Middle School, East
Facing, North West Building, Chinnapottipuram",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Middle School, Eastern
Side, First Building, Thadichery",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Middle School, Eastern Building, Upparpatti.",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Middle School, Kurangani",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Middle School, New Building,  North Facing, Center Room, Valayapatti",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Middle School, New Building,  West Side, Thimminayakkanpatti",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Middle School, New Building,South Side Aranmanaipudur",1,All India Anna Dravida Munnetra Kazhagam,1
"Panchayat Union Middle School, North Building, Central Zone, Aranmanaipudur",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Middle School, North New Building, Balakrishnapuram",1,All India Anna Dravida Munnetra Kazhagam,1
"Panchayat Union Middle School, North New Building, Muthuthevanpatti",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Middle School, North Side Building, B.Dharmathupatti",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Middle School, North Side, Ayyampatti",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Middle School, Northern
Side, T.Puthukottai",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Middle School, Old Building, North Side, South Facing Room, Valayapatti",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Middle School, South Building, Ambasamuthram",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Middle School, South Building, Kattunayakkanpatti",1,Tamilaga Vettri Kazhagam,1
