serial no. of polling station,location_clean,building_clean,polling areas,Winner_Party,Margin_Percentage
189,Villapuram,"Gugan Nursery and Primary School, South Portion","1 - Madurai (C) Avaniyapuram (TP), Avaniyapuram Housing Board Villapuram Kudiyiruppu Ward 84(Part No 157.S.No.1082 to 1481), (Part No 159.S.No.693 to 792)
2.Madurai(C) Avaniapuram (Tp) Muthu Mariamman Kovil Street Villapuram Ward 90,
3.Madurai (C) Avaniapuram (TP) Avaniyapuram Housing Board Villapuram Kudiyiruppu Ward 84",tamilaga vettri kazhagam,16.20879120879121
190,"My Madurai Play School North Side Project Room
Avaniyapuram -625012","My Madurai Play School North Side Project Room
Avaniyapuram -625012","1 - Madurai (C) Avaniyapuram (TP), Avaniyapuram Housing Board Villlapuram Kudiyiruppu Ward
84(S.No.1 to 934)",tamilaga vettri kazhagam,16.0
192,"My Madurai Play School Center UKG Room Avaniyapuram -
625012","My Madurai Play School Center UKG Room Avaniyapuram -
625012","1 - Madurai (C) Avaniyapuram (TP), Housing Board Villapuram Colony Ward 84(S.No.1 to 971)",tamilaga vettri kazhagam,18.95652173913044
193,-625012,"Community Hall, South Building Center Portion, TNHB
Colony Villapuram",1.Madurai (C) Avaniyapuram(Tp Housing Board Villapuram Colony Ward 84,tamilaga vettri kazhagam,15.10695187165775
194,"North Portion M M C
Colony Avaniyapuram-625012",Panchayat Union Elementary Schoo,"1.Madurai (C) Avaniyapuram (TP) M.M.C Colony Ward 92,
2.Madurai (C) Avaniyapuram (TP) Avaniapuram Ilayaraja Nagar Ward 84,",tamilaga vettri kazhagam,16.4461247637051
195,west Portion Avaniyapuram-625012,"Government Higher Secondary School ,Southern Side, West
Building","1 - Madurai (C) Avaniyapuram (TP), Avaniapuram Housing Board Colony Ward 84 (S.No.1 to
1047)",tamilaga vettri kazhagam,14.23076923076923
196,Avaniyapuram-625012,"Government Higher Secondary School, South Side, Centre
Building, X Class Room",1.Madurai (C) Avaniyapuram(Tp) Avaniapuram Housing Board Colony Ward 84,tamilaga vettri kazhagam,15.42372881355932
197,"MMC Colony
Avaniyapuram-625012",Panchayat Union Elementary School,"1.Madurai (C) Avaniyapuram(Tp) M M C Colony 2nd Street Ward 92
2.Madurai (C) Avaniapuram (TP) Avaniapuram Housing Board Colony Ward 84",tamilaga vettri kazhagam,19.83695652173913
198,Avaniyapuram-625012,"Government Higher Secondary School, SSA New Building, Training Hall, Northern Side","1.Madurai (C) Avaniapuram (TP) Housing Board Colony Villapuram Ward 84, 2.Madurai(C) Avaniapuram (Tp) Vivekanandar Street Ward 91,
3.Madurai(C) Avaniapuram (Tp) Hariharan Street Ward 91",tamilaga vettri kazhagam,26.40750670241287
201,Karpagam Nagar Avaniyapuram,"Vani Nursury and Primary School, East Building","1.Madurai (C) Avaniyapuram (Tp) M M C Colony Ward 84,
2.Madurai (C) Avaniyapuram(Tp) S R Soap Company Street Ward 91,
3.Madurai (C) Avaniyapuram(Tp) Ramraj Nagar Ward 91, 4.Madurai(C) Avaniapuram (Tp) Gomatha Street Ward 91",tamilaga vettri kazhagam,29.08863920099875
220,Avaniapuram-625012,"Koodakovil Nachippa Nadar Guruvammal Matriculation School ,Middle Building, Centre Portion (south)","1.Madurai (C) Avaniapuram (TP) Meenakshi Nagar Main Road Ward 91,
2.Madurai (C) Avaniapuram (TP) Chockalingam 1st Street Ward 91,
3.Madurai (C) Avaniapuram (TP) Vilakku Street 90,
4.Madurai (C) Avaniapuram (TP) Sanga Viniyagar Street Ward 90,
5.Madurai (C) Avaniapuram (TP) Nadanagopal Street Flat No1 Ward 91
6.Madurai (C) Avaniapuram(Tp) Meenakshi Nagar 5th Street Ward 91 7.Madurai(C) Avaniapuram (Tp) Meenakshi Nagar 1st Cross Street Ward 91",tamilaga vettri kazhagam,24.0983606557377
223,Avaniapuram-625012,"Zion Good Shepherd Matric Hr Sec School, I Std Class Room,
Aruppukkottai Main Road","1 - Madurai (C) Avaniyapuram (TP), Parasakthi Nagar Ward 91 (S.No.1027 to 1526)
2.Madurai (C) Avaniapuram (TP) Parasakthi Nagar(Mamen Colony Ward 91",tamilaga vettri kazhagam,22.0554272517321
