serial no. of polling station,location_clean,building_clean,polling areas,Winner_Party,Margin_Percentage
102,Near H M Room Pasumalai-625004,"Pasumalai Higher Secondary School, Main Building, Eastern Side","1.Madurai (C) Thirupparankundram (Tp) Krishnapuram West Street Ward 93,
2.Madurai (C) Thirupparankundram (Tp) Krishnapuram 1st West Street Ward93
3.Madurai (C) Thirupparankundram (Tp) Krishnapuram 2nd West Street Ward93
4.Madurai (C) Thirupparankundram (Tp) Krishnapuram 3rd West Street Ward93
5.Madurai (C) Thirupparankundram (Rv) Krishnapuram 1st South Street Ward93
6.Madurai (C) Thirupparankundram (Tp) Krishnapuram 2nd South Street Ward93
7.Madurai (C) Thirupparankundram (Tp) Thevamar 1st Street Ward 93
8.Madurai (C) Thirupparankundram (Tp) Devamar 2nd Street Ward 93
9.Madurai (C) Thirupparankundram (Tp) Krishnapuram Manthaiyamman Koil Street Ward 93
10.Madurai (C) Thirupparankundram (Tp) Krishnapuram Ward 93",tamilaga vettri kazhagam,1.373283395755306
103,Near Correspondent Room Pasumalai-625004,"Pasumalai Higher Secondary School, Main Building, Western Side","1.Madurai (C) Thirupparankundram (Tp) Jonespuram 1st Street Ward 93,
2.Madurai (C) Thirupparankundram (Tp) Jonespuram Cross Road Ward 93
3.Madurai (C) Thirupparankundram (Tp) Jonespuram 2nd Street Ward 93
4.Madurai (C) Thirupparankundram (Tp) Jonespuram 3rd Street Ward 93
5.Madurai (C) Thirupparankundram (Tp) Jonespuram 4th Street Ward 93
6.Madurai (C) Thirupparankundram (Tp) Ambedkhar Nagar 1st Street Ward93
7.Madurai (C) Thirupparankundram (Tp) Ambedkhar Nagar 2nd Street Ward93
8.Madurai (C) Thirupparankundram (Tp) Ambedkhar Nagar Main Street Ward93",dravida munnetra kazhagam,1.166180758017493
104,Near A H M Room Pasumalai-625004,"Pasumalai Higher Secondary School, Main Building, North Side, Eastern Portion","1.Madurai (C) Thirupparankundram (Tp) Ambedkhar Nagar Vilacheri Road Ward 93,
2.Madurai (C) Thirupparankundram (Tp) New Ambedkhar Nagar Ward 93,
3.Madurai (C) Thirupparankundram (Tp) New Ambedkhar Nagar 2nd Street Ward 93,
4.Madurai (C) Thirupparankundram (Tp) New Ambedkhar 3rd Street Ward 93,
5.Madurai (C) Thirupparankundram (Tp) Old Vilacheri RoadWard 93",tamilaga vettri kazhagam,10.51212938005391
105,Pasumalai-625004,"Pasumalai Higher Secondary School, Main Building, North Side, Western Portion","1.Madurai (C) Thirupparankundram (TP) Seminari Line Pasumalai Ward 93,
2.Madurai (C) Thirupparankundram (TP) Malligai Nagar Pasumalai Ward 93,
3.Madurai (C) Thirupparankundram (TP) Nalla Samariyan Nagar Ist Street Pasumalai Ward 93,
4.Madurai (C) Thirupparankundram (TP) Perakka Nagar 2nd Street Pasumalai Ward 93,
5.Madurai (C) Thirupparankundram (TP) Perakka Nagar Pasumalai Ward 93,
6.Madurai (C) Thirupparankundram (TP) Perakka Nagar 3rd Street Pasumalai Ward 93,
7.Madurai (C) Thirupparankundram (TP) Vinayagar Cross Street Pasumalai Ward 93,
8.Madurai (C) Thirupparankundram (TP) Nylon Nagar Pasumalai Ward 93",dravida munnetra kazhagam,4.457652303120357
106,Room No 5 Pasumalai-625004,"Pasumalai Higher Secondary School, Main Building, North Side","1.Madurai (C) Thirupparankundram (TP) Moota Colony 1st Street Ward 93,
2.Madurai (C) Thirupparankundram (TP) Moota Thottam Ward 93,
3.Madurai (C) Thirupparankundram (TP) Gopalsamy Nagar Moota Colony Ward 93,
4.Madurai (C) Thirupparankundram (TP) Arthi Hotel Backside Woodlands Furniture Opposite Ward 93,
5.Madurai (C) Thirupparankundram (TP) Vinayagar Nagar West Moolakarai Pasumalai Ward 93,
6.Madurai (C) Thirupparankundram (TP) GST Road Pasumalai Ward 93,
7.Madurai (C) Thirupparankundram (TP) GST Road Best House Pasumalai Ward 93,
8.Madurai (C) Thirupparankundram (TP) GST Road Murphy Hostel Compound Pasumalai Ward 93,
9.Madurai (C) Thirupparankundram (TP) Teachers Quarters Pasumalai Ward 93,
10.Madurai (C) Thirupparankundram (TP) Teachers Quarters CSI Church Compound Ward 93",tamilaga vettri kazhagam,4.559748427672956
107,Room No 6 Pasumalai-625004,"Pasumalai Higher Secondary School, Main Building, North Side","1.Madurai (C) Thirupparankundram (TP) Elango Street Pasumalai Ward 93,
2.Madurai (C) Thirupparankundram (Tp) Ambedkhar Nagar 3rd Street Ward 93,
3.Madurai (C) Thirupparankundram (Tp) Rayappan Nagar Pasumalai Ward 93,
4.Madurai (C) Thirupparankundram (TP) Rice Mill Street Pasumalai Ward 93,
5.Madurai (C) Thirupparankundram (TP) Kambar Street Pasumalai Ward 93,",tamilaga vettri kazhagam,9.135399673735726
115,Near Staff Room No 1 Thiruparankundram-625005,"Andavar Subramaniya swamy Girls Higher Secondary School, East Building, Southern Portion","1.Madurai (C) Thirupparankundram (TP) Mani Street Kodanki Thoppu Street Ward 97,
2.Madurai (C) Thirupparankundram (TP) East Lane 1 Kodanki Thoppu Street Ward 97,
3.Madurai (C) Thirupparankundram (TP) East Lane Ward 97,
4.Madurai (C) Thirupparankundram (TP) East Lane Ward 97,
5.Madurai (C) Thirupparankundram (TP) West Lane 1st Kodanki Thoppu Ward 97,
6.Madurai (C) Thirupparankundram (TP) West Lane Ward 97,
7.Madurai (C) Thirupparankundram (TP) Vinayakar Kovil Lane Kodanki Thoppu Ward 97,
8.Madurai (C) Thirupparankundram (TP) Palani Andavar Kovil Street Ward 97",tamilaga vettri kazhagam,3.03030303030303
116,Thiruparankundram-625005,"Andavar Subramaniya swamy Girls Higher Secondary School, East Building, Room No 4","1.Madurai (C) Thirupparankundram (TP) Ricemil Street Kodanki Thoppu Ward 97,
2.Madurai (C) Thirupparankundram(TP) Big Car Streeti Ward 97,
3.Madurai (C) Thirupparankundram (Tp) Subramaniyar Street Ward 99,
4.Madurai (C) Thirupparankundram (Tp) Melappachery Ward 99 ,",tamilaga vettri kazhagam,6.010230179028133
119,Tiruparankundram-625005,"Panchayat Union Elementary School , North Portion, ( Kottai School) Behind RI Quarters","1.Madurai (C) Thirupparankundram (TP) Sannasi Kinatru Street Ward 97,
2.Madurai (C) Thirupparankundram (TP) Thirumathil Lane Ward 97,
3.Madurai (C) Thirupparankundram (TP) Kottai Street Ward 97,",tamilaga vettri kazhagam,0.1930501930501931
120,Tiruparankundram-625005,"Panchayat Union Elementary School , South Portion, ( Kottai School) Behind RI Quarters","1.Madurai (C) Thirupparankundram (TP) Big Car Street Ward 97,
2.Madurai (C) Thirupparankundram (TP) Parayanmalai Ward 97",tamilaga vettri kazhagam,8.460236886632826
