serial no. of polling station,location and name of building in which polling station located,polling area,Winner_Party,Margin_Percentage
177,"Chennai Urudu Primary School, Maduraisamy Madam Street, Sembium, Ch-11","1 - Sembium [ Ward No.67 ] Madurai Samy Madam Main Road
2 - Sembium [ Ward No.67 ] Madurai Samy Madam Huts",tamilaga vettri kazhagam,7.261724659606656
181,"Chennai Urudu Primary School, Maduraisamy Madam Street, Sembium, Chennai-11","1 - Sembium [ Ward No.67 ] Madurai Samy Madam Lane (East Street)
2 - Sembium [ Ward No.67 ] Madurai Samy Madam Lane
3 - Sembium [ Ward No.67 ] Balamurugan Street",dravida munnetra kazhagam,2.537313432835821
182,"Chennai Urudu Primary School, Maduraisamy Madam Street, Sembium, Chennai-11","1 - Sembium [ Ward No.67 ] Jamaliya T.N.S.C.B
2 - Sembium [ Ward No.67 ] Kalayanasundaram Street
3 - Sembium [ Ward No.67] Jamaliya Lane S.C.B",tamilaga vettri kazhagam,2.173913043478261
183,"Chennai Urudu Primary School, Maduraisamy Madam Street, Sembium, Chennai-11","1 - Sembium [ Ward No.67] Subramaniya Thottam Main Road
2 - Sembium [ Ward No.67 ] Subramaniya Thottam1st Street
3 - Sembium [ Ward No.67 ] Subramaniya Thottam 2nd Street",dravida munnetra kazhagam,5.357142857142857
184,"St.Marys Girls Matric Hr Sec School, No.37,Madurai Samy Madam Street, Sembium, Chennai-11","1 - Sembium [ Ward No.67 ] Subramaniya Thottam 5th Street
2 - Sembium [ Ward No.67 ] Ambedhkar Nagar 999 - Overseas Elector",tamilaga vettri kazhagam,11.35057471264368
189,"Sri Champalal Baharia Jain Hr Sec School, Papermills Road, Perambur, Chennai-600011.","1 - Sembium [ Ward No.67 ] Malligaipoo Nagar 1st Street
2 - Sembium [ Ward No.67] Teeds Garden Lakshmi Nagar
3 - Sembium [ Ward No.67 ] Teeds Garden Lakshmi Nagar 1st Street
4 - Sembium [ Ward No.67 ] Teeds Garden Lakshmi Nagar 2nd Street
5 - Sembium [ Ward No.67 ] Lakshmi 3rd Street
6 - Sembium [ Ward No.67 ] Teeds Garden 4th Street Lakshmi Nagar",tamilaga vettri kazhagam,4.192355117139334
194,"Gandhiji Memorial Primary School, Papermills Road, Perambur, Ch-11","1 - Sembium [ Ward No.67 ] Vasudevan Street
2 - Perambur [ Ward No.67 ] Vasudevan 1st Street",dravida munnetra kazhagam,2.286585365853659
195,ICDS Building Teeds Garden 1st Street Perambur Chennai -11,1 - Sembium [ Ward No.67 ] Teeds Garden 1st Street,dravida munnetra kazhagam,2.077151335311572
196,"CSI (SPG) Primary School, Papermills Road, Perambur, Chennai-11","1 - Sembium [ Ward No.67 ] Teeds Garden 2nd Street
2 - Sembium [ Ward No.67 ] Teeds Garden 2nd Cross Street
3 - Sembium [ Ward No.67 ] Teeds Garden 3rd Street",tamilaga vettri kazhagam,3.70843989769821
197,"CSI (SPG) Primary School, Papermills Road, Perambur, Chennai-11","1 - Sembium [ Ward No.67 ] Teeds Garden 5th Street
2 - Sembium [ Ward No.67 ] Paper Mills Road 5th lane
3 - Sembium [ Ward No.67 ] Maniyammai Nagar",tamilaga vettri kazhagam,3.857142857142857
198,"CSI (SPG) Primary School, Papermills Road, Perambur, Chennai-11",1 - Sembium Ward No.67 Paper Mills Road Door 1 to 220,tamilaga vettri kazhagam,5.046728971962617
206,"St.Marys Boys Matric Hr Sec School,
No.34-117,Raghan Street, Perambur, Chennai-11",1 - Perambur [ Ward No.70 ] Madhavaram High Road North,dravida munnetra kazhagam,4.96031746031746
207,"St.Marys Boys Matric Hr Sec School,
No.34-117,Raghan Street, Perambur, Chennai-11","1 - Perambur [ Ward No.70 ] Thanikachalam Street
2 - Perambur [ Ward No.70 ] Dhamodharan Street
3 - Perambur [ Ward No.70 ] Madhavaram High Road 2nd Street
4 - Perambur [ Ward No.70 ] Madhavaram High Road 1st Lane",tamilaga vettri kazhagam,10.15625
209,"Don Bosco Hr Sec School, No.130, Madharam High Road, Perambur, Chennai-11",1 - Perambur [ Ward No.70 ] Somasundaram Vinayagar Koil 2nd Street,tamilaga vettri kazhagam,6.148282097649186
210,"Don Bosco Hr Sec School, No.3, 130 M.H. Road, Perambur, Ch-11, South Block, South Facing, Room 3","1 - Perambur [ Ward No.70 ] Ambedhkar Street
2 - Perambur [ Ward No.70 ] Laskhmi Amman Koil Lane
3 - Perambur [ Ward No.70 ] Thanikachalam 1st Street
4 - Perambur [ Ward No.70 ] Somasundara Vinayagar Koil 1st Street ( Door No- 1 to 80 )
5 - Perambur [Ward No:70] Soma Sundara Vinayakar Koil 1st
Street ( Door No- 81 to End )",tamilaga vettri kazhagam,11.22754491017964
213,"Chennai Middle School, Maduma Nagar, Kabilar Street, Ch-11","1 - Sembium [ Ward No.70 ] St. Marys Road 1st Street
2 - Sembium [ Ward No.70] St. Marys Road 2nd Street
3 - Sembium [ Ward No.70 ] Kollan Thottam
4 - Sembium [ Ward No.70 ] Venkatesa Nagar Main Road
5 - Sembium [ Ward No.70 ] Venkatesa Nagar 1st Cross Street",tamilaga vettri kazhagam,9.01639344262295
214,"Chennai Middle School, Maduma Nagar, Kabilar Street, Ch-11","1 - Sembium [ Ward No.70 ] vengadesa Nagar 1st Street
2 - Sembium [ Ward No.70 ] Venkatesa Nagar 2nd Street
3 - Sembium [ Ward No.70 ] Venkatesa Nagar 3rd Street
4 - Perambur [ Ward No.70 ] Chinnakulanthai Ist Street 999 - Overseas Elector",tamilaga vettri kazhagam,0.9523809523809524
216,"Chennai Middle School, No.6, Kabilar Street, Maduma Nagar, Perambur, Ch-11, South Block, South Facing, Room 4","1 - Sembium [ Ward No.70 ] Kabilar Street
2 - Perambur [ Ward No.70 ] Chokkalingam Street",dravida munnetra kazhagam,2.097902097902098
217,"Chennai Middle School, Maduma Nagar, Kabilar Street, Ch-11","1 - Sembium [ Ward No.70 ] Chidhambaranar Street
2 - Perambur [ Ward No.70 ] Periyapalaiyathamman Koil Street
3 - Perambur [ Ward No.70 ] Mukundha Ramanujam Street
4 - Sembium [ Ward No.70] Jamunabai Nagar Main Road
5 - Sembium [ Ward No.70 ] Jamunabai Nagar 2nd Street
6 - Sembium [ Ward No.70 ] Jamunabai Nagar 1st Street",tamilaga vettri kazhagam,8.262108262108262
218,"Chennai Middle School, Maduma Nagar, Kabilar Street, Ch-11",1 - Perambur [ Ward No.70 ] Gowthamapuram T.N.H.B 999 - Overseas Elector,tamilaga vettri kazhagam,2.253855278766311
219,"Chennai Middle School, Maduma Nagar, Kabilar Street, Ch-11","1 - Perambur [ Ward No.70 ] Gowthampuram
2 - Sembium [ Ward No.70 ] Gowthampuram Extension
3 - Sembium [ Ward No.70 ] Gowthamar Street",tamilaga vettri kazhagam,11.63575042158516
234,"Chennai Hr Sec School, No.38-42, Bunder Garden , Perambur, Chennai-11","1 - Perambur [ Ward No.70] Bundher Garden 2nd Street
2 - Perambur [ Ward No.70 ] Bundher Garden 3rd Street
3 - Perambur [ Ward No.70] Arumugam Street",dravida munnetra kazhagam,5.13595166163142
235,"St.Therasa Primary School, Papermills Road, Perambur, Chennai-11","1 - Perambur [ Ward No.70 ] Venugopalsamy Koil Street
2 - Perambur [ Ward No.70 ] Sadaiyappadoss Street
3 - Perambur [ Ward No.70 ] Police Quarters A Block
4 - Perambur [ Ward No.70] B Block Police Quarters
5 - Perambur [ Ward No.70] C Block Police Quarters
6 - Perambur [ Ward No.70 ] Sulekha Apartments
7 - Perambur [ Ward No.70 ] Shayam Satram Tower Paper Mills Road",dravida munnetra kazhagam,0.7207207207207207
236,"St.Therasa Primary School, Papermills Road, Perambur, Chennai-11",1 - Perambur [ Ward No.70 ] Paper Mills Road,tamilaga vettri kazhagam,1.818181818181818
237,"Chennai Middle School, Vasantha Garden Madurai Street, Ayanaram, Chennai-23","1 - Ayanavaram [ Ward No.70] Brock Road
2 - Ayanavaram [ Ward No.70 ] Biesher Road
3 - Nagammaiyar Nagar [ Ward No.70 ] Vasantha Garden 1st Street Chennai
999 - Overseas Elector",dravida munnetra kazhagam,3.703703703703703
238,"Chennai Middle School, Vasantha Garden Madurai Street, Ayanaram, Chennai-23",1 - Ayanavaram [ Ward No.70 ] Maduraipillai Street Chennai,dravida munnetra kazhagam,2.046384720327422
239,"Chennai Middle School, Vasantha Garden Madurai Street, Ayanaram, Chennai-23","1 - Ayanavaram [ Ward No.70 ] Vasantha Garden 2nd Street
2 - Nagammaiyar Nagar [ Ward No.70 ] Vasantha Garden Huts Side",dravida munnetra kazhagam,7.345575959933222
241,"Chennai Middle School, Vasantha Garden Madurai Street, Ayanaram, Chennai-23","1 - Ayanavaram [ Ward No.70 ] Gnanambal Garden 1st Street
2 - Nagammaiyaar Nagar [ Ward No.70] Gnanambal Garden 2nd Street
3 - Nagammaiyaar Nagar [ Ward No.70 ] Vasantha Garden 1st
Lane",tamilaga vettri kazhagam,5.638474295190713
242,Greater chennai corporation Dobikana Thikkualam Ayanavaram chennai-23,1 - Ayanavaram [ Ward No.70 ] Mylappa Street 999 - Overseas Elector,tamilaga vettri kazhagam,6.587837837837837
243,"Greater Chennai Corporation, No.2, Dobikana Thikkualam, Ayanavaram, Chennai-23, West Block, West Facing, Room 2","1 - Ayanavaram [ Ward No.70 ] Ackshaya Appartments
2 - Ayanavaram [ Ward No.70 ] Mylappa Cross Street
3 - Ayanavaram [ Ward No.70 ] Senbagavalli Street
4 - Nagammaiyaar Nagar [ Ward No.70 ] Pilkington Road ( Door No- 1 to 90 )
5 - Nagammaiyaar Nagar, Ward No.70, Bangaru Cross Street, Door
No.111 to End",tamilaga vettri kazhagam,5.172413793103448
244,Greater chennai corporation Dobikana Thikkualam Ayanavaram chennai-23,"1 - Ayanavaram [ Ward No.70 ] Ponnuvelpuram 1st & 2nd Street
2 - Ayanavaram [ Ward No.70 ] Ponnuvelpuram 4th Street
3 - Ayanavaram [ Ward No.70] Ponnuvelpuram 5th Street",tamilaga vettri kazhagam,7.887700534759358
249,Greater chennai corporation Dobikana Thikkualam Ayanavaram chennai-23,1 - Nagammaiyar Nagar [Ward No:70 ] Pilkington Road ( Door No- 91 to End ),dravida munnetra kazhagam,12.93634496919918
250,"Govt Model Hr Sec School, Jambulingam Main Road, GKM Colony, Ch-82","1 - Chitharanjan Colony [ Ward No.69 ] Anna Street
2 - Chitharanjan Colony [ Ward No.69 ] Thiruvalluvar Street
3 - Chitharanjan Colony [ Ward No.69 ] V.O.C.Street
4 - Annai Anjugam Nagar [ Ward No.69 ] Jeevanandam Street",tamilaga vettri kazhagam,5.546995377503852
253,"Chennai primary School Punitha Sagaya Matha Street
G.K.M Colony 27th street Chennai-82","1 - Agaram G K M Colony [ Ward No.69 ] Annai Theresa Street Venkatesan Nagar
2 - Agaram G K M Colony [ Ward No.69] Kattabomman Street Venkatesan Nagar
3 - Agaram [ Ward No.69 ] Vivekanandhar Street Annai Anjugam Nagar
4 - Agaram [ Ward No.69 ] Pillayar Koil Street Venkatesan Nagar",tamilaga vettri kazhagam,3.0
255,"Chennai primary School Punitha Sagaya Matha Street
G.K.M Colony 27th street Chennai-82","1 - Jawahar Nagar [ Ward No.69 ] Sai Nagar 1st Street
2 - Jawahar Nagar [ Ward No.69 ] Sai Nagar 2nd Street
3 - Jawahar Nagar [ Ward No.69 ] Sai Nagar 3rd Street
4 - Kumaran Nagar [ Ward No.69 ] Sai Nagar 4th Street 999 - Overseas Elector",tamilaga vettri kazhagam,7.032590051457976
256,"Government Primary School 12th Papammal Street, GKM Colony Ch-82.","1 - Agaram [ Ward No.69 ] Thalamuthu Street Annai Anjugam Street
2 - G K M Colony [ Ward No.69 ] E V R Street
3 - G K M Colony [ Ward No.69] Bharathiyar Street",dravida munnetra kazhagam,0.4354136429608128
259,"Government Primary School 12th Papammal Street, GKM Colony Ch-82.","1 - G K M Colony [ Ward No.69 ] Lalbahadur Shasthri Street 11th Street
2 - G K M Colony [ Ward No.69 ] Pappammal Street 12th Street
3 - G K M Colony [ Ward No.69 ] Rajaji Street 6th Street",tamilaga vettri kazhagam,3.909774436090226
