serial no. of polling station,location and name of building in which polling station located,polling area,Winner_Party,Margin_Percentage
43,"Kulapati Dr. S. Balakrishna Joshi Gurukulam Matric Hr. Sec School, No.8, 2nd Street, V.V. Nagar, Kolathur, Ch-99, North Block, East Facing, Room 6","1 - Kolathur [ Ward No.64 ] G K M Colony 32nd Street ( Jeevanandham Street )
2 - Kolathur [ Ward No.64 ] G K M Colony 33rd Street Thiru-Vi-Ka
Street",tamilaga vettri kazhagam,10.1933216168717
48,"Kulapati Dr. S. Balakrishna Joshi Gurukulam Matric Hr. Sec School, No.8, 2nd Street, V.V. Nagar, Kolathur, Ch-99, North Block, East Facing, Room 10","1 - Kolathur [ Ward No. 64 ] G K M Colony 39th Street Kakkanji Street
2 - Kolathur [ Ward No.64 ] G K M Colony 38th Street Ambedkar
Street",tamilaga vettri kazhagam,8.530805687203792
49,"Dhanish Matric Hr Sec School, Kambar Nagar , Chennai-82","1 - Kolathur [ Ward No.68 ] Adhiyamaan Nagar Rajiv Gandhi Street
2 - Kolathur [ Ward No.68 ] Adhiyamaan Nagar Rajiv Gandhi 1st Street
3 - Kolathur [ Ward No.68 ] Adhiyamaan Nagar Rajiv Gandhi Street Ext
4 - Kolathur [ Ward No.68 ] Kambar Nagar 6th Street
5 - Kolathur [ Ward No.68 ] Kambar Nagar 1st Cross Street
6 - Kolathur [ Ward No.68] Kambar Nagar Avvai Street
7 - Kolathur [ Ward No.68 ] Kambar Nagar 7th Street",dravida munnetra kazhagam,2.56797583081571
50,"Dhanish Matric Hr Sec School, Kambar Nagar , Chennai-82","1 - Kolathur [ Ward No.68 ] Vetri Selvi Anbalagan Nagar Buddhar Street
2 - Kolathur [ Ward No.68] Vetri Selvi Anbazhagan Nagar Sri Ranga Street
3 - Kolathur [ Ward No.68 ] Vetri Selvi Nagar Anbazhagan Nagar Nabinayakam Street
4 - Kolathur [ Ward No.68 ] Vetri Selvi Nagar Anbzhagan Nagar Ramanujam Street
5 - Kolathur [ Ward No.68 ] Vetri Selvi Anbazhagan Nagar Yesunathar Street
6 - Kolathur [ Ward No.68 ] Vetri Selvi Anbazhagan Nagar Thiruvalluvar Street
7 - Kolathur [ Ward No.68 ] Vetri Selvi Anbazhagan Nagar Buvaneswari Street
8 - Kolathur [ Ward No.68 ] Valmiki Street
9 - Kolathur [ Ward No.68 ] Valmiki Street Junction
10 - Kolathur [ Ward No.68 ] Vetri Selvi Anbazhagan Nagar Vallalar Street",dravida munnetra kazhagam,7.448494453248812
51,"Dhanish Matric Hr Sec School, No.2, Kambar Nagar, Chennai-82, West Block, East Facing, Room 3","1 - Kolathur [ Ward No.68 ] Kambar Nagar 1st Street
2 - Kolathur [ Ward No.68 ] Kambar Nagar 2nd Street
3 - Kolathur [ Ward No.68 ] Kambar Nagar 3rd Street
4 - Kolathur [ Ward No.68] Kambar Nagar 4th Street",tamilaga vettri kazhagam,1.169590643274854
52,"Dhanish Matric Hr Sec School, Kambar Nagar , Chennai-82","1 - Kolathur [ Ward No.65 ] Vasantham Nagar 1st Street
2 - Kolathur [ Ward No.65 ] Vasantham Nagar 2nd Street
3 - Kolathur [ Ward No.65] Vasantham Nagar 3rd Street
4 - Kolathur [ Ward No.65 ] Vasantham Nagar Vasan Street
5 - Kolathur [ Ward No.65 ] Yamuna Nagar",tamilaga vettri kazhagam,2.264808362369338
53,"Dhanish Matric Higher Secondary School, No.8, Kambar Nagar, Chennai-82, North Block, South Facing, Room 2A","1 - Kolathur [ Ward No.65] Kambar Nagar 5th Street
2 - Kolathur [ Ward No.65] Kambar Nagar 5th Cross Street
3 - Kolathur [ Ward No.65 ] Bharat Avenue",dravida munnetra kazhagam,5.158730158730158
54,"Dhanish Matric Hr Sec School, Kambar Nagar , Chennai-82","1 - Kolathur [ Ward No.65 ] Poombugar Nagar 1st Main Road
2 - Kolathur [ Ward No.65 ] Poombugar Nagar 2nd Main Road
3 - Kolathur [ Ward No.65 ] Poombugar Nagar 1st Sreet
4 - Kolathur [ Ward No.65 ] Poombugar Nagar 1st Cross Street",tamilaga vettri kazhagam,5.975395430579964
55,"Dhanish Matric Hr Sec School, Kambar Nagar , Chennai-82","1 - Kolathur [ Ward No.65] Poombugar Nagar 2nd Street
2 - Kolathur [ Ward No.65] Poombugar Nagar 3rd Street
3 - Kolathur [ Ward No.65] Poombugar Nagar 3rd Cross Street
4 - Kolathur [ Ward No.65] Poombugar Nagar 4th Street
5 - Kolathur [ Ward No.65 ] Poombugar Nagar 5th Street
6 - Kolathur [ Ward No.65] Poombugar Nagar 6th Street",tamilaga vettri kazhagam,0.8960573476702508
56,"Dhanish Matric Hr Sec School, No.8, Kambar Nagar, Chennai-82, North Block, South Facing, Room 5A","1 - Kolathur [ Ward No.65] Poombugar Nagar 7th Street
2 - Kolathur [ Ward No.65 ] Poombugar Nagar 8th Street
3 - Kolathur [ Ward No.64 ] Poombugar Nagar 9th Street
4 - Kolathur [ Ward No.65 ] Poombugar Nagar 9th Cross Street
5 - Kolathur [ Ward No.65] Poombugar Nagar 10th Cross Street
6 - Kolathur [ Ward No.65 ] Poombugar Nagar 11th Street
7 - Kolathur [ Ward No.65] Poombugar Nagar 12th Street
8 - Kolathur [ Ward No.65 ] Poombugar Nagar 13th Street",tamilaga vettri kazhagam,6.879194630872483
