Location and name of building in which Polling Station located,Total_Booths_In_Locality,Dominant_Party,Dominant_Party_Booths_Won
"Govt.Primary School Southern portion West Part, Sambavarvadakarai Keelur",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.Primary School West Building, Eest Facing Puthur",1,Dravida Munnetra Kazhagam,1
"Govt.Primary School,    East Building    North Portion West Facing   Sambavarvadakarai.",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.Primary School,    West Building    North Portion East Facing   Sambavarvadakarai.",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.Primary School,   Main Building East Facing Thiruvetriyur",1,Dravida Munnetra Kazhagam,1
"Govt.Primary School,   South Building,   Anandapuram",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.Primary School, Main Building   South facing Pudur",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.Primary School, Middle Building North Portion East Facing, Sambavarvadakarai",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.Primary School, Western Wing, Urmelalagian",1,All India Anna Dravida Munnetra Kazhagam,1
"Harijan Primary School, Chockampatti",1,Dravida Munnetra Kazhagam,1
"Harijan Primary School, Eastern wing    Kalangathakandi.",1,All India Anna Dravida Munnetra Kazhagam,1
"Harijan Primary School,New Building East facing   Boganallur",1,All India Anna Dravida Munnetra Kazhagam,1
Hindu Middle School    Western Buliding    Singilipatti,1,All India Anna Dravida Munnetra Kazhagam,1
"Hindu Middle School ,    East Buliding, Eastern Wing, Sivaramapettai.",1,All India Anna Dravida Munnetra Kazhagam,1
"Hindu Middle School ,    West Building Northern Portion Sivaramapettai.",1,All India Anna Dravida Munnetra Kazhagam,1
"Hindu Middle School,    West Building Middle Portion Sivaramapettai.",1,All India Anna Dravida Munnetra Kazhagam,1
"Hindu Middle School,    West Building Southern Portion Sivaramapettai.",1,All India Anna Dravida Munnetra Kazhagam,1
"Hindu Middle School, East Building,West Facing, Singilipatti",1,All India Anna Dravida Munnetra Kazhagam,1
"Hindu Middle School, South Portion    Singilipatti",1,All India Anna Dravida Munnetra Kazhagam,1
"Hindu Middle School, Western building,   North Portion, Thirikoodapuram",1,All India Anna Dravida Munnetra Kazhagam,1
"Hindu Middle School,Eastern building Thirikoodapuram",1,All India Anna Dravida Munnetra Kazhagam,1
"Hindu Middle School,Western Building South Portion, Thirikoodapuram",1,All India Anna Dravida Munnetra Kazhagam,1
Hindu Primary School    Block 6 Sanganaperi,1,Dravida Munnetra Kazhagam,1
Hindu Primary School West Building    Kambaneri,1,All India Anna Dravida Munnetra Kazhagam,1
"Hindu Primary School western wing, Nainaragaram",1,All India Anna Dravida Munnetra Kazhagam,1
"Hindu Primary School,    Addl. Builidng,    Chockampatti",1,All India Anna Dravida Munnetra Kazhagam,1
"Hindu Primary School,   South Building Northern Wing Mavadikall, Kadayanallur",1,All India Anna Dravida Munnetra Kazhagam,1
"Hindu Primary School,   South Building Southern Wing, Mavadikall, Kadayanallur.",1,All India Anna Dravida Munnetra Kazhagam,1
"Hindu Primary School, Main Building,    Chockkampatti.",1,All India Anna Dravida Munnetra Kazhagam,1
"Hindu Primary School, New Building,South Side, Kalampuli.",1,All India Anna Dravida Munnetra Kazhagam,1
"Hindu Primary School, North Portion, East Facing Kallampuli",1,All India Anna Dravida Munnetra Kazhagam,1
"Hindu Primary School, Northern Portion Nainaragaram",1,All India Anna Dravida Munnetra Kazhagam,1
"Hindu Primary School, Southern Buliding,West Side Nainaragaram.",1,All India Anna Dravida Munnetra Kazhagam,1
"Hindu Primary School, Vavanagaram,   Vadakarai Kilpidagai.",1,Dravida Munnetra Kazhagam,1
"Hindu Primary School,South Building, North Facing Vavanagaram,   Vadakarai Kilpidagai.",1,All India Anna Dravida Munnetra Kazhagam,1
"Hindu Valaiyar Primary School, East Side Chockamaptti.",1,All India Anna Dravida Munnetra Kazhagam,1
"Hithayathul Islam   Primary School ,Southern Building Northern Wing, Kadayanallur",1,Dravida Munnetra Kazhagam,1
"Hithayathul Islam   Primary School Southern Building Southern Wing, Kadayanallur",1,Dravida Munnetra Kazhagam,1
"Hithayathul Islam Hr.Sec.School,    Central Hall, Kadayanallur.",1,Dravida Munnetra Kazhagam,1
"Hithayathul Islam Hr.Sec.School,    Western Wing, East Side   Kadayanallur",1,All India Anna Dravida Munnetra Kazhagam,1
"Hithayathul Islam Hr.Sec.School,   Central Hall Western Portion, Kadayanallur.",1,Dravida Munnetra Kazhagam,1
"Hithayathul Islam Primary School   Branch Building Northern Portion,   Igpal Nagar, Kadayanallur.",1,Dravida Munnetra Kazhagam,1
"Hithayathul Islam Primary School,   Branch Building SouthernPortion Igpal Nagar, Kadayanallur.",1,Dravida Munnetra Kazhagam,1
"I.M.Govt. Hr. Sec. School   Main Building, Western Side, Panpoli.",1,Dravida Munnetra Kazhagam,1
"I.M.Govt. Hr. Sec. School,   Main North Building,    Western Side,Panpoli.",1,Dravida Munnetra Kazhagam,1
"I.M.Govt. Hr.Sec. School Addititional Main Building   9C Section Hall Eastern Middle Portion,    Panpoli.",1,Dravida Munnetra Kazhagam,1
"I.M.Govt. Hr.Sec. School, Additional New Building Western Middle Portion, Panpoli.",1,All India Anna Dravida Munnetra Kazhagam,1
"Indhu primary school,   North building North portion,   West facing,    Thenpothai",1,All India Anna Dravida Munnetra Kazhagam,1
"Indian Nursery and Primary Schoool, North Facing, Achanputhur",1,Dravida Munnetra Kazhagam,1
"Indian Nursery and Primary Schoool, south Facing, Achanputhur",1,All India Anna Dravida Munnetra Kazhagam,1
"King Universe Matric School, South Wing , Eastern portion, Kumandapuram.",1,All India Anna Dravida Munnetra Kazhagam,1
"King Universe Matric School, South Wing, Western Portion Kumandapuram.",1,All India Anna Dravida Munnetra Kazhagam,1
"Krishna Middle School,   North facing building,   VI standard Room, Malampattai Road,   Mela Kadayanallur.",1,All India Anna Dravida Munnetra Kazhagam,1
"Krishna Middle School,   North facing building, I standard Room, Malampattai Road, Mela Kadayanallur.",1,All India Anna Dravida Munnetra Kazhagam,1
"Krishna Middle School, East facing building, south portion, Malampattai Road, Mela Kadayanallur",1,All India Anna Dravida Munnetra Kazhagam,1
"Lakshmi Haraihara High  School,    Main Building, Eastern Portion,    Elathur.",1,Dravida Munnetra Kazhagam,1
"Lakshmi Haraihara High School,    Main Building, Western Portion    Elathur.",1,All India Anna Dravida Munnetra Kazhagam,1
"Lakshmi Harihara High School, Main Building, East Middle Portion,   Elathur.",1,All India Anna Dravida Munnetra Kazhagam,1
"Lakshmi Harihara High School, Main South Building, Western Portion,    Elathur",1,All India Anna Dravida Munnetra Kazhagam,1
"Lakshmi Harihara High School, Western Building, Northern Portion    Elathur.",1,All India Anna Dravida Munnetra Kazhagam,1
"M.M.Middle School,    Northern Wing    Viswanathpuram.",1,All India Anna Dravida Munnetra Kazhagam,1
"M.M.Middle School,    Southern Building, North Part Viswanathpuram",1,Dravida Munnetra Kazhagam,1
"M.M.Middle School,    Southern Building, South Part Viswanathpuram",1,All India Anna Dravida Munnetra Kazhagam,1
"M.M.Middle School,    West Side Viswanathapuram.",1,Dravida Munnetra Kazhagam,1
"M.S.V.Primary School, Periapillai Valasai.",1,All India Anna Dravida Munnetra Kazhagam,1
"Manikavala Primary School, Main Building ,Northern Portion,   Kadayanallur",1,Tamilaga Vettri Kazhagam,1
"Manikavala Primary School, Main Building ,Southern Portion,   Kadayanallur",1,Dravida Munnetra Kazhagam,1
"Masuthu Thaikka Hr.Sec.School,   11th F Class Room, Southern Building, Western Portion, Kadayanallur.",1,Dravida Munnetra Kazhagam,1
"Masuthu Thaikka Hr.Sec.School,   12th Standard, D Class Room,   Middle Builidng Southern Portion  Kadayanallur.",1,Dravida Munnetra Kazhagam,1
"Masuthu Thaikka Hr.Sec.School,   IX Standard, Middle Builidng Northern Portion   Kadayanallur.",1,Dravida Munnetra Kazhagam,1
"Masuthu Thaikka Hr.Sec.School,   Southern Building, Eastern Portion Kadayanallur.",1,Dravida Munnetra Kazhagam,1
"Melapalayam Hindu Middle School,     III & IV Standard, South Portion   Mela Kadayanallur.",1,All India Anna Dravida Munnetra Kazhagam,1
"Melapalayam Hindu Middle School,    Northern Builidng Mela Kadayanallur.",1,All India Anna Dravida Munnetra Kazhagam,1
"Melapalayam Hindu Middle School,   Main Building North Portion,   Mela Kadayanallur.",1,All India Anna Dravida Munnetra Kazhagam,1
"Melapalayam Hindu Middle School,   Main Buliding Southern Portion,   Mela Kadayanallur.",1,All India Anna Dravida Munnetra Kazhagam,1
"Melapalayam Hindu Middle School,6th Class Room,Middle Portion,Mela Kadayanallur",1,Tamilaga Vettri Kazhagam,1
"Municipal Anganwadi Centre, Near Vadukar Community Hall, Mavadikkal Kadayanallur",1,All India Anna Dravida Munnetra Kazhagam,1
"Municipal Community Hall, Krishnapuram",1,All India Anna Dravida Munnetra Kazhagam,1
"Municipal Community Hall, Kumandapuram, Krishnapuram",1,Tamilaga Vettri Kazhagam,1
Municipal Office    Engineer sundara Room    West Portion Sengottai,1,All India Anna Dravida Munnetra Kazhagam,1
Municipal Office    Meeting Hall New Building Sengottai,1,All India Anna Dravida Munnetra Kazhagam,1
"Municipality Middle School, East Middle Buliding ,West Side
, Pettai, Kadayanallur",1,Dravida Munnetra Kazhagam,1
"Municipality Middle School, East Side to Eastern Building, Pettai Kadayanallur",1,Dravida Munnetra Kazhagam,1
"Municipality Middle School, Eastern Building, Pettai, Kadayanallur.",1,Dravida Munnetra Kazhagam,1
"Municipality Middle School, Middle Building Eastern Wing, Pettai Kadayanallur",1,Dravida Munnetra Kazhagam,1
"Municipality Middle School, Western Buliding   Pettai, Kadayanallur",1,Dravida Munnetra Kazhagam,1
"Municipality Middle School,Main Building, Smart Class Room Pettai, Kadayanallur",1,Dravida Munnetra Kazhagam,1
"Municipality Primary School, Main Building Eastern Portion, Mela Kadayanallur.",1,Tamilaga Vettri Kazhagam,1
"Municipality Primary School, Main Building Western Portion, Mela Kadayanallur.",1,Tamilaga Vettri Kazhagam,1
