Serial No. Of Polling Station,Location and Name of Building in Which Polling Station Located,Polling Areas,Winner_Party,Margin_Percentage
240,"Quide Millath Corporation Higher Secondary School Primary School  South Block,Eastern Portion Melapalayam","1.Tirunelveli (C) Melapalayam Ward No 47 Methammar Palayam 4Th Street, , 2.Tirunelveli (C) Melapalayam Ward No 47 Methammar Palayam 5Th Street , 999.Overseas Electors",Dravida Munnetra Kazhagam,54.72779369627507
241,"The Muslim Girls Hr.Sec.School, South Building 2nd room, M L M Nagar,Melapalayam.","1.Tirunelveli (C) Melapalayam Ward No 47 Buhari Thangal Thaikka Street, , 2.Tirunelveli (C) Melapalayam Ward No 47 Pound Road, , 3.Tirunelveli (C) Melapalayam Ward No 46 Ibrahim Sha Thaika Street, 999.Overseas Electors",Dravida Munnetra Kazhagam,65.65495207667732
244,"Corporation Azath Primary School, Western Block, 3rd Room, Melapalayam","1.Tirunelveli (C) Melapalayam Ward No 49 Aasura Keela Street -I(Door no.1-128A), , 999.Overseas Electors",Dravida Munnetra Kazhagam,68.68131868131869
245,"Corporation Azath Primary School, Western Block, 4th Room, Melapalayam","1.Tirunelveli (C) Melapalayam Ward No 49 Asura 3Rd Lane, , 2.Tirunelveli (C) Melapalayam Ward No 49 Asura 3Rd Lane, , 3.Tirunelveli (C) Melapalayam Ward No 49 Asura 1St Lane, 4.Tirunelveli (C) Melapalayam Ward No 49 Aasura Keela Street-II(Door no.129-258), 999.Overseas Electors",Dravida Munnetra Kazhagam,74.24547283702213
246,"Ganesapuram East Primary School,South Side, Melapalayam","1.Tirunelveli (C) Melapalayam Ward No 47 Periya Kothba Palli Vasal South West Street, 2.Tirunelveli (C) Melapalayam Ward No 49  Periya Kothba Palli Vasal 1St Sotuh Lane -II(Door no.48-252) , 3.Tirunelveli (C) Melapalayam Ward No 49 Ganeshapuram 2Nd South Street ,  999.Overseas Electors",Dravida Munnetra Kazhagam,76.32027257240205
247,"Hameem Middle School, Western Block, Easternportion , Periakothuva Pallivasal South East St, Melapalayam","1.Tirunelveli (C) Melepalayam Ward No 49 Periya Kothba Palli Vasal South Lane,(Door No Suitable Room:1To 105)  , 999.Overseas Electors",Dravida Munnetra Kazhagam,69.60431654676259
248,"Hameem Middle School,South Portion, South Side, Periakothuva Pallivasal South East St, Melapalayam","1.Tirunelveli (C) Melepalayam Ward No 49 Periya Kothba Palli Vasal South Lane Door No Suitable Room: 106 To , , 999.Overseas Electors",Dravida Munnetra Kazhagam,66.79611650485437
250,"Hasanathuil Ulum Primaryschool, ,Southern Portion Ground Floor, Moolanahamedpillai Street Melapalayam","1.Tirunelveli (C) Melapalayam Ward No 44 Moolan Ahamed Pillai Street -I(Door no.1-103), 999.Overseas Electors",Dravida Munnetra Kazhagam,81.04089219330855
251,"Hasanathuil Ulum Primaryschool,    North side,  Moolanahamedpillai Street Melapalayam","1.Tirunelveli (C) Melapalayam Ward No 44 Moolan Ahamed Pillai Street-II(Door no.104-203), 999.Overseas Electors",Dravida Munnetra Kazhagam,78.29457364341084
252,"Melapalayam Ward Office, Main Hall
,Melapalayam","1.Tirunelveli (C) Melapalayam Ward No 49 Nehruji Road, , 2.Tirunelveli (C) Melapalayam Ward No 44 Housing Board Nethaji Road, , 3.Tirunelveli (C) Melapalayam Ward No 49 Periya Kothba Palli Vasal North East Street, , 999.Overseas Electors
Page 71 of 78",Dravida Munnetra Kazhagam,64.94597839135653
