Serial No. Of Polling Station,Location and Name of Building in Which Polling Station Located,Polling Areas,Winner_Party,Margin_Percentage
71,"C.M.S, Mary Arden Milddle School, Western Portion Palayamkotai","1.Tirunelveli (C) Palayamkottai Parvathi Amman Koil Street, Ward No. 10 , 2.Tirunelveli (C) Palayamkottai Thirugnana Sampantha Nayanar Street, Ward No 10 , 999.Overseas Electors",Tamilaga Vettri Kazhagam,22.39089184060721
72,"Corporation Vadakkupadai Integrated Children Development Scheme Balar School
,Western Portion, Eyarpagainayanar Street, Palayamkottai","1.Tirunelveli (C) Palayamkottai Mupudathiamman West Street, Ward 9 , 2.Tirunelveli (C) Palayamkottai Selva Vinayagar Koil Street, Ward 9 , 999.Overseas Electors",Tamilaga Vettri Kazhagam,41.08910891089108
73,"Corporation Vadakkupadai Integrated Children Development Scheme Balar School, North Building East Portion, Eyarpagainayanar Street, Palayamkottai","1.Tirunelveli (C) Palayamkottai Thirumoola Nayanar Street, Ward 9 , 2.Tirunelveli (C) Palayamkottai Poosalar Nayanar Street, Ward 9 , 3.Tirunelveli
(C) Palayamkottai Ayyadigal Kadavarkon Koil Street, Ward 9 , 4.Tirunelveli (C) Palayamkottai Sudalai Koil Street, Ward 9 , 5.Tirunelveli (C) Palayamkottai Meiporul Nayanar Street, Ward 9 , 999.Overseas Electors",Tamilaga Vettri Kazhagam,23.39955849889625
74,"Corporation Vaddakkupadai Intergrated Children Development Scheme Balar School, Easten Portion, Eyarpagainayanar Street, Palayamkottai","1.Tirunelveli (C) Palayamkottai Kanaganatha Nayanar Street, Ward 9 , 2.Tirunelveli (C) Palayamkottai Kanagam Pulla Nayanar Street, Ward 9 , 3.Tirunelveli (C) Palayamkottai Pathala Madan Koil Street, Ward No.9 , 4.Tirunelveli (C) Palayamkottai Kottur Road, Ward 9 , 5.Tirunelveli (C) Palayamkottai Sithi Vinayagar Kovil Street, Ward No. 9 , 6.Tirunelveli (C) Palayamkottai Sakkiya Nayanar Street, Ward No.9 , 999.Overseas Electors",Tamilaga Vettri Kazhagam,28.57142857142857
75,"C.M.S. Mary Arden Middle School ,Middle Room Western Side, Eyarpagainayanar Street Palayamkottai.","1.Tirunelveli (C) Palayamkottai Munaiaduvar Nayanar Street, Ward No.9 , 2.Tirunelveli (C) Palayamkottai Iyarpagainayanar Street, Ward No.9 , 3.Tirunelveli (C) Palayamkottai Kaliya Nayanar Street, Ward No.9 , 4.Tirunelveli
(C) Palayamkottai Pallivasal Street, Ward No.9 ,  5.Tirunelveli (C) Palayamkottai Kalikamba Nayanar Street Ward No.9 , 999.Overseas Electors",Tamilaga Vettri Kazhagam,27.71428571428572
76,"C.M.S Mary Arden Middle School, Selvin Hall, Eyarpagainayanar Street Palayamkottai","1.Tirunelveli (C) Palayamkottai Thiruchendur Road, Ward No 9 , 2.Tirunelveli
(C) Palayamkottai Bharathi Nagar, Police Colony, Ward No.9 , 3.Tirunelveli (C) Palayamkottai Arivatta Nayanar Street, Ward No.9 , 4.Tirunelveli (C) Palayamkottai Sandesuvara Nayanar Street, Ward No 9 , 5.Tirunelveli (C) Palayamkottai Vayilla Nayanar Street, Ward No. 9 ,6.Tirunelveli (C) Palayamkottai Lodikan Street, Ward No.9 , 7.Tirunelveli (C) Palayamkottai Sadaiyanayanar Street, Ward No. 9 , 999.Overseas Electors",Tamilaga Vettri Kazhagam,9.164969450101832
77,"St.Joesph Matriculation School, Eastern Building Northern Wing, Senthilnagar (Ward 11) Palayamkottai","1.Tirunelveli (C) Palayamkottai Mupudathiamman Koil East Street, Ward No 9 , 2.Tirunelveli (C) Palayamkottai. Chokalinga Swami Koil Street-I, Ward No 9 , 3.Tirunelveli (C) Palayamkottai Chokalinga Swami Koil Street-II, Ward No 9 , 999.Overseas Electors",Tamilaga Vettri Kazhagam,30.3370786516854
78,"St. Joesph Matriculation School, Eastern Building Middle Portion Senthilnagar (Ward 11) Palayamkottai","1.Tirunelveli (C) Palayamkottai Senthil Nagar, Ward No 8 , 2.Tirunelveli (C) Palayamkottai Ani Nagar, Ward No 8 , 999.Overseas Electors",Tamilaga Vettri Kazhagam,24.42645074224022
79,"St.Joesph Matriculation School ,Southern Portion Eastren Building ,Senthil Nagar(Ward 11)Palayamkottai","1.Tirunelveli (C)  Palayamkottai Senthil Nagar, Ward No 8 , 2.Tirunelveli (C) Palayamkottai Manakanja Nayanar Street, Ward No 9 , 3.Tirunelveli (C) Palayamkottai. Abinaya Nagar, Ward No 8, 999.Overseas Electors",Tamilaga Vettri Kazhagam,19.11196911196911
83,"Corporation Middle School, ,R.C Terraced Portion in the back Side Southern Portion, Perumal Sannathi Street,Palayamkottai","1.Tirunelveli (C) Palayamkottai Perumal Sannathi Street, W.No 33 , 2.Tirunelveli
(C) Palayamkottai Krishnan Koil Middle Street, W.No 33 , 3.Tirunelveli (C) Palayamkottai Krishnan Koil South Street 2Nd Lane, W.No 33 , 4.Tirunelveli (C) Palayamkottai Krishnan Koil South Street Ist Lane, W.No 33 , 5.Tirunelveli (C) Palayamkottai Kaaykarikadai Street, W.No 33 , 6.Tirunelveli (C) Palayamkottai Paktharai Panivar Street, W.No 33 , 999.Overseas Electors",Tamilaga Vettri Kazhagam,24.16107382550336
