Location and Name of Building in which Polling Station Located,Total_Booths_In_Locality,Dominant_Party,Dominant_Party_Booths_Won
"Santhanasama Middle School ,South Building, Middle Protion, Madathuvillai, Arumuganeri.",1,Tamilaga Vettri Kazhagam,1
"Saravana Iyer middle school
Ramachandra Iyer Ninaivarangam, North Building West Portion, panthal Mandabam, Keelaratha Veethi, Tiruchendur.",1,Tamilaga Vettri Kazhagam,1
"Saravana Iyer middle school Ramachandra Iyer Ninaivarangam, North Building, East Portion, East car street, panthal Mandabam, Tiruchendur",1,Tamilaga Vettri Kazhagam,1
"Senthil Murugan Govt Girls High Sec School, Old Building North Portion South Facing East Side Tiruchendur",1,Tamilaga Vettri Kazhagam,1
"Senthil Murugan Govt girls Hr sec
School old building NorthPortion West side South Facing Tiruchendur.",1,Tamilaga Vettri Kazhagam,1
"Senthil murugan Govt Girls Hr Sec
School New Building West side Hall Room no 2 Tiruchendur.",1,Tamilaga Vettri Kazhagam,1
"Senthil murugan Govt,Girls Hr,Sec
School New Building South Side East Room Tiruchendur",1,Tamilaga Vettri Kazhagam,1
"Senthil murugan Govt,Girls Hr,Sec School New Building South Portion North Facing West Room",1,Bharatiya Janata Party,1
"Senthilmurugan Govt Girls High Sec
School, New Building West Portion East Facing North side Tiruchendur",1,Tamilaga Vettri Kazhagam,1
"Senthilmurugan Govt Girls Higher
Secondary School, New Building West portion South Side East facing Tiruchendur",1,Tamilaga Vettri Kazhagam,1
"Senthilmurugan Govt Girls Hr Sec School, New Building South Side, Middle Portion, Tiruchendur.",1,Bharatiya Janata Party,1
"Shunmuga Sundara Nadar Primary School, West Building, North portion, Authoor.",1,Tamilaga Vettri Kazhagam,1
"Shunmuga Sundara Nadar Primary School, West Building, South Portion, Authoor.",1,Tamilaga Vettri Kazhagam,1
"Shunmugakani Ammal Memorial Panchayat Union MiddleSchool, East Portion, Thandupathu",1,Dravida Munnetra Kazhagam,1
"Si .Pa.Adithanar.Govt Hr.Sec School,
East wing, southern building, Ramanathapuram, Kayamozhi",1,Dravida Munnetra Kazhagam,1
"Si .Pa.Adithanar.Govt Hr.Sec School, East Block, Std XIth D, Ramanathapuram, Kayamozhi",1,Bharatiya Janata Party,1
"Sri Ganesar Hr, Sec School,VOC Block East portion, Panikkanadarkudieruppu.",1,Tamilaga Vettri Kazhagam,1
"Sri Ganesar Hr, Sec, School, VOC Block West portion, Panikkanadarkudieruppu.",1,Tamilaga Vettri Kazhagam,1
"Sri Ramakrishna Chithambaraeswar Hr
Sec School, West Building North Side Room No5, Therioor",1,Tamilaga Vettri Kazhagam,1
"Sri Ramakrishna Chithambareswarar Hr.Sec.School West Building North Side, Class no 7,Therioor",1,Bharatiya Janata Party,1
"St Antony R.C. Middle School, North Side, West Hall, Udankudi",1,Tamilaga Vettri Kazhagam,1
"St Antony R.C. Middle School, South
Building, West Hall, Udankudi",1,Dravida Munnetra Kazhagam,1
"St Antony R.C. Middle School, South Building, East Hall, Udankudi",1,Dravida Munnetra Kazhagam,1
"St Joseph Hr. Sec. School, Golden
Jubilee Building 12th Typing Class Room, Manapadu",1,Tamilaga Vettri Kazhagam,1
"St Joseph RC Primary School West
Portion Class Room I and II Kanthasamypuram, Nazareth",1,Dravida Munnetra Kazhagam,1
St Lucia high school south building Middle Portion kurumbur,1,Tamilaga Vettri Kazhagam,1
"St Marys Middle School, East Building West Side, Manapadu",1,Tamilaga Vettri Kazhagam,1
"St Xaviers Nursery and primary School
East building west facing north side Punnaikayal",1,Tamilaga Vettri Kazhagam,1
"St. Annis High School South Side, East
Portion, Keelaramasamyapuram, Nangaimozhi",1,Bharatiya Janata Party,1
"St. Annis Primary School, North Portion, Keelaramansamyapuram, Nangaimozhi",1,Tamilaga Vettri Kazhagam,1
"St. Antony Middle School, Pitchivillai.",1,Dravida Munnetra Kazhagam,1
"St. Antony R.C. Middle School, North Building, Middle Hall, Udankudi",1,Tamilaga Vettri Kazhagam,1
"St. Joseph Higher Secondary School
East Side VictoriaHall Xth Std Manapadu",1,Tamilaga Vettri Kazhagam,1
"St. Joseph Higher Secondary School
West Side VictoriaHall, XIIth std, Manapadu",1,Tamilaga Vettri Kazhagam,1
"St. Joseph Hr. Sec. School East portion,
Punnakayal.",1,Tamilaga Vettri Kazhagam,1
"St. Joseph Hr. Sec. School Golden Jubilee , East side, Manapadu.",1,Tamilaga Vettri Kazhagam,1
"St. Joseph Hr. Sec. School, Centenary Hall, Manapadu",1,Tamilaga Vettri Kazhagam,1
"St. Joseph Hr.Sec. School West portion,
Punnakayal.",1,Tamilaga Vettri Kazhagam,1
"St. Joseph Primary School, Eastern
Portion, South Building, Punnakayal",1,Tamilaga Vettri Kazhagam,1
"St. Joseph Primary School, West Portion
South Building, North Portion, Punnakayal.",1,Tamilaga Vettri Kazhagam,1
"St. Joseph R.C Primary School West
Portion Standard 4 Class Room, Kanthasamypuram, Nazareth",1,Tamilaga Vettri Kazhagam,1
"St. Lucia High School , South side building East side portion, Kurumbur.",1,Tamilaga Vettri Kazhagam,1
"St. Lucia High School , South side west Portion, Kurumbur.",1,Dravida Munnetra Kazhagam,1
"St. Lucia High School, Esat Building,Middle Portion, Kurumbur.",1,Tamilaga Vettri Kazhagam,1
"St. Mariannai Middle School, Room 5, Prakasapuram, Nazareth.",1,Dravida Munnetra Kazhagam,1
"St. Mariannai Middle School, Room No.3, Parakasapuram, Nazareth.",1,Dravida Munnetra Kazhagam,1
"St. Marks Higher Secondary School
Middle Building West Portion (Class XI  D
), Mookkuperi.",1,Tamilaga Vettri Kazhagam,1
"St. Marks Higher Secondary School Middle Building East Portion (Class XI B), Mookkuperi.",1,Dravida Munnetra Kazhagam,1
"St. Marys Middle school , North Side,
South Portion, Class IIIrd Standard, Punnakayal.",1,Tamilaga Vettri Kazhagam,1
"St. Marys Middle school, North side,
Class IInd Standard, Punnakayal",1,Tamilaga Vettri Kazhagam,1
"St. Thomas Hr. Sec School North
Building East Side room,XI  A Standard Veerapandiyanpattanam",1,Tamilaga Vettri Kazhagam,1
"St. Thomas Hr. Sec School North Building West side Middle room, XI  B Standard,Veerapandiyanpattanam",1,Tamilaga Vettri Kazhagam,1
"St. Thomas Hr.Sec School , North Building West Side Class Room XII A Standard, Veerapandiyanpattanam",1,Dravida Munnetra Kazhagam,1
"St. Thomas Hr.Sec School ,North Building West Side, IX A Standard,Veerapandiyanpattanam",1,Dravida Munnetra Kazhagam,1
"St.Joseph Hr. Sec.School West Building Middle Room, South Side Punnakayal.",1,Tamilaga Vettri Kazhagam,1
