Serial No. Of Polling Station,Location and Name of Building in which Polling Station Located,Polling Area,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
244,"T.N.D.T.A Middle school, Kalvilai","1.Semmarikulam (R.V) And (P) Valasaikennaru Ramasamypuram
Block 2, 2.Semmarikulam (R.V) And (P) Kalvilai Arualananthapuram Block 4, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,29,4.05027932960894
247,"St. Annis High School South Side, East
Portion, Keelaramasamyapuram, Nangaimozhi","1.Nangaimozhi (R.V) And (P) Kelaramasamypuram block 5,
2.Nangaimozhi (R.V) And (P) Adaikalapuram Block 3, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,Tamilaga Vettri Kazhagam,11,2.81329923273657
248,"T.N.D.T.A. Primary School Marudhoorkarai, Y.M.C.A Building, Lakshmipuram","1.Lakshmipuram (R.V) And (P) Lakshmipuram Maruthurkarai
block 1, 2.Lakshmipuram (R.V) And (P) Kumaralakshmipuram, Chitanvilai Block 3, 3.Lakshmipuram (R.V) And (P) Ramanathapuram Block 3, 4.Lakshmipuram (R.V) And (P) Vagaivilai Block 4, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,Dravida Munnetra Kazhagam,12,2.24719101123596
254,"T.N.D.T.A Bishop Azaria Memorial Primary School EastPortion, Vellalanvillai","1.Manaduthandupathu (R.V), Velalanvilai (P) Seeranisalai,
Koravialai, Kuttatharvilai block 1, 2.Manaduthandupathu (R.V), Velalanvilai (P) Suthanthara Nagar North Street Block 2,
3.Manaduthandupathu (R.V), Vellalanvilai (P) Suthanthiranagar
SouthStreet Block-3, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,2,0.3125
257,"T.N.D.T.A. Primary School, East Portion, Chithabarapuram, Thandupathu","1.Manaduthandupathu (R.V) And (P) Chettivillai block 5,
2.Manaduthandupathu (R.V) And (P) Chidambarapuram MathaKovil St., (Chidambarapuram ) Mela Street Block 6,
3.Manaduthandupathu (R.V) And (P) Manadu Block 7,
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Bharatiya Janata Party,16,2.40601503759398
259,"Panchayat Union Primary school, western portion, Nainarpathu","1.Manaduthandupathu (R.V), Nainarpathu (P) Inam Nainarpathu
block 1, 2.Manaduthandupathu (R.V), Nainarpathu (P) Ammanpuram Block 2, , 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Bharatiya Janata Party,21,3.46534653465347
268,"St Antony R.C. Middle School, South Building, East Hall, Udankudi","1.Udankudi (S.G.T.P) Pudumanai Pudhu Street Ward 5,
2.Udankudi (S.G.T.P) Villi Kudiyiruppu Ward 7, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,3,0.584795321637427
275,"Mary Ann Best Girls Hr.Sec School, East Building, Middle room 10B, Pandarachittiviilai","1.Udankudi (S.G.T.P) Santhaiyadiuor Natu Street Ward 13,
2.Udankudi (S.G.T.P) Santhaiyadiuor Meluor Ward 13, 3.Udankudi (S.G.T.P) Mariyamalpuram Ward 13, 4.Udankudi (S.G.T.P) Thesayanvillai Road Ward 13, 5.Udankudi (S.G.T.P) Santhaiyadiuor MutharammankovilStreet Ward 13, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Bharatiya Janata Party,4,0.695652173913043
277,"T.N.D.T.A Boys Hr.Sec School,East Portion New Building,Class Xth A, Christianagaram","1.Udankudi (S.G.T.P) Kattuvathattu street ward 14, 2.Udankudi (S.G.T.P) Vaithaiyalingapuram East Street Ward 14, 3.Udankudi (S.G.T.P) Vaithaiyalingapuram EdakkudiStreet Ward 14,
4.Udankudi (S.G.T.P) Vaitheiyalingapuram KammalarSouth Street Ward 14, 5.Udankudi (S.G.T.P) Vaithelingapuram KamalarNorth Street Ward 14, 6.Udankudi (S.G.T.P) Perumal sanathiStreet Ward 14, 7.Udankudi (S.G.T.P) VaitheiyalingapuramMelaStreet Ward 14,
8.Udankudi (S.G.T.P) Vaithaiyalingapuram MelaStreet2 Ward 14,
999.OVERSEAS ELECTORS",Bharatiya Janata Party,Tamilaga Vettri Kazhagam,9,0.946372239747634
282,"T.N.D.T.A Primary School South Portion, Theriuoor","1.Chettiapathu (R.V) And (P) Theriuor Melpuram Block 3,
2.Chettiapathu (R.V) And (P) Theriuor Keelpuram Block 4, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Bharatiya Janata Party,9,1.1015911872705
284,"Sri Ramakrishna Chithambareswarar Hr.Sec.School West Building North Side, Class no 7,Therioor","1.Chettiapathu (R.V) And (P) Aandivillai Block 1, 2.Chettiapathu (R.V) And (P) Kottankadu Block 6, 3.Chettiapathu (R.V) And (P) Thangai Pandarapuram Block 7, 4.Chettiapathu (R.V) And (P) Thangai Ramachandrapuram Block 8, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,Tamilaga Vettri Kazhagam,10,1.98019801980198
285,"T.N.D.T.A, Middle School, Meyoor","1.Venkataramanujapuram (R.V) And (P) Narayanapuram Block 1,
2.Venkataramanujapuram (R.V) And (P) Subbramaniyapuram Block 1, 3.Venkataramanujapuram (R.V) And (P) Mayoor Block 12,
4.Venkataramanujapuram (R.V) And (P) Venkataramanujapuram Kasbha Block 13, 5.Venkataramanujapuram (R.V) And (P) Thangaikailasapuram Block 14, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,Dravida Munnetra Kazhagam,1,0.159744408945687
290,"PandarasivanSenthilArumugam Memorial Middle School, West End Building Kulasekaranpattanam","1.Kulasekaranpattinam (R.V) And (P) Melaratha Veethi Block 1,
2.Kulasekaranpattinam (R.V) And (P) South car Street Block 1,
3.Kulasekaranpattinam (R.V) And (P) Perumal Kovil Street Block 1,
4.Kulasekaranpattinam (R.V) And (P) Yadavar East Street Block 1,
5.Kulasekaranpattinam (R.V) And (P) Yadavar South East Street Block 1, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Bharatiya Janata Party,8,1.10041265474553
298,"Hasania Middle School west building, Hasania street, Kulasekaranpattanam","1.Kulasekaranpattinam (R.V) And (P) Kathireya sanathi Street
Block 5, 2.Kulasekaranpattinam (R.V) And (P) Vannakkudistreet Block 5, 3.Kulasekaranpattinam (R.V) And (P) Kathereya South Street Block 5, 4.Kulasekaranpattinam (R.V) And (P) Bharathi Street Block 5, 5.Kulasekaranpattinam (R.V) And (P)
Anukoolapuram block 5, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,26,4.67625899280576
306,"Hindu Primary School, East Portion, Thandavankadu, Madhavankuruchi","1.Madhavankuruchi (R.V) And (P) Karangkadu Block 1,
2.Madhavankuruchi (R.V) And (P) Kuodal Nagar Block 1,
3.Madhavankuruchi (R.V) And (P) Thandavankadu Block 2,
4.Madavan Kuruchi (R.V) And (P) Narayanapuram Block 3, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,Dravida Munnetra Kazhagam,12,2.24299065420561
