Serial No. Of Polling Station,Location and Name of Building in which Polling Station located,Polling Area,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Percentage
185,"Panchayat Union Ele.School, East Side North Block, South Room, Silamalai","1.Silamalai (R.V) And (P), Ward-2 Korakkar South Street
2.Silamalai (R.V) And (P), Ward-2 West Street
3.Silamalai (R.V) And (P), Ward-2 Pillaimar Savadi Street
4.Silamalai (R.V) And (P), Ward-2 Maniyampatti Road
5.Silamalai (R.V) And (P), Ward-2 Ex.Chairaman Street
6.Silamalai (R.V) And (P), Ward-2 Pavukal South Part
7.Silamalai (R.V) And (P), Ward-2 Pavukal East Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,212,211,0.15037593984962408
186,"Panchayat Union Ele.School, West Block, Silamalai","1.Silamalai (R.V) And (P), Ward-5 Boyar Street
2.Silamalai (R.V) And (P), Ward-5 Sulapuram Road
3.Silamalai (R.V) And (P), Ward-5 Puliamarathu Lane
4.Silamalai (R.V) And (P), Ward-5 Urumikarar Street
5.Silamalai (R.V) And (P), Ward-5 Sowdamman Kovil Street
6.Silamalai (R.V) And (P), Ward-5 Thevar Street
7.Silamalai (R.V) And (P), Ward-5 Amman Kovil Street
8.Silamalai (R.V) And (P), Ward-5 Middle Street
9.Silamalai (R.V) And (P), Ward-5 Nadar Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,184,173,1.9677996422182469
189,"Panchayat Union Ele. School,West Face South Building, South Side, Silamalai","1.Silamalai (R.V) And (P), Ward-3 Amman Kovil Street
2.Silamalai (R.V) And (P), Ward-3 Middle Street
3.Silamalai (R.V) And (P), Ward-3 South Street-1
4.Silamalai (R.V) And (P), Ward-3 North Savadi Street
5.Silamalai (R.V) And (P), Ward-3 South Savadi Street
6.Silamalai (R.V) And (P), Ward-3 Pillaimar Savadi Street
7.Silamalai (R.V) And (P), Ward-3 Rice Mill South Street
8.Silamalai (R.V) And (P), Ward-3 Rice Mill North Street
9.Silamalai (R.V) And (P), Ward-3 Maniampatti Road
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,187,167,3.6297640653357535
190,"Panchayat Union Ele.School  , B.Mallingapuram","1.Silamalai (R.V) And (P), Ward-4 New Colony
2.Silamalai (R.V) And (P), Ward-4 Mathari Street
3.Silamalai (R.V) And (P), Ward-4 East Street1
4.Silamalai (R.V) And (P), Ward-4 Middle Street
5.Silamalai (R.V) And (P), Ward-4 West Street1
6.Silamalai (R.V) And (P), Ward-4 East Street2
7.Silamalai (R.V) And (P), Ward-4 West Street2
8.Silamalai (R.V) And (P), Ward-4 West Lane
9.Silamalai (R.V) And (P), Ward-4 West Street 3
10.Silamalai (R.V) And (P), Ward-4 East Street 3
11.Silamalai (R.V) And (P), Ward-4 West Street 4
12.Silamalai (R.V) And (P), Ward-4 Sourth Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,250,173,12.769485903814262
195,"Panchayat Union Ele.School, Western Side, Rasingapuram","1.Rasingapuram (R.V) And (P), Ward-2 Bothal Raj Thottam
2.Rasingapuram (R.V) And (P), Ward-2 Sowdamman Kovil Street
3.Rasingapuram (R.V) And (P), Ward-2 Kulathupatti
4.Rasingapuram (R.V) And (P), Ward-2 Samathuvapuram
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,199,155,9.205020920502092
212,"Govt. Kallar Hr. Sec. School,East Facing South West Building, Muthayan chettipatti","1.Pottipuram (R.V) And (P), Ward -5 Muthayan Chetti Patti, Main Road South Street
2.Pottipuram (R.V) And (P), Ward -5 Muthayan Chetti Patti, Main Road South Street
3.Pottipuram (R.V) And (P), Ward -5 Muthayan Chetti Patti, Main Road South Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,354,270,9.79020979020979
232,"Palaniyappa Memorial Hr. Sec. School, East Face Building, 1st Room From South Palanichettipatti.","1.Veerapandi (R.V), Palanichettipatti (T.P), Ward-12 Palaniyappan Street
2.Veerapandi (R.V), Palanichettipatti (T.P), Ward-12 Javagarlal Nehru Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,192,113,19.849246231155778
238,"Govt. Hr. Sec. School   , East Side North Building, Koduvilarpatti","1.Koduvilarpatti (R.V) And (P), Ward-3 A.D colony
2.Koduvilarpatti (R.V) And (P), Ward-3 Rajeev Gandhi Nagar
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,383,320,7.317073170731707
261,"Govt. Hr. Sec. School   , Western Building South Side , Veerapandi","1.Veerapandi (R.V) And (TP), Ward-13 Surulivel Pillai Street
2.Veerapandi (R.V) And (TP), Ward-12 Chellaiya Pillai Street
3.Veerapandi (R.V) And (TP), Ward-12 High School Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,382,275,11.263157894736842
262,"Govt. Hr. Sec. School   , Western Building North Part, Veerapandi","1.Veerapandi (R.V) And (TP), Ward-12 Harijana Colony Street
2.Veerapandi (R.V) And (TP), Ward-13 Main Road
3.Veerapandi (R.V) And (TP), Ward-14 Bajar Street
4.Veerapandi (R.V) And (TP), Ward-14 Teachers Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,210,199,1.9677996422182469
