Serial No. Of Polling Station,Location and Name of Building in which Polling Station located,Polling Area,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Percentage
77,"Zameintharani Kamulammal Memorial Ele.
School West Facing Room, Sundharapandian Street, Bodinayakanur","1.Bodinayakanur (R.V) And (M), Ward-25 Murugan Eakali Lane
2.Bodinayakanur (R.V) And (M), Ward-25 Paramasivan Kovil Street
3.Bodinayakanur (R.V) And (M), Ward-25 Sundhara Pandian Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,193,133,14.563106796116504
78,"Zameintharani Kamulammal Memorial Ele.
School, North Facing Room, Sundharapandian  Street, Bodinayakanur","1.Bodinayakanur (R.V) And (M), Ward-29 Lakshmanan Lane
2.Bodinayakanur (R.V) And (M), Ward-8 Old Hospital Lane
3.Bodinayakanur (R.V) And (M), Ward-25 Ottakamuthan Lane
4.Bodinayakanur (R.V) And (M), Ward-25 Mariappan Lane
5.Bodinayakanur (R.V) And (M), Ward-25 Punnaivanam Street
6.Bodinayakanur (R.V) And (M), Ward-25 Paranjothi Vathiyar Lane
7.Bodinayakanur (R.V) And (M), Ward-25 Alagiri Lane
8.Bodinayakanur (R.V) And (M), Ward-25 Murugan Lane
9.Bodinayakanur (R.V) And (M), Ward-25 Veerapathiran Street
10.Bodinayakanur (R.V) And (M), Ward-25 Thirumalairaja Lane
11.Bodinayakanur (R.V) And (M), Ward-25 Pattinathar Lane
12.Bodinayakanur (R.V) And (M), Ward-25 Medaiyandi Lane
13.Bodinayakanur (R.V) And (M), Ward-25 Valli Nayagam Lane
14.Bodinayakanur (R.V) And (M), Ward-25 Subramaniya Samy Kovil Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,157,123,8.947368421052632
79,"Zaminthrani Kamulammal Memorial Hr.  Sec. School, Centre Block, East Side, 11Std E Sec, Bodinayakanur.","1.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-23 Bodimettupathai
2.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-23 Manickavasakar Street
3.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-23 Ranimangammal Street
4.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-23 Nakkeerar Street
5.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-23 Thirumalaimannar Lane
6.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-25 Subiramaniya Swami Kovil Street
7.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-23 V.M. High School Lane
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,377,245,16.39751552795031
80,"Zaminthrani Kamulammal Memorial Hr.Sec.
School, Centre Block, 11th Std G Sec, Bodinayakanur.","1.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-23 Pillaiyar Kovil Street
2.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-23 Maruthupandiyar Street
3.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-23 Kannappar Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,335,218,16.883116883116884
81,"Zamintharani Kamulammal Memorial Hr.Sec. School, East Block, North Side, Staff Room (Gents), Bodinayakanur.","1.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-24- Sethuram Street
2.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-23- Periyandavar Kovil Street
3.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-23 Kamulammal Middle Street
4.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-23 Muthukaruppanan Street
5.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-23 Kaliyamman Kovil Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,323,202,17.310443490701
82,"Zamintharani Kamulammal Memorial Hr.Sec. School, East Block, Southern Side, Staff Room (Ladies), Bodinayakanur.","1.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-23 Umaithurai Street
2.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-23 V.M.High School West Lane
3.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-23 Narayanaguru Street
4.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-23 Periyandaverkuladhu Street
5.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-25 Subbramaniyasamy Kovil West Street
6.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-24 Ramasamy Lane
7.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-23 Madasamy Lane
8.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-22 Illathu Pillai Lane
9.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-24 Kuppinayakkanpatty Kaliyamman Kovil Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,276,183,14.903846153846153
83,"Sowendeeswari Middle School, Periyanda varpuram Near Head Post Office, Bodinayakanur.","1.Bodinayakanur (R.V) And (M), Ward-12 Periyandavarpuram East Lane1
2.Bodinayakanur (R.V) And (M), Ward-12 Periyandavarpuram Middle Lane1
3.Bodinayakanur (R.V) And (M), Ward-12 Father Vellai Lane
4.Bodinayakanur (R.V) And (M), Ward-12 Periyandavarpuram Street
5.Bodinayakanur (R.V) And (M), Ward-12 Station Lane
6.Bodinayakanur (R.V) And (M), Ward-12 Thirugnasambandhar Lane
7.Bodinayakanur (R.V) And (M), Ward-12 Kamarajar Bazzar
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,226,134,20.26431718061674
84,"ICDS Center, Santhai Pettai Street, Bodinayakanur","1.Bodinayakanur (R.V) And (M), Ward-12 Kamaiyasami Street
2.Bodinayakanur (R.V) And (M), Ward-12 Periyandavarpuram South Street
3.Bodinayakanur (R.V) And (M), Ward-12 Thirumoolar Lane
4.Bodinayakanur (R.V) And (M), Ward-12 Kamayasam North Lane
5.Bodinayakanur (R.V) And (M), Ward-12 Periyandavarpuram East Street
6.Bodinayakanur (R.V) And (M), Ward-12 Santhai Pettai Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,201,163,8.0
85,"10th Ward Municipal High School, South Side, Bodinayakanur.","1.Bodinayakanur (R.V) And (M), Ward-8 Pookkarar Street
2.Bodinayakanur (R.V) And (M), Ward-8 Mallaiyan Street
3.Bodinayakanur (R.V) And (M), Ward-8 Sowdamman Kovil Street
4.Bodinayakanur (R.V) And (M), Ward-8 Thiyagi Bojan Street
5.Bodinayakanur (R.V) And (M), Ward-8 Sivasamy Lane
6.Bodinayakanur (R.V) And (M), Ward-8 Kasppa Maniyakarar Street
7.Bodinayakanur (R.V) And (M), Ward-8 Urumikkaran Lane
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,266,183,14.954954954954955
86,"10th Ward Municipal High School, East Side, Bodinayakanur","1.Bodinayakanur (R.V) And (M), Ward-9 Mathuraiveeran Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,352,265,12.908011869436201
