Serial No. Of Polling Station,Location and Name of Building in which Polling Station located,Polling Area,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Percentage
158,"Suruli Kathirveluchamy Middle School, East Side, Dombuchery","1.Dombuchery (R.V) And (P), Ward-1 Andavar Kovil Street
2.Dombuchery (R.V) And (P), Ward-2 Middle Street,East Part
3.Dombuchery (R.V) And (P), Ward-1 Seelakari Kovil Street
4.Dombuchery (R.V) And (P), Ward-1 Andavar Kovil South Street
5.Dombuchery (R.V) And (P), Ward-1 Old V.A.O. Office Street
6.Dombuchery (R.V) And (P), Ward-1 T.M.M. School Street
7.Dombuchery (R.V) And (P), Ward-1 Co-Operative Bank Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,254,199,8.005822416302767
159,"Suruli Kathirveluchamy Middle School, South Side, Dombuchery","1.Dombuchery (R.V) And (P), Ward-2 S.K.S. School Street
2.Dombuchery (R.V) And (P), Ward-2 Renganathar Kovil Street
3.Dombuchery (R.V) And (P), Ward-2 T.G.House West Street
4.Dombuchery (R.V) And (P), Ward-2 Renganathar Kovil West Street
5.Dombuchery (R.V) And (P), Ward-3 Perumal  Kovil  Street
6.Dombuchery (R.V) And (P), Ward-3 Mail Veethi West Part
7.Dombuchery (R.V) And (P), Ward-3 Sowdamman Kovil Street
8.Dombuchery (R.V) And (P), Ward-3 Balamman Kovil Street
9.Dombuchery (R.V) And (P), Ward-3 Library Street
999.OVERSEAS ELECTORS",All India Anna Dravida Munnetra Kazhagam,180,171,1.6635859519408502
167,"Panchayat Union Middle School,       SSA Building West Side, B.Ammapatti","1.B.Ammapatti (R.V) And (P), Ward-1 West Street
2.B.Ammapatti (R.V) And (P), Ward-1 Main Street
3.B.Ammapatti (R.V) And (P), Ward-1 Akkamma Paatti Kovil Street
4.B.Ammapatti (R.V) And (P), Ward-1 East Street
5.B.Ammapatti (R.V) And (P), Ward-1 Karruppasamy Kovil Street
999.OVERSEAS ELECTORS",All India Anna Dravida Munnetra Kazhagam,219,218,0.14705882352941177
168,"Hindu Ele. School  , South Building, Sundrarajapuram","1.B.Ammapatti (R.V) And (P), Ward-2 Main Street
2.B.Ammapatti (R.V) And (P), Ward-2 Asariyar Street
3.B.Ammapatti (R.V) And (P), Ward-2 North Street
4.B.Ammapatti (R.V) And (P), Ward-2 North Street
5.B.Ammapatti (R.V) And (P), Ward-2 Alagar House Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,169,167,0.39603960396039606
169,"Hindu Ele. School  , East Building,Nort Side, Sundrarajapuram","1.B.Ammapatti (R.V) And (P), Ward-2 Pungamaram Street
2.B.Ammapatti (R.V) And (P), Ward-2 West Street
3.B.Ammapatti (R.V) And (P), Ward-2 East Street
4.B.Ammapatti (R.V) And (P), Ward-2 Adidravidar Colony
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,162,153,1.9027484143763214
173,"Govt. Kallar Ele. School, North Building, Perumal Gowndenpatti","1.B.Ammapatti (R.V) And (P), Ward-4 Middle  Street
2.B.Ammapatti (R.V) And (P), Ward-4 West Street
3.B.Ammapatti (R.V) And (P), Ward-4 Regupathi House Street
999.OVERSEAS ELECTORS",All India Anna Dravida Munnetra Kazhagam,335,135,31.545741324921135
176,"Govt. Hr. Sec. School , Additional Building,South Builidng Sillamarathupatt","1.B.Ammapatti (R.V), Sillamarathupatti (P), Ward-2 Gandhiji Street
2.B.Ammapatti (R.V), Sillamarathupatti (P), Ward-3 P.T.Rajan Street
3.B.Ammapatti (R.V), Sillamarathupatti (P), Ward-3 Nehruji 1st Street, High School Road
4.B.Ammapatti (R.V), Sillamarathupatti (P), Ward-3 Nehruji 2nd Street5.B.Ammapatti (R.V), Sillamarathupatti (P), Ward-3 Gandhiji Street
6.B.Ammapatti (R.V), Sillamarathupatti (P), Ward-3 Nethaji Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,239,157,15.157116451016636
177,"Panchayat Union Ele. School ,Western Block,North Building Sillamarathupatti","1.B.Ammapatti (R.V), Sillamarathupatti (P), Ward-4 Vivekananthar Street
2.B.Ammapatti (R.V), Sillamarathupatti (P), Ward-4 Gandhiji Street
3.B.Ammapatti (R.V), Sillamarathupatti (P), Ward-4 Nethaji Street-1
4.B.Ammapatti (R.V), Sillamarathupatti (P), Ward-5 Dr.Rathakrishnan Street-1
5.B.Ammapatti (R.V), Sillamarathupatti (P), Ward-5 Nethaji Street-2
6.B.Ammapatti (R.V), Sillamarathupatti (P), Ward-5 Tagore Street
7.B.Ammapatti (R.V), Sillamarathupatti (P), Ward-5 Nethaji Street3
8.B.Ammapatti (R.V), Sillamarathupatti (P), Ward-5 Dr.Rathakrishnan Street-2
9.B.Ammapatti (R.V), Sillamarathupatti (P), Ward-5 Nethaji Street-4
10.B.Ammapatti (R.V), Sillamarathupatti (P), Ward-5 Kalliaymman Kovil Back Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,152,148,0.8639308855291578
178,"Panchayat Union Ele. School,West Block, Middle Building,Sillamarathupatti","1.B.Ammapatti (R.V), Sillamarathupatti (P), Ward-5 Bharathiar Street
2.B.Ammapatti (R.V), Sillamarathupatti (P), Ward-5 Thiyagi Alagarsami Street
3.B.Ammapatti (R.V), Sillamarathupatti (P), Ward-5 Jeevanandam
4.B.Ammapatti (R.V), Sillamarathupatti (P), Ward-5 Thiru V.K.Street
5.B.Ammapatti (R.V), Sillamarathupatti (P), Ward-5 Anna Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,237,186,8.082408874801903
179,"Panchayat Union Ele. School, Eastern Side, Middle Building, Sillamarathupatti","1.B.Ammapatti (R.V), Sillamarathupatti (P), Ward-4 Panchayat Union Street
2.B.Ammapatti (R.V), Sillamarathupatti (P), Ward-4 Panchayat Union School Street
3.B.Ammapatti (R.V), Sillamarathupatti (P), Ward-4 Lalbagathur Street
4.B.Ammapatti (R.V), Sillamarathupatti (P), Ward-4 Thilagar Street
5.B.Ammapatti (R.V), Sillamarathupatti (P), Ward-4  Nethaji Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,276,176,15.384615384615385
187,"Panchayat Union Middle School,West Block, Sulapuram","1.Silamalai (R.V) And (P), Ward-5 Sulapuram Urumikarar Street
2.Silamalai (R.V) And (P), Ward-5 North Sulapuram
3.Silamalai (R.V) And (P), Ward-5 Sourth Sulapuram
4.Silamalai (R.V) And (P), Ward-5 West Sulapuram
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,284,281,0.35294117647058826
192,"Govt.High School, South Side,West Building, Rasingapuram","1.Rasingapuram (R.V) And (P), Ward-1 Mallingapuram Salai
2.Rasingapuram (R.V) And (P), Ward-1 Manthaiammal Kovil Street
999.OVERSEAS ELECTORS",All India Anna Dravida Munnetra Kazhagam,184,141,8.921161825726141
193,"Govt.High, School,  East Building,West Facing, Center Room, Rasingapuram","1.Rasingapuram (R.V) And (P), Ward-1 Singaravel Street
2.Rasingapuram (R.V) And (P), Ward-1 Kullajja  Gownder Thottam
3.Rasingapuram (R.V) And (P), Ward-1 Sowdamman Kovil  Street
4.Rasingapuram (R.V) And (P), Ward-1 Kariragavan Street
5.Rasingapuram (R.V) And (P), Ward-1 Ponnappan Street
6.Rasingapuram (R.V) And (P), Ward-1 Nagayasamy Street
999.OVERSEAS ELECTORS",All India Anna Dravida Munnetra Kazhagam,162,157,1.0101010101010102
194,"Panchayat Union Ele.School, Eastern Side, Rasingapuram","1.Rasingapuram (R.V) And (P), Ward-2 Raj  Teacher Street
2.Rasingapuram (R.V) And (P), Ward-2 Kurumbar Savadi Street
3.Rasingapuram (R.V) And (P), Ward-2 Muthaiahsami Kovil Street
4.Rasingapuram (R.V) And (P), Ward-2 Nagaiahsami Street
5.Rasingapuram (R.V) And (P), Ward-2 Bodi - Thevaram Main Road
999.OVERSEAS ELECTORS",All India Anna Dravida Munnetra Kazhagam,234,217,2.689873417721519
196,"Panchayat Union Middle School,North Building,West Room, Kariappagoundanpatti, Rasingapuram","1.Rasingapuram (R.V) And (P), Ward-3 Bodi Thevaram Salai
2.Rasingapuram (R.V) And (P), Ward-3 Ondiveerapasami Kovil street
3.Rasingapuram (R.V) And (P), Ward-3 Seeninayakar Thottam
4.Rasingapuram (R.V) And (P), Ward-3 Panchayat Union Elementary School
5.Rasingapuram (R.V) And (P), Ward-3 Old I.O.B.Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,211,162,9.227871939736348
198,"Panchayat Union Middle School,South Building, West Room, Kariappagoundanpatti, Rasingapuram","1.Rasingapuram (R.V) And (P), Ward-4 P.Subbaian House Street
2.Rasingapuram (R.V) And (P), Ward-4 Kariappakoundanpatti Main Road
3.Rasingapuram (R.V) And (P), Ward-4 Old O.H.T. Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,161,141,4.618937644341801
199,"Panchayat Union Middle School,South Building, East Room, Kariappagoundanpatti, Rasingapuram","1.Rasingapuram (R.V) And (P), Ward-4 Seerangu Street
2.Rasingapuram (R.V) And (P), Ward-4 Rajammal Street
3.Rasingapuram (R.V) And (P), Ward-4 Ponnammal Kovil Street
4.Rasingapuram (R.V) And (P), Ward-4 Kodiya Bomminayakan Patti
5.Rasingapuram (R.V) And (P), Ward-4 Veerajakkammal Puram
999.OVERSEAS ELECTORS",All India Anna Dravida Munnetra Kazhagam,274,235,5.1655629139072845
