Serial No. Of Polling Station,Location and Name of Building in which Polling Station located,Polling Area,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Percentage
165,"Kaligadevi Ele. School, North Block, Western Side, Pathirakalipuram","1.Dombuchery (R.V) And (P), Ward-5 Main Bus Road
2.Dombuchery (R.V) And (P), Ward-5 S.C. Main Street
3.Dombuchery (R.V) And (P), Ward-5 Salimarathupatti
4.Dombuchery (R.V) And (P), Ward-5 Karisalkalam
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,276,97,39.4273127753304
170,"C.S.I Ele.School, Eastern Side, Visuvasapuram","1.B.Ammapatti (R.V) And (P), Ward-3 East Street
2.B.Ammapatti (R.V) And (P), Ward-6 C.S.I School Street-1
3.B.Ammapatti (R.V) And (P), Ward-3 Main Street
4.B.Ammapatti (R.V) And (P), Ward-3 C.S.I School Street-2
5.B.Ammapatti (R.V) And (P), Ward-3 Middle School
6.B.Ammapatti (R.V) And (P), Ward-3 Middle Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,474,219,28.23920265780731
171,"C.S.I Ele.School , Western Side, Visuvasapuram","1.B.Ammapatti (R.V) And (P), Ward-3 Main Street
2.B.Ammapatti (R.V) And (P), Ward-3 Pillaiyar Kovil Street
3.B.Ammapatti (R.V) And (P), Ward-3 Adidravidar Colony
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,382,148,33.285917496443815
172,"Govt. Kallar Ele. School, West Building, Perumal Gowndenpatti","1.B.Ammapatti (R.V) And (P), Ward-4 S.C.Colony
2.B.Ammapatti (R.V) And (P), Ward-4 East Street
3.B.Ammapatti (R.V) And (P), Ward-4 Ration Shop Street
4.B.Ammapatti (R.V) And (P), Ward-4 Pillaiyar Kovil Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,257,157,17.6056338028169
197,"Panchayat Union Middle School,West Side, Kariappagoundanpatti, Rasingapuram","1.Rasingapuram (R.V) And (P), Ward-3 Pandurangan Street
2.Rasingapuram (R.V) And (P), Ward-3 Thilagar Lane
3.Rasingapuram (R.V) And (P), Ward-3 Krishnasami Street
4.Rasingapuram (R.V) And (P), Ward-3 Alagarsami Kovil Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,247,141,20.15209125475285
201,"Govt.Kaller Primary School, East Side, South Facing Room, Koolaiyanur","1.Koolaiyanur (R.V) And (P), Ward-1 Ayyanathapuram
2.Koolaiyanur (R.V) And (P), Ward-2 Chellayapillai Lane
3.Koolaiyanur (R.V) And (P), Ward-2 Agraharam Street 1
4.Koolaiyanur (R.V) And (P), Ward-2 Petchiyamman Kovil Street
5.Koolaiyanur (R.V) And (P), Ward-2 Agraharam Street-2
6.Koolaiyanur (R.V) And (P), Ward-2 Gounder Street
7.Koolaiyanur (R.V) And (P), Ward-2 East Street
8.Koolaiyanur (R.V) And (P), Ward-2 Chekkadi Street-1
9.Koolaiyanur (R.V) And (P), Ward-2 Chekkadi Street-2
10.Koolaiyanur (R.V) And (P), Ward-2 Athithiravidar North Street
11.Koolaiyanur (R.V) And (P), Ward-2 Indira Colony Old Street
12.Koolaiyanur (R.V) And (P), Ward-2 Indira Colony Middle Street
13.Koolaiyanur (R.V) And (P), Ward-2 Indira Colony West Street
14.Koolaiyanur (R.V) And (P), Ward-2 Indira Colony Middle Street
15.Koolaiyanur (R.V) And (P), Ward-2 Indira Colony East Street
16.Koolaiyanur (R.V) And (P), Ward-2 Main Road-4
17.Koolaiyanur (R.V) And (P), Ward-2 Panchayathu Office street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,356,211,18.661518661518663
205,"Panchayat Union Middle School, New Building,  West Side, Thimminayakkanpatti","1.Pottipuram (R.V), Thimminayakanpatti (P), Ward-5 Thimminayakkanpatti Black1 South Street
2.Pottipuram (R.V), Thimminayakanpatti (P), Ward-5 Thimminayakkanpatti Black2 Harijana Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,399,220,23.583662714097496
206,"Panchayat Union Ele. School, New Building
Kuppanasaripatti","1.Pottipuram (R.V), Thimminayakanpatti (P), Ward-4 Kuppanasaripatti Block 3 Main Road Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,221,141,16.06425702811245
207,"Panchayat Union Elementary School, New Building North Side. Ramakrishnapuram","1.Pottipuram (R.V) And (P), Ward-3 Pottipuram Block-5
2.Pottipuram (R.V) And (P), Ward-2 Ramakrishnapuram Block-6
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,418,180,29.059829059829063
208,"Panchayat Union Middle School, East
Facing, North West Building, Chinnapottipuram","1.Pottipuram (R.V) And (P), Ward-3 Chinnapottipuram Block-4
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,342,188,22.916666666666664
209,"Panchayat Union Primary School , New
Building Western Portion,
Ramakrishnapuram","1.Pottipuram (R.V) And (P), Pottipuram (P) Ward-2 East Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,339,85,45.601436265709154
210,"Panchayat Union Middle School, Northern
Side, T.Puthukottai","1.Pottipuram (R.V) And (P), T.Puthukottai Block-7,  Ward-1 Main Road
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,325,154,26.067073170731707
211,"Gandhiji Vidyalaya Ele. School, East Facing, West Building, Erranampatti","1.Pottipuram (R.V) And (P), Ward-2 Main Road East Street
2.Pottipuram (R.V) And (P), Ward-3 Main Road West Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,553,156,44.4568868980963
213,"Panchayat Union Ele. School, East facing West Side building, Vadamalairajapuram","1.Pottipuram (R.V) And (P),  Ward-1 Konampatti @ Vadamalai Rajapuram Block-1
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,299,133,29.173989455184536
214,"Panchayat Union Ele. School, Kanthasamypuram","1.Pottipuram (R.V) And (P),  Ward-1 Kandasamipuram Block-1 Nagalapuram Main Road
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,103,40,35.0
