Polling_Station_No,location_clean,Dominant_Party_In_Booth,Dominant_Party_Votes,Margin_Of_Victory
228,Chennai-11,dravida munnetra kazhagam,333,95
229,Chennai-11,dravida munnetra kazhagam,328,87
230,Chennai-11,dravida munnetra kazhagam,280,83
231,Chennai-11,tamilaga vettri kazhagam,313,57
232,Chennai-11,tamilaga vettri kazhagam,311,86
233,Chennai-11,tamilaga vettri kazhagam,315,119
234,Chennai-11,dravida munnetra kazhagam,312,34
235,Chennai-11,dravida munnetra kazhagam,233,4
236,Chennai-11,tamilaga vettri kazhagam,190,8
237,Chennai-23,dravida munnetra kazhagam,177,14
238,Chennai-23,dravida munnetra kazhagam,351,15
239,Chennai-23,dravida munnetra kazhagam,296,44
240,Chennai-23,tamilaga vettri kazhagam,362,105
241,Chennai-23,tamilaga vettri kazhagam,287,34
242,Greater chennai corporation Dobikana Thikkualam Ayanavaram chennai-23,tamilaga vettri kazhagam,269,39
243,Room 2,tamilaga vettri kazhagam,207,24
244,Greater chennai corporation Dobikana Thikkualam Ayanavaram chennai-23,tamilaga vettri kazhagam,350,59
245,Greater chennai corporation Dobikana Thikkualam Ayanavaram chennai-23,tamilaga vettri kazhagam,485,208
246,Ch-23,tamilaga vettri kazhagam,256,44
247,Ch-23,tamilaga vettri kazhagam,338,193
248,Ch-23,tamilaga vettri kazhagam,273,84
249,Greater chennai corporation Dobikana Thikkualam Ayanavaram chennai-23,dravida munnetra kazhagam,232,63
250,Ch-82,tamilaga vettri kazhagam,306,36
251,Ch-82,tamilaga vettri kazhagam,244,52
252,Ch-82,tamilaga vettri kazhagam,281,37
253,"Chennai primary School Punitha Sagaya Matha Street
G.K.M Colony 27th street Chennai-82",tamilaga vettri kazhagam,227,15
254,"Chennai primary School Punitha Sagaya Matha Street
G.K.M Colony 27th street Chennai-82",dravida munnetra kazhagam,300,25
255,"Chennai primary School Punitha Sagaya Matha Street
G.K.M Colony 27th street Chennai-82",tamilaga vettri kazhagam,273,41
256,GKM Colony Ch-82.,dravida munnetra kazhagam,296,3
257,GKM Colony Ch-82 North facing Room 2,tamilaga vettri kazhagam,321,90
258,GKM Colony Ch-82 North facing Room 3,tamilaga vettri kazhagam,214,28
259,GKM Colony Ch-82.,tamilaga vettri kazhagam,313,26
260,GKM Colony Ch-82 North facing Room 4,dravida munnetra kazhagam,395,50
261,Chennai-82,dravida munnetra kazhagam,263,76
262,GKM Colony Ch-82 North facing Room 5,tamilaga vettri kazhagam,380,115
263,"Chennai primary School Punitha Sagaya Matha Street
G.K.M Colony 27th street Chennai-82",tamilaga vettri kazhagam,264,6
264,"Chennai primary School Punitha Sagaya Matha Street
G.K.M Colony 27th street Chennai-82",tamilaga vettri kazhagam,283,23
265,"Chennai primary School Punitha Sagaya Matha Street
G.K.M Colony 27th street Chennai-82",tamilaga vettri kazhagam,176,2
266,"Chennai primary School Punitha Sagaya Matha Street
G.K.M Colony 27th street Chennai-82",tamilaga vettri kazhagam,364,152
267,Ch-82,dravida munnetra kazhagam,290,100
268,Room 2,dravida munnetra kazhagam,523,278
269,Ch-82,tamilaga vettri kazhagam,382,104
270,Ch-82,tamilaga vettri kazhagam,245,58
271,Ch-82,dravida munnetra kazhagam,278,2
272,Ch-82,dravida munnetra kazhagam,355,108
273,Chennai-11,tamilaga vettri kazhagam,332,50
274,Chennai-11,tamilaga vettri kazhagam,332,25
275,Chennai-11,tamilaga vettri kazhagam,311,118
276,Ch-82,tamilaga vettri kazhagam,267,42
277,Chennai-82,tamilaga vettri kazhagam,236,9
278,Sacred Heart Nursery and Primary School No 6 SRP Koil Street South jawahar nagar Chennai-600082 West Block East facing Room 2,tamilaga vettri kazhagam,393,139
279,Ch-82,tamilaga vettri kazhagam,281,87
