Location and Name of Building in Which Polling Station Located,Total_Booths_In_Locality,Dominant_Party,Dominant_Party_Booths_Won
"GOVT.GIRLS.HR.SEC.SCHOOL, NORTHERN BUILDING,SOUTHERN PORTION,PATHAMADAI",1,Indian National Congress,1
"GOVT.HR SCHOOL, NORTHERN BUILDING, VELLANGULI",1,Tamilaga Vettri Kazhagam,1
"GOVT.HR.SEC. SCHOOL, SOUTH BUILDING, ( SOUTH FACING) VELLANGULI",1,Tamilaga Vettri Kazhagam,1
"GOVT.HR.SEC.SCHOOL, NEW BUILDING, HALL NO 2, SOUTHERN BUILDING, CENTRE PORTION, KALLIDAIKURICHI",1,Tamilaga Vettri Kazhagam,1
"GOVT.HR.SEC.SCHOOL, NORTHERN BUILDING, KALLIDAIKURICHI",1,All India Anna Dravida Munnetra Kazhagam,1
"GOVT.HR.SEC.SCHOOL, NORTHERN BUILDING, KALLIDAIKURICHI CENTER PORTATION",1,Indian National Congress,1
"GRAMA SEVAI CENTRE, NORTHERN PORTION VAIRAVIKULAM",1,Tamilaga Vettri Kazhagam,1
"GRAMA SEVAI CENTRE, SATTUPATHU",1,All India Anna Dravida Munnetra Kazhagam,1
"GRAMA SEVAI CENTRE, WESTERN PORTION DOOR NO.289 ABOVE VAIRAVIKULAM",1,Indian National Congress,1
"HARIJAN COMMITTEE SCHOOL, SHENBAGAVALLI AMMAN KOVIL COLONY THERKKU ARIYANAYAGIPURAM",1,All India Anna Dravida Munnetra Kazhagam,1
"HINDU MIDDLE SCHOOL, EASTERN CENTRAL PORTION, V",1,All India Anna Dravida Munnetra Kazhagam,1
"HINDU MIDDLE SCHOOL, EASTERN PORTION EAST SIDE VADAKKU KARUKURICHI",1,Tamilaga Vettri Kazhagam,1
"HINDU MIDDLE SCHOOL, EASTERN PORTION WEST SIDE VADAKKU KARUKURICHI",1,Tamilaga Vettri Kazhagam,1
"HINDU MIDDLE SCHOOL, NORTHERN BUILDING HARIKESAVANALLUR",1,All India Anna Dravida Munnetra Kazhagam,1
"HINDU MIDDLE SCHOOL, SOUTHERN BUILDING HARIKESAVANALLUR",1,All India Anna Dravida Munnetra Kazhagam,1
"HINDU MIDDLE SCHOOL, WESTERN PORTION, VAGAIKUL",1,All India Anna Dravida Munnetra Kazhagam,1
"HINDU NADAR PRIMARY SCHOOL, POLIKKARAI NOTHERN SIDE, CHERANMAHADEVI",1,All India Anna Dravida Munnetra Kazhagam,1
HINDU PRIMARY SCHOOL WESTERN PORTION ALADIYUR,1,All India Anna Dravida Munnetra Kazhagam,1
"HINDU PRIMARY SCHOOL, EAST WEST BUILDING KARISULNTHAMANGALAM",1,All India Anna Dravida Munnetra Kazhagam,1
"HINDU PRIMARY SCHOOL, EASTERN PORTION, ALADIYUR",1,All India Anna Dravida Munnetra Kazhagam,1
"HINDU PRIMARY SCHOOL, NEW BUILDING, SOUTH SIDE,",1,All India Anna Dravida Munnetra Kazhagam,1
"HINDU PRIMARY SCHOOL, WEST BUILDING KARISULNTHAMANGALAM",1,All India Anna Dravida Munnetra Kazhagam,1
"KAMARAJAR MIDDLE SCHOOL, EASTERN POTION, SIVANTHIPURAM",1,All India Anna Dravida Munnetra Kazhagam,1
"KAMARAJAR MIDDLE SCHOOL, WESTERN PORTION, SIVANTHIPURAM",1,All India Anna Dravida Munnetra Kazhagam,1
"KING GEORGE PRIMARY SCHOOL, EAST BUILDING, ZAMIN SINGAMPATTI",1,All India Anna Dravida Munnetra Kazhagam,1
"KING GEORGE PRIMARY SCHOOL, MAIN BUILDING, SOUTHERN PORTION, ZAMIN SINGAMPATTI",1,All India Anna Dravida Munnetra Kazhagam,1
"LAKSHMIPATHI MIDDLE SCHOOL, EASTERN PORTION MAIN BUILDING KALLIDAIKURICHI",1,Tamilaga Vettri Kazhagam,1
"LAKSHMIPATHI MIDDLE SCHOOL, WESTERN PORTION MAIN BUILDING KALLIDAIKURICHI",1,All India Anna Dravida Munnetra Kazhagam,1
"LALITHA PRIMARY SCHOOL, WESTERN PORTION, MUDALIAPPAPURAM STREET, KALLIDAIKURICHI",1,All India Anna Dravida Munnetra Kazhagam,1
"LIBRARY BUILDING, RAJAKUTHALAPERI, ATHALANALLUR",1,All India Anna Dravida Munnetra Kazhagam,1
"LIBRARY NEW BUILDING, ADAIYAKARUNKULAM",1,Indian National Congress,1
"MOHEIDEEN FATHIMA MIDDLE SCHOOL, NEW BUILDING, GOLDEN JUBLIE SPORTS GROUND, SOUTHERN PORTION AMBASAMUDRAM",1,All India Anna Dravida Munnetra Kazhagam,1
"MOHIDEEN FATHIMA MIDDLE SCHOOL, EAST BUILDING, NORTHERN PORTION, (STD - I & II) AMBASAMUDRAM.",1,Indian National Congress,1
"MUNCIPALITY MARRIAGE HALL MAIN BULIDING , EAST PORTION MAIN ROAD, AMBASAMUDRAM",1,All India Anna Dravida Munnetra Kazhagam,1
"MUNCIPALITY MARRIAGE HALL MAIN BULIDING, MIDDLE PORTION MAIN ROAD, AMBASAMUDRAM",1,All India Anna Dravida Munnetra Kazhagam,1
"MUNCIPALITY MARRIAGE HALL MAIN BULIDING, WEST PORTION MAIN ROAD, AMBASAMUDRAM",1,All India Anna Dravida Munnetra Kazhagam,1
MUNICIPALITY MARRIAGE BUIDING NORTH BULIDING MAIN ROAD AMBASAMUDRAM,1,All India Anna Dravida Munnetra Kazhagam,1
