Serial No. Of Polling Station,Location and Name of Building in Which Polling Station Located,Polling Areas,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
153,"THEERTHAPATHI HR.SEC. SCHOOL, S S K BLOCK EASTRN BUILDING ROOM NO.2AMBASAMUDRAM.","Ambasamudram (M), Main Road",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,20,4.938271604938271
156,"SEDHU SUBRAMANIYAN MIDDLE SCHOOL, EASTERN BUILDING, SOUTHERN PORTION, URKAD","1 - Ambasamudram (M), Nadar Street",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,28,3.149606299212598
161,"LAKSHMIPATHI MIDDLE SCHOOL, EASTERN PORTION MAIN BUILDING KALLIDAIKURICHI","1 - Kallidaikuruchi (TP), Ward No 95 Therkku Ratha Veethi Vadapagam Street",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,4,0.6125574272588056
168,"GOVT.HR.SEC.SCHOOL, NORTHERN BUILDING, KALLIDAIKURICHI CENTER PORTATION","1 - Kallidaikurichi (T.P), Ward No 8 Railway Line",Indian National Congress,All India Anna Dravida Munnetra Kazhagam,20,3.466204506065858
169,"GOVT.HR.SEC.SCHOOL, NEW BUILDING, HALL NO 2, SOUTHERN BUILDING, CENTRE PORTION, KALLIDAIKURICHI","1 - Kallidaikurichi (T.P), Ward No 8 Attuthattai Street",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,22,3.206997084548105
181,"PANCHAYAT UNION MIDDLE SCHOOL, SELF SUFFICIENCY SCHEME, KUMARAKOIL EAST CAR STREET KALLIDAIKURICHI","1 - Kallidaikurichi (M), Ward No 11 Thalachery Street",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,25,3.720238095238095
184,"CHITRA PRIMARY SCHOOL, WESTERN BUILDING, MADAVILAGAM STREET, KALLIDAIKURICHI","1 - Kallidaikurichi (M), Ward No 12 Akkasalai Pillaiyar Kovil Street",Indian National Congress,Tamilaga Vettri Kazhagam,2,0.2469135802469136
185,"CHITRA PRIMARY SCHOOL, EASTERN BUILDING MADAVILAGAM STREET KALLIDAIKURICHI","1 - Kallidaikurichi (M), Ward No 13 North Karambai",All India Anna Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,0,0.0
190,"GOVERNMENT PRIMARY SCHOOL, NORTHERN BUILDING, MOOLACHI, KALLIDAIKURICHI","1 - Therkku Kallidaikurichi (R.V), Moolachi (P), Block No 1 Therkku Karambai",All India Anna Dravida Munnetra Kazhagam,Indian National Congress,3,0.5671077504725899
191,"GOVERNMENT PRIMARY SCHOOL, SOUTHER PORTION MOOLACHI KALLIDAIKURICHI","1 - Therkku Veeravanallur (R.V), Moolachi (P), Block No 8 Moolachi",Indian National Congress,All India Anna Dravida Munnetra Kazhagam,36,4.539722572509458
192,"COMMUNITY HALL, EASTERN PORTION, PONMA NAGAR KALLIDAIKURICHI.","1 - Therkku Kallidaikurichi (R.V), Moolachi (P), Block No 2 Senparuthimetu Ponmanagar Door No, 1 to 135",Tamilaga Vettri Kazhagam,Indian National Congress,5,0.9765625
193,"COMMUNITY HALL,WESTERN PORTION ,PONMA NAGAR KALLIDAIKURICHI.","1 - Therkku Kallidaikurichi (R.V), Moolachi (P), Block No 2 Senparuthimetu Ponmanagar Door No,136 Above",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,9,1.54639175257732
194,"PANCHAYAT UNION PRIMARY SCHOOL, NORTHERN BUILDING NESAVALLER COLONY THERKKU KALLIDAIKURICHI","2 - Therkku Veeravanallur (R.V), Moolachi (P), Block No 9 Ponmanagar Pudhu Colony",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,8,1.302931596091205
