Polling_Station_No,location_clean,total of valid votes,Total_Independent_Votes,Winner_Party,Margin_Of_Victory,Independent_Vote_Share_%,Is_Spoiler_Risk
162,T.D.T.A   Primary School  South Portion West  Side Vellalankulam.,334,3,tamilaga vettri kazhagam,100,0.8982035928143712,No
314,Inside  North Building East  Side  Tirunelveli  Town.,334,3,tamilaga vettri kazhagam,41,0.8982035928143712,No
316,Tirunelveli  Town.,336,3,all india anna dravida munnetra kazhagam,0,0.8928571428571428,Yes
386,Sindupoondurai.,679,6,tamilaga vettri kazhagam,73,0.8836524300441826,No
44,Anaithalaiyur.,568,5,dravida munnetra kazhagam,5,0.8802816901408451,No
179,Suthamalli.,686,6,tamilaga vettri kazhagam,53,0.8746355685131195,No
65,Naranammalpuram.,572,5,dravida munnetra kazhagam,22,0.8741258741258742,No
204,East  Facing North   Building Pettai,572,5,tamilaga vettri kazhagam,58,0.8741258741258742,No
3,GoldenJubilee  Block (west  Portion) Ukkirankottai.,458,4,tamilaga vettri kazhagam,121,0.8733624454148471,No
95,Thalaiyuthu.,688,6,dravida munnetra kazhagam,260,0.872093023255814,No
59,Rajavallipuram.,576,5,tamilaga vettri kazhagam,8,0.8680555555555556,No
320,Tirunelveli  Town.,231,2,all india anna dravida munnetra kazhagam,15,0.8658008658008658,No
117,Parvathiyapuram,814,7,dravida munnetra kazhagam,174,0.85995085995086,No
116,Middle  Building West  Portion Manur.,470,4,tamilaga vettri kazhagam,30,0.851063829787234,No
47,Duraiyoor,588,5,dravida munnetra kazhagam,3,0.8503401360544218,Yes
337,Tirunelveli  Town.,590,5,tamilaga vettri kazhagam,12,0.847457627118644,No
93,Thalaiyuthu.,709,6,dravida munnetra kazhagam,70,0.846262341325811,No
310,Tirunelveli  Town.,473,4,tamilaga vettri kazhagam,33,0.8456659619450317,No
309,Thiruvaduthurai  Athinam Esanamadam   West  Car  Street Tirunelveli  Town,595,5,tamilaga vettri kazhagam,73,0.8403361344537815,No
300,Tirunelveli.,597,5,tamilaga vettri kazhagam,37,0.8375209380234505,No
376,Pirankulam Azhaganeri.,722,6,tamilaga vettri kazhagam,78,0.8310249307479225,No
97,Vadakku Thalaiyuthu.,728,6,tamilaga vettri kazhagam,100,0.8241758241758242,No
286,Tirunelveli  Town.,364,3,tamilaga vettri kazhagam,57,0.8241758241758242,No
364,Thachanallur.,613,5,tamilaga vettri kazhagam,79,0.8156606851549755,No
335,Adaikkalamatha Matriculation School  East  Side  Kandiaperi  - II Village  Tirunelveli  Town Saliar  Street,493,4,tamilaga vettri kazhagam,113,0.8113590263691683,No
209,Tirunelvelli.,618,5,dravida munnetra kazhagam,250,0.8090614886731391,No
282,Tirunelveli  Town.,754,6,tamilaga vettri kazhagam,94,0.7957559681697612,No
133,Vallavankottai.,504,4,dravida munnetra kazhagam,17,0.7936507936507936,No
330,Adaikkalamatha Matriculation School  Middle  Kandiaperi  -II Village  Tirunelveli  Town Saliar  Street,513,4,tamilaga vettri kazhagam,85,0.7797270955165692,No
145,East  Building   1st  Room Ramayanpatti.,258,2,tamilaga vettri kazhagam,57,0.7751937984496124,No
74,Chathramkudieruppu.,647,5,tamilaga vettri kazhagam,59,0.7727975270479135,No
351,Main building    2nd Room Madurai  Road Thachanallur,648,5,all india anna dravida munnetra kazhagam,46,0.7716049382716049,No
319,Tirunelveli  Town.,529,4,tamilaga vettri kazhagam,52,0.7561436672967864,No
230,Rani  Anna Girls Higher  Secondary School   West  Portion From North   Room   Pettai.,398,3,dravida munnetra kazhagam,242,0.7537688442211055,No
381,Tirunelveli  Corporation Child Care  Center  Center  No -16 Udaiyarpatti.,532,4,tamilaga vettri kazhagam,21,0.7518796992481203,No
349,Coporation Primary School  North Side  East  Portion Thachanallur,532,4,tamilaga vettri kazhagam,118,0.7518796992481203,No
98,Keelathenkalam.,668,5,dravida munnetra kazhagam,1,0.7485029940119761,Yes
252,Palaiyapettai.,407,3,tamilaga vettri kazhagam,62,0.7371007371007371,No
323,Tirunelveli  Town.,548,4,dravida munnetra kazhagam,29,0.7299270072992701,No
118,Parvathiyapuram,689,5,dravida munnetra kazhagam,67,0.7256894049346879,No
206,Panchayat  Union Primary School  South Building Chithankudiruppu Thenpattu,695,5,dravida munnetra kazhagam,168,0.7194244604316548,No
6,Golden Jubilee  Block (East  Portion) Ukkirankottai.,558,4,dravida munnetra kazhagam,134,0.7168458781362007,No
214,Pettai.,422,3,tamilaga vettri kazhagam,52,0.7109004739336493,No
285,Tirunelveli  Town.,704,5,tamilaga vettri kazhagam,94,0.7102272727272727,No
341,Kandiyaprei  Village,423,3,tamilaga vettri kazhagam,56,0.7092198581560284,No
248,Punitha Anthoniyar  Primary School   West  Building North Portion   Pettai,424,3,tamilaga vettri kazhagam,98,0.7075471698113208,No
238,Pettai.,566,4,tamilaga vettri kazhagam,107,0.7067137809187279,No
272,Tirunelveli  Town.,711,5,tamilaga vettri kazhagam,35,0.7032348804500703,No
361,Thatchanallur,427,3,tamilaga vettri kazhagam,3,0.702576112412178,No
173,Nadukkallur.,433,3,tamilaga vettri kazhagam,27,0.6928406466512702,No
348,North Side  West  Portion Thachanallur.,578,4,tamilaga vettri kazhagam,130,0.6920415224913495,No
383,Udaiyarpatti.,434,3,tamilaga vettri kazhagam,21,0.6912442396313364,No
325,Tirunelveli  Town.,436,3,tamilaga vettri kazhagam,16,0.6880733944954129,No
80,2nd Room Chathramkudieruppu.,582,4,all india anna dravida munnetra kazhagam,25,0.6872852233676976,No
229,Pettai.,585,4,dravida munnetra kazhagam,256,0.6837606837606838,No
191,Suthamalli.,441,3,tamilaga vettri kazhagam,109,0.6802721088435374,No
168,Community Hall   South Sankanthiradu,294,2,all india anna dravida munnetra kazhagam,73,0.6802721088435374,No
291,Tirunelveli  Town.,444,3,dravida munnetra kazhagam,3,0.6756756756756757,No
328,Tirunelveli  Town.,447,3,tamilaga vettri kazhagam,69,0.6711409395973155,No
42,Anaithalaiyur.,448,3,dravida munnetra kazhagam,84,0.6696428571428571,No
293,Tirunelveli  Town.,761,5,tamilaga vettri kazhagam,10,0.657030223390276,No
79,1st Room Chathramkudieruppu.,468,3,tamilaga vettri kazhagam,36,0.641025641025641,No
367,Thachanallur.,630,4,tamilaga vettri kazhagam,39,0.6349206349206349,No
222,Pettai.,630,4,dravida munnetra kazhagam,10,0.6349206349206349,No
9,Vagaikulam.,476,3,all india anna dravida munnetra kazhagam,42,0.6302521008403361,No
84,Main Block Room No -11,635,4,tamilaga vettri kazhagam,52,0.6299212598425197,No
16,Azhahiyapandipuram,643,4,tamilaga vettri kazhagam,13,0.6220839813374806,No
92,Thalaiyuthu.,483,3,dravida munnetra kazhagam,70,0.6211180124223602,No
90,Main Block Room No -9,483,3,tamilaga vettri kazhagam,95,0.6211180124223602,No
86,Sankar  Nagar.,494,3,dravida munnetra kazhagam,20,0.6072874493927125,No
208,Tirunelvelli.,660,4,dravida munnetra kazhagam,242,0.6060606060606061,No
159,Sri  Nivedhita Nursery & Primary School   West  Building East Portion Thiruppanikarisalkulam   Road Pettai,827,5,dravida munnetra kazhagam,48,0.6045949214026602,No
232,Rani  Anna Girls Higher  Secondary School   West  Side  From South   Pettai.,331,2,dravida munnetra kazhagam,219,0.6042296072507553,No
362,Thachanallur.,497,3,tamilaga vettri kazhagam,15,0.6036217303822937,No
267,Palaiyapettai,332,2,tamilaga vettri kazhagam,44,0.6024096385542169,No
321,Western side  first building southern face  first  room,336,2,tamilaga vettri kazhagam,30,0.5952380952380952,No
194,Narasinganallur.,507,3,tamilaga vettri kazhagam,103,0.591715976331361,No
210,Tirunelvelli.,338,2,dravida munnetra kazhagam,9,0.591715976331361,No
315,Tirunelveli  Town.,341,2,tamilaga vettri kazhagam,38,0.5865102639296188,No
81,Sankar  Nagar.,524,3,tamilaga vettri kazhagam,30,0.5725190839694656,No
268,Tirunelveli  Town.,524,3,dravida munnetra kazhagam,206,0.5725190839694656,No
219,Pettai.,354,2,tamilaga vettri kazhagam,8,0.5649717514124294,No
298,Tirunelveli  Town.,711,4,tamilaga vettri kazhagam,98,0.5625879043600562,No
61,Naranammalpuram..,534,3,tamilaga vettri kazhagam,6,0.5617977528089888,No
