Serial No. Of Polling Station,Locality,Polling  Area,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
60,Sebatthaiyapuram,"1.Sawyerpuram  (SGTP)  GopalakrishnanStreet  Ward  13  ,  999.OVERSEAS ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,15,2.857142857142857
65,Kovankadu,"1.Iruvappa  puram  2  (R.V)  And  (P)  Kovankadu  (P)  North  street  block  1  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,29,5.0
73,Manjalneerkayal,"1.Manjalneerkayal  (R.V)  And  (P)  Colony  street  block  1  ,  2.ManjalNeerkayal (R.V)  And  (P)  North  Street  Block  1  ,  3.Manjalneerkayal  (R.V)  And  (P)  South Street  Block  2  ,  4.Manjalneerkayal  (R.V)  And  (P)  Rise  Mill  Street  Block  2  , 5.Manjalneerkayal  (R.V)  And  (P)  Chidambaranagar  Block  2  ,
6.Manjalneerkayal  (R.V)  And  (P)  Twad  Board  Block  2  ,  999.OVERSEAS
ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,16,2.240896358543417
74,Agaram,"1.Agaram  (R.V)  And  (P)  Colony  Street  Block  1  ,  2.Agaram  (R.V)  And  (P) North  Street  Block  1  ,  3.Agaram  (R.V)  And  (P)  West  Street  Block  1  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,1,0.1623376623376623
84,Umarikadu,"1.Korkai  (R.V),  Umarikadu  (P)  Ambedkar  street  block  4  ,  2.Korkai  (R.V),
Umarikadu  (P)  Aatangkarai  Street  Block  4  ,  3.Korkai  (R.V),  Umarikadu  (P) Barathiyar  Street  Block  4  ,  4.Korkai  (R.V),  Umarikadu  (P)  Main  Road Block  4  ,  5.Korkai  (R.V),  Umarikadu  (P)  Main  Road  Block  5  ,  6.Korkai (R.V),  Umarikadu  (P)  Nadar  South  Street  Block  5  ,  7.Korkai  (R.V),
Umarikadu  (P)  Gulalar  North  Street  Block  5  ,  999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,20,2.518891687657431
88,Teepachi,"1.Maramangalam  (R.V)  And  (P)  Teepachi  Block  1  ,  999.OVERSEAS ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,5,1.432664756446991
98,Eral,"1.Eral  (SGTP)  Kammalar  Street  1  Ward  5  ,  2.Eral  (SGTP)  Found Achiarymar  Street  2  Ward  11  ,  3.Eral  (SGTP)  Found  mudalimar  Street  3 Ward  11  ,  4.Eral  (SGTP)  VandimalaichiammanKovil  Street  4  Ward  9  ,
5.Eral  (SGTP)  SolaiStreet  5  Ward  10  ,  6.Eral  (SGTP)  Market  Street  6  Ward 9  ,  7.Eral  (SGTP)  Padither  Street  7  Ward  9  ,  8.Eral  (SGTP)  palayangkottai Road  Street  8  Ward  7  ,  9.Eral(SGTP)  V.O.C.  Street  Block  7  ,
999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,23,4.121863799283155
102,Eral,"1.Eral  (SGTP)  Nadar  2  Street  ,  Street  Ward  12  ,  2.Eral  (SGTP)
Vadapathirakaliammankovil  Street  Ward  12  ,  3.Eral  (SGTP)  Nattar
Ammankovil  Street  Ward  14  ,  4.Eral  (SGTP)  Odakarai  Street,  Street  5 Ward  14  ,  5.Eral  (SGTP)  Thoothukudi  Road  Ward  14  ,  6.Eral  (SGTP) Nadar  Street  1  Ward  12  ,  7.Eral  (SGTP)  North  PalliMelaStreet  2  Ward  15  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,6,1.121495327102804
104,Eral,"1.Eral  (SGTP)  Mohamedar  Street  Ward  6  ,  2.Eral  (SGTP)  KeelKattuStreet,
Street  4  Ward  2  ,  3.Eral  (SGTP)  MadaStreet,  1st  lane  ward  3  ,  4.Eral
(SGTP)  Mada  Street  2nd  Lane  Ward  3  ,  5.Eral  (SGTP)  Mada  Street  3rd Lane  Ward  3  ,  6.Eral  (SGTP)  Malaiyaruthan  Street  ward  3  ,  7.Eral  (SGTP) Nadar  Mudukkutheru  Ward  3  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Indian National Congress,21,4.805491990846682
111,Siruthondanallur,"1.Siruthondanallur  (R.V)  And  (P)  Siruthondanallur  block  7  , 2.Siruthondanallur  (R.V)  And  (P)  Siruthondanallur  Block  9  and  10  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Indian National Congress,25,3.45303867403315
