Locality,Total_Booths_In_Locality,Dominant_Party,Dominant_Party_Booths_Won
Thoppur,1,Indian National Congress,1
Thulaivilimangalam,1,Tamilaga Vettri Kazhagam,1
Thuvarkulam,1,Indian National Congress,1
Tirukalur,1,Tamilaga Vettri Kazhagam,1
Udayarkulam,1,Tamilaga Vettri Kazhagam,1
Umarikadu,2,All India Anna Dravida Munnetra Kazhagam,2
"Usarathu
kudieruppu",1,All India Anna Dravida Munnetra Kazhagam,1
Vagaineri,1,Tamilaga Vettri Kazhagam,1
Valasakkaranvillai,1,All India Anna Dravida Munnetra Kazhagam,1
Vallakulam,1,All India Anna Dravida Munnetra Kazhagam,1
Vallavallan,3,All India Anna Dravida Munnetra Kazhagam,2
Velayuthapuram,1,Tamilaga Vettri Kazhagam,1
Vellur  Adichanallur,1,All India Anna Dravida Munnetra Kazhagam,1
Vellur  Pudukudi,2,Tamilaga Vettri Kazhagam,2
Velur  Cusba,2,All India Anna Dravida Munnetra Kazhagam,2
Vijayaramapuram,1,All India Anna Dravida Munnetra Kazhagam,1
Virakkulam,1,All India Anna Dravida Munnetra Kazhagam,1
