Serial No. Of Polling Station,Location and Name of Building in Which Polling Station Located,Polling Areas,Winner_Party,Margin_Percentage
149,MUNICIPALITY MARRIAGE BUIDING NORTH BULIDING MAIN ROAD AMBASAMUDRAM,"1 - Ambasamudram (M), South Car Street",All India Anna Dravida Munnetra Kazhagam,11.654676258992806
154,"ANGANWADI BUILDING, URKAD","2 - Ambasamudram (M), Vanuvar Street",All India Anna Dravida Munnetra Kazhagam,14.645308924485127
155,"SEDHU SUBRAMANIYAN MIDDLE SCHOOL, EASTERN BUILDING, NORTHERN PORTION, URKAD","1 - Ambasamudram (M), Senaiyer Street",All India Anna Dravida Munnetra Kazhagam,14.864864864864865
158,"MUNICIPALITY PRIMARY SCHOOL EASTE SIDE NORTHERN PORTION, KOVILKULAM","1 - Ambasamudram (M), Pillaiar Kovil Sannathi Street",All India Anna Dravida Munnetra Kazhagam,14.248366013071895
162,"STC BRANCH PRIMARY SCHOOL, NORTHERN PORTION, KALLIDAIKURICHI","1 - Kallidaikurichi (T.P), Ward No 1 Ramachandrapuram Street",All India Anna Dravida Munnetra Kazhagam,33.43023255813954
163,"STC BRANCH PRIMARY SCHOOL, SOUTHRN PORTION, KALLIDAIKURICHI","6 - Kallidaikurichi  (T.P), Vadakku Patta Nainarpuram Street",All India Anna Dravida Munnetra Kazhagam,38.515901060070675
164,"LALITHA PRIMARY SCHOOL, WESTERN PORTION, MUDALIAPPAPURAM STREET, KALLIDAIKURICHI","1 - Kallidaikuruchi (T.P), Ward No.3  Kanthappapuram Street",All India Anna Dravida Munnetra Kazhagam,34.2560553633218
171,"THILAK VIDYALAYA HR.SEC.SCHOOL. ROOM NO. XI - D2, HALL NO. 3 SOUTHERN PORTION, KALLIDAIKURICHI","1 - Kallidaikurichi (M), Ward No 5 Karanthai Idakudi Street",All India Anna Dravida Munnetra Kazhagam,15.022091310751104
172,"TILAK VIDYALAYA HR.SEC.SCHOOL, ROOM NO.16 WESTERN PORTION, KALLIDAIKURICHI","1 - Kallidaikurichi (M), Ward No 7 Melmugam",All India Anna Dravida Munnetra Kazhagam,16.138763197586727
178,"PANCHYAT UNION PRIMERY SCHOOL, SOUTH EAST BUILDING, NORTH PORTION, (SSA NEW BUILDING) KALLIDAIKURICHI","1 - Kallidaikurichi (M), Ward No 10 Agasthiyer Sannathi Street",All India Anna Dravida Munnetra Kazhagam,11.090573012939002
188,"PANCHAYAT UNION PRIMARY SCHOOL, ANNA MEMORIAL HALL, SOUTH BUILDING,SOUTH PORTION, KALLIDAIKURICHI","1 - Kallidaikurichi (M), Ward No 14 Madavilagam Street DOOR NO.115 ABOVE",All India Anna Dravida Munnetra Kazhagam,15.347721822541965
202,"ST.JOHNS PRIMARY SCHOOL, NEW BUILDING, CENTER PORTION, VELLANGULI","2 - Vellankuli (R.V),Vellankuli (P), Block No 2",All India Anna Dravida Munnetra Kazhagam,28.16593886462882
207,"VIVEKANANTHA PRIMARY SCHOOL, SOUTHERN BUILDING, VELLANGULI","1 - Vellankuli (R.V),Vellankuli (P), Block No 12 Uppuvanimuthur",All India Anna Dravida Munnetra Kazhagam,11.690647482014388
