Serial No. Of Polling Station,Location and Name of Building in Which Polling Station Located,Polling Areas,Winner_Party,Margin_Percentage
239,"PANCHAYAT UNION PRIMARY SCHOOL, PUDHUR VEERAVANALLUR","1 - Therkku Veeravanallur (R.V), Therkku Veeravanallur (P), Block No 5 Pudhur",All India Anna Dravida Munnetra Kazhagam,13.181019332161686
251,"PANCHAYAT UNION MIDDLE SCHOOL, CENTRAL PORTION, KUNIYUR","1 - Kuniyur (R.V), Kuniyur (P), Block No 5",Indian National Congress,15.777777777777777
258,"HINDU NADAR PRIMARY SCHOOL, POLIKKARAI NOTHERN SIDE, CHERANMAHADEVI","1 - Cheranmahadevi  (P), Ward No. 6 Perumal Kovil Street",All India Anna Dravida Munnetra Kazhagam,16.425992779783392
295,"T.D.T.A PRIMARY SCHOOL, SOUTHERN PORTION, EAST SIDE, MELASEVAL","1 - Melacheaval  (P), W.No. 10 Vedha Kovil Sreet.",Indian National Congress,12.894736842105264
296,"PANCHAYAT UNION PRIMARY SCHOOL, SSA BUILDING WEST BUILDING, CHOKKALINGAPURAM","1 - Melacheaval  (P), Ward No. 9 Periya Samy Colony",Indian National Congress,1.2841091492776886
297,"PANCHAYAT UNION PRIMARY SCHOOL, MAIN BUILDING, MELACHEVAL-1","1 - Melacheaval  (P), Ward No. 11 Gandhi Street.",All India Anna Dravida Munnetra Kazhagam,12.615955473098332
311,"C.M.S E S DAVID HR.SEC.SCHOOL, NEW BUILDING 2nd ROOM FROM EAST, KARISALPATTI","1 - Karisalpatti (R.V), Karisalpatti (P), Block No 4 Odaikarai Govindaperi",Indian National Congress,20.535714285714285
312,"C.M.S.E.S DAVID MEMORIAL HR.SEC.SCHOOL, WEST ROOM NORTHERN PORTION, KARISALPATTI","1 - Pungadaiyarkulam (R.V), Karisalpatti (P), Block No 2 Pookudaiyarkulam",Indian National Congress,22.6161369193154
313,"VILLAGE PANCHAYAT OFFICE, THIRUVIRUTHANPULI","2 - Thiruviruthanpatti (R.V), Thiruviruthanpuli (P), Block No 5 Velliyarkulam",All India Anna Dravida Munnetra Kazhagam,8.441558441558442
314,"C.M.S E  PRIMARY .SCHOOL, NORTH SIDE PATTANGATTU","1 - Thiruviruthanpatti (R.V), Thiruviruthanpatti (P), Block No 1 Pattangadu",Tamilaga Vettri Kazhagam,1.9230769230769231
315,"C.M.S E PRIMERY .SCHOOL, NEW BUILDING 2nd ROOM FROM EAST,THIRUVIRUTHANPULLI - 1","1 - Thiruviruthanpatti (R.V), Thiruviruthanpulli  (P), Ward No. 5 Kangkanavakulam",Indian National Congress,9.45273631840796
316,"T.D.T.A PRIMARY SCHOOL, MAIN BUILDING, WESTERN PORTION PORTION, PILLAIKULAM. THIRUVIRUTHANPULLI","1 - Thiruviruthanpulli (R.V), Thiruviruthanpulli (P), Block No 2 Kariyalar Kudiyirupu",Indian National Congress,9.641255605381167
317,"T.D.T.A PRIMARY SCHOOL, MAIN BUILDING EASTERN PORTION PILLAIKULAM","1 - Thiruviruthanpatti (R.V), Thiruviruthanpuli (P), Block No 3 Pillaikulam, Karisal, Antony Nagar",Indian National Congress,0.10834236186348861
319,"C.M.S EVANJALIKAL PRIMARY SCHOOL, WESTERN PORTION SOUTH SIDE, PULAVANKUDIYURUPPU","1 - Ulagankulam (R.V), Ulagankulam (P), Block No 3 North Idaiyankulam",All India Anna Dravida Munnetra Kazhagam,5.396825396825397
320,"C.M.S EVANJALIKAL PRIMARY SCHOOL, WESTERN PORTION NORTH SIDE, PULAVAN KUDIYURUPPU","1 - Ulagankulam (P), Block No 6 Pulavankudiyirupu",All India Anna Dravida Munnetra Kazhagam,3.146853146853147
321,"T.D.T.A PRIMARY SCHOOL ,MELA SADAIYAMANKULAM VENKATRENGAPURAM","1 - Venketrengapuram (R.V), Venketrengapuram (P), Ward No.1 Devamar Street.",Indian National Congress,12.042682926829269
