Serial No. Of Polling Station,Location and Name of Building in Which Polling Station Located,Polling Areas,Winner_Party,Margin_Percentage
144,"S.T.C BRANCH MIDDLE SCHOOL, SOUTHERN BUILDING,
EASTERN PORTION, (BABY CLASS ROOM )","1 - Ambasamudram (M), Main Road",All India Anna Dravida Munnetra Kazhagam,0.7207207207207207
145,"S.T.C BRANCH MIDDLE SCHOOL, NORTHERN BUILDING, EASTERN PORTION, AMBASAMUDRAM.","1 - Ambasamudram (M), Senaier Street",All India Anna Dravida Munnetra Kazhagam,8.207343412526997
146,"MUNCIPALITY MARRIAGE HALL MAIN BULIDING, WEST PORTION MAIN ROAD, AMBASAMUDRAM","1 - Ambasamudram (M), Yadhavar Mela Street",All India Anna Dravida Munnetra Kazhagam,4.332755632582322
150,"THEERTHAPATHI HR.SEC. SCHOOL, S S K BLOCK EAST CLASS ROOM 3 AMBASAMUDRAM","1 - Ambasamudram (M), Mudapalam South Street",Tamilaga Vettri Kazhagam,0.13966480446927373
151,"THEERTHAPATHI HR.SEC. SCHOOL, ROOM NO.15 AMBASAMUDRAM.","1 - Ambasamudram (M), Kovilkulam Road",Tamilaga Vettri Kazhagam,2.6717557251908395
152,"THEERTHAPATHI HR.SEC. SCHOOL, ROOM NO.17 AMBASAMUDRAM.","Ambasamudram (M), Velayudha Nagar",Tamilaga Vettri Kazhagam,5.9405940594059405
153,"THEERTHAPATHI HR.SEC. SCHOOL, S S K BLOCK EASTRN BUILDING ROOM NO.2AMBASAMUDRAM.","Ambasamudram (M), Main Road",Tamilaga Vettri Kazhagam,4.901960784313726
156,"SEDHU SUBRAMANIYAN MIDDLE SCHOOL, EASTERN BUILDING, SOUTHERN PORTION, URKAD","1 - Ambasamudram (M), Nadar Street",Tamilaga Vettri Kazhagam,3.121516164994426
157,"SEDHU SUBRAMANIYAN MIDDLE SCHOOL, EASTERN BUILDING, CENTRAL PORTION, URKAD","1 - Ambasamudram (M), North Kottai Street",All India Anna Dravida Munnetra Kazhagam,5.093833780160858
159,"MUNICIPALITY PRIMARY SCHOOL, EAST SIDE SOUTHERN PORTION, , KOVILKULAM","1 - Ambasamudram (M), Mela Colony Paracheri",All India Anna Dravida Munnetra Kazhagam,10.310965630114566
160,"LAKSHMIPATHI MIDDLE SCHOOL, WESTERN PORTION MAIN BUILDING KALLIDAIKURICHI","1 - Kalliaikuruchi (TP), Ward No 1 Thimmarajasamudram Pillaimar Street",All India Anna Dravida Munnetra Kazhagam,9.866220735785953
161,"LAKSHMIPATHI MIDDLE SCHOOL, EASTERN PORTION MAIN BUILDING KALLIDAIKURICHI","1 - Kallidaikuruchi (TP), Ward No 95 Therkku Ratha Veethi Vadapagam Street",Tamilaga Vettri Kazhagam,0.6116207951070336
167,"GOVT.HR.SEC.SCHOOL, NORTHERN BUILDING, KALLIDAIKURICHI","2 - Kallidaikurichi (T.P), Ward No 8 Aathiyadi Illathar Street",All India Anna Dravida Munnetra Kazhagam,10.032362459546926
169,"GOVT.HR.SEC.SCHOOL, NEW BUILDING, HALL NO 2, SOUTHERN BUILDING, CENTRE PORTION, KALLIDAIKURICHI","1 - Kallidaikurichi (T.P), Ward No 8 Attuthattai Street",Tamilaga Vettri Kazhagam,3.1791907514450863
170,"THILAK VIDYALAYA HR.SEC.SCHOOLROOM NO. XIIC, EASTERN PORTION, KALLIDAIKURICHI","1 - Kallidaikurichi (M), Ward No 5 Karanthai Asariyar North Part Street",All India Anna Dravida Munnetra Kazhagam,9.276437847866418
173,"TILAK VIDYALAYA HR.SEC.SCHOOL, ROOM NO.14 WESTERN PORTION, KALLIDAIKURICHI","1 - Kallidaikurichi (M), Ward No 7 Puthumanai Street",All India Anna Dravida Munnetra Kazhagam,9.846827133479213
174,"T.D.T.A PRIMARY SCHOOL, WESTERN BUILDING, KALLDAIKURICHI.","1 - Kallidaikurichi (M), Ward No 7 IIlathar Street",Indian National Congress,11.295180722891567
176,"TILAK VIDYALAYA HR.SEC. SCHOOL, ROOM NO.15 KALLIDAIKURICHI","1 - Kallidaikurichi (M), Ward No 7 Ambedhkar South Street",Indian National Congress,14.814814814814813
177,"TOWN PANCHAYAT OFFICE, CENTRE ROOM, KALLIDAIKURICHI","1 - Kallidaikurichi, WNo 9 Karthigai Madam St",All India Anna Dravida Munnetra Kazhagam,5.374823196605375
180,"PANCHAYAT UNION MIDDLE SCHOOL, WESTERN BUILDING SSA NORTHERN PORTION KUMARAKOIL EAST CAR STREET, KALLIDAIKURICHI","1 - Kallidaikurichi (M), Ward No 11 Chatram Periya Veethi",Indian National Congress,7.942973523421588
181,"PANCHAYAT UNION MIDDLE SCHOOL, SELF SUFFICIENCY SCHEME, KUMARAKOIL EAST CAR STREET KALLIDAIKURICHI","1 - Kallidaikurichi (M), Ward No 11 Thalachery Street",Tamilaga Vettri Kazhagam,3.698224852071006
182,"COMMUNITY HALL, WESTERN PORTION, KALLIDAIKURCHI","1 - Kallidaikurichi (M), Ward No 12 Pattaniyer Street",Indian National Congress,11.03448275862069
183,"PUNCHAYAT UNION PRIMARY SCHOOL, ANNA MEMORIAL BUILDING WESTERN PORTION, NORTHERN BUILDING KALLIDAIKURICHI","1 - Kallidaikurichi (M), Ward No 12 Aathiyadi South Street",All India Anna Dravida Munnetra Kazhagam,5.721393034825871
184,"CHITRA PRIMARY SCHOOL, WESTERN BUILDING, MADAVILAGAM STREET, KALLIDAIKURICHI","1 - Kallidaikurichi (M), Ward No 12 Akkasalai Pillaiyar Kovil Street",Indian National Congress,0.24479804161566704
185,"CHITRA PRIMARY SCHOOL, EASTERN BUILDING MADAVILAGAM STREET KALLIDAIKURICHI","1 - Kallidaikurichi (M), Ward No 13 North Karambai",All India Anna Dravida Munnetra Kazhagam,0.0
186,ANTONY METRIC HR SEC.SCHOOL MAIN BLOCK HALL.NO.NEARST OFFICE ROOM,"5 - Kallidaikurichi (M), Ward No 11 Subramaniapuram Street, Idakudi",All India Anna Dravida Munnetra Kazhagam,8.294930875576037
187,"PANCHAYAT UNION PRIMARY SCHOOL, ANNA MEMORIAL HALL, SOUTH BUILDING, NORTHERN PORTION, KALLIDAIKURICHI","1 - Kallidaikurichi (M), Ward No 14 Madavilagam Street DOOR NO.1 TO 114",Indian National Congress,16.488222698072803
192,"COMMUNITY HALL, EASTERN PORTION, PONMA NAGAR KALLIDAIKURICHI.","1 - Therkku Kallidaikurichi (R.V), Moolachi (P), Block No 2 Senparuthimetu Ponmanagar Door No, 1 to 135",Tamilaga Vettri Kazhagam,0.9727626459143969
193,"COMMUNITY HALL,WESTERN PORTION ,PONMA NAGAR KALLIDAIKURICHI.","1 - Therkku Kallidaikurichi (R.V), Moolachi (P), Block No 2 Senparuthimetu Ponmanagar Door No,136 Above",All India Anna Dravida Munnetra Kazhagam,1.5358361774744027
195,"PANCHAYAT UNION PRIMARY SCHOOL, NORTHERN BUILDING SOUTH SIDE NESAVALLER COLONY THERKKU KALLIDAIKURICHI","1 - Therkku Veravanallur (R.V), Moolachi (P), Block No 7 Nesavallar Colony",All India Anna Dravida Munnetra Kazhagam,2.8301886792452833
201,"ST.JOHNS PRIMARY SCHOOL, NEW BUILDING, EASTERN PORTION, VELLANGULI","1 - Vellankuli (R.V), Vellankuli (P), Block No 1 Vellankuli",All India Anna Dravida Munnetra Kazhagam,2.3419203747072603
204,"GOVT.HR SCHOOL, NORTHERN BUILDING, VELLANGULI","1 - Vellankuli (R.V), Vellankuli (P), Block No 4 Vellankuli",Tamilaga Vettri Kazhagam,5.275229357798166
205,"GOVT.HR.SEC. SCHOOL, SOUTH BUILDING, ( SOUTH FACING) VELLANGULI","1 - Vellankuli (R.V),Vellankuli (P), Block No 6",Tamilaga Vettri Kazhagam,1.4705882352941175
206,"VIVEKANANTHA PRIMARY SCHOOL, NORTHERN BUILDING, VELLANGULI","1 - Vellankuli (R.V), Vellankuli(P), Block No 7 Vellankuli",Indian National Congress,2.8350515463917527
211,"COMMITTEE PRIMARY SCHOOL, EASTERN BUILDING SOUTHERN PORTION, GIRIAMMALPURAM","1 - Harikesavanallur (R.V),Harikesavanallur (P), Block No 6 Thoppu Street",All India Anna Dravida Munnetra Kazhagam,2.589641434262948
214,"GAJENDRAVARADAN MIDDLE SCHOOL, EASTERN PORTION, ATHALANALLUR","1 - Athalanallur (R.V),Athalanallur (P), Block No 5 Athalanallur",All India Anna Dravida Munnetra Kazhagam,11.378205128205128
217,"BARATHIYAR GOVT.HR.SEC. SCHOOL, ROOM NO.7 EASTERN BUILDING, VEERAVANALLUR","1 - Veeravanallur (P), Ward No 2 Ilavadi Colony North Street",All India Anna Dravida Munnetra Kazhagam,7.201086956521739
218,"BHARATHIYAR GOVT.HR.SEC. SCHOOL, ROOM NO.12 WESTERN BUILDING, NORTHERN PORTION, VEERAVANALLUR","1 - Veeravanallur (P), Ward No 3 South Car Street",Indian National Congress,3.422619047619048
219,"BHARATHIYAR GOVT.HR.SEC. SCHOOL, ROOM NO.4 WESTERN BUILDING, VEERAVANALLUR","1 - Veeravanallur (P), Ward No 3 Antoniyar South Street",All India Anna Dravida Munnetra Kazhagam,3.1377899045020468
