Serial No. Of Polling Station,Locality,Building in Which it will be Located,Polling Area,Winner_Party,Margin_Percentage
119,Muthukrishnapura m,"Sathya  Nursery  and  Primary  School,  North building,  East  portion  room, Muthukrishnapuram","1.Thoothukudi  Corporation  Boobalarayarpuram  1st  street  -  Ward  12  , 2.Thoothukudi  Corporation  Boobalarayarpuram  1st  Street  Lane  1  -
Ward  12  ,
3.Thoothukudi  Corporation  Muthukrishnapuram  1st  Sandhu  -  Ward  12
,
4.Thoothukudi  Corporation  Muthukrishnapuram  6th  Street  -  Ward  11  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,26.33637548891786
120,Muthukrishnapura m,"Sathya  Nursery  and  Primary  School,  North building,  West  portion  2nd  room, Muthukrishnapuram","1.Thoothukudi  Corporation  Boobalarayarpuram  2nd  Street  -  Ward  12  , 2.Thoothukudi  Corporation  Boobalarayarpuram  4th  Street  -  Ward  12, 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,23.9089184060721
122,Alangarathattu,"ICDS  Centre,  (R.C.  Primary  School  Campus) Alangarathattu","1.Thoothukudi  Corporation  Koilpillaivilai  Block  1  -  Ward  17  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,22.76422764227642
129,Krishnarajapuram,"Infant  Matric.  Hr.  Sec.  School,  South Building,  5th  room  from  East, Krishnarajapuram","1.Thoothukudi  Corporation  Krishnarajapuram  -  Ward  18  (Door  No.  1  to 7-30A)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,33.47107438016529
145,Samuelpuram,"Corporation  Primary  School,  East  Building North  portion  2nd  room  (STD  UKG  A), Samuelpuram","1.Thoothukudi  Corporation  Boobalarayarpuram  2nd  Street  -  Ward  19  , 2.Thoothukudi  Corporation  Boobalarayarpuram  3rd  Street  -  Ward  19  , 3.Thoothukudi  Corporation  Boobalarayarpuram  8th  Street  -  Ward  19  , 4.Thoothukudi  Corporation  Boobalarayarpuram  11th  Street  -  Ward  19  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,22.17090069284065
148,Samuelpuram,"Corporation  Primary  School,  West  Building, 2nd  room  from  South  (STD  1  B), Samuelpuram","1.Thoothukudi  Corporation  Boobalarayarpuram  6th  Street  -  Ward  20  , 2.Thoothukudi  Corporation  Boobalarayarpuram  7th  Street  -  Ward  20  , 3.Thoothukudi  Corporation  Boobalarayarpuram  8th  Street  -  Ward  20  , 4.Thoothukudi  Corporation  Boobalarayarpuram  9th  Street  -  Ward  20  , 5.Thoothukudi  Corporation  Boobalarayarpuram  10th  Street  -  Ward  20  , 6.Thoothukudi  Corporation  Boobalarayarpuram  11th  Street  -  Ward  20  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,23.49486049926578
149,Boopalrayerpuram (RV  Puram),"Johnson  Nursery  and  primary  School,  East Building,  2nd  room  from  North, Boopalrayerpuram  (RV  Puram)","1.Thoothukudi  Corporation  Boobalarayarpuram  4th  Street  -  Ward  20  , 2.Thoothukudi  Corporation  Boobalarayarpuram  3rd  Street  -  Ward  20  , 3.Thoothukudi  Corporation  Boobalarayarpuram  5th  Street  -  Ward  20  , 4.Thoothukudi  Corporation  Boobalarayarpuram  6th  Street  -  Ward  20  , 5.Thoothukudi  Corporation  Boobalarayarpuram  7th  Street  -  Ward  20  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,25.18987341772152
159,Beach  Road,"Caldwell  Hr  Sec  School,  East  Building,  2nd room  from  South  (STD  XII  A1  Bio  and  CS), Beach  Road","1.Thoothukudi  Corporation  Narayanan  Street  -  Ward  22  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,21.64502164502164
162,Beach  Road,"Caldwell  Primary  School  New  Building,  1st room  from  North,Vadi  Street","1.Thoothukudi  Corporation  Nattukottai  Chetti  Street  -  Ward  23, 2.Thoothukudi  Corporation  Thattar  Street  Extension  -  Ward  24  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,27.74774774774775
165,North  Gopalsamy Street,"S.A.V.Primary  School,  West  Building,  North Portion,  North  Gopalsamy  Street","1.Thoothukudi  Corporation  Ayyalu  lane  -  Ward  23  ,  2.Thoothukudi Corporation  Ayyalu  Street  -  Ward  23  ,  3.Thoothukudi  Corporation Tharuvai  Street  -  Ward  23  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,27.83964365256125
171,Cruzpuram,"R.C.  Primary  School,  South  Building,  2nd room  from  East,  Cruzpuram","1.Thoothukudi  Corporation  Sathya  Nadar  Street  -  Ward  22  ,
2.Thoothukudi  Corporation  Vadakku  Pillaiar  Koil  Street  -  Ward  23  ,
3.Thoothukudi  Corporation  Sethuraja  Street  -  Ward  23  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,24.40944881889764
179,Rathinapuram,"R.C.  Primary  School,  East  New  Building, North  Portion,  Rathnapuram","1.Thoothukudi  Corporation  Alagesapuram  1st  street  -  Ward  9  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,26.96148359486448
181,Rathinapuram,"R.C.  High  School,  North  New  Building,  3rd room  from  West,  Rathnapuram","1.Thoothukudi  Corporation  Thiraviapuram  1st  street  -  Ward  13  , 2.Thoothukudi  Corporation  Thiraviapuram  3rd  Street  -  Ward  13  ,
3.Thoothukudi  Corporation  Parvathiamman  Koil  Street  -  Ward  13  ,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,14.0983606557377
184,Pandurengan  street,"Corporation  Middle  School,  North  Building West  Portion,  Melur  Pandurengan  Street","1.Thoothukudi  Corporation  Alagesapuram  1st  street  -  Ward  9  ,
2.Thoothukudi  Corporation  Alagesapuram  2nd  Sandhu  -  Ward  9  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,26.625
