Polling_Station_No,location_clean,polling areas,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
54,Thanakkankulam-625006,1.Thanakankulam (R.V) Thanakkankulam (P) Kalai Nagar 2.Thanakankulam (R.V) Thanakkankulam (P) Ayyanar Street,tamilaga vettri kazhagam,dravida munnetra kazhagam,35,4.093567251461988
60,Thanakkankulam-625006,"1 - Thanakkankulam (R.V) Thanakkankulam (P), Nethaji Nagar (Sl.No.1 to 997)
2.Thanakankulam (R.V) Thanakankulam (P) Nethaji Nagar Kanmaikarai",tamilaga vettri kazhagam,dravida munnetra kazhagam,31,3.421633554083885
70,625006,1.Vilacheri (R.V) Vilacheri (P) Gandhi Street Ward 12 2.Vilacheri (R.V) Vilacheri (P) Chetti Street Ward 5 3.Vilacheri (R.V) Vilacheri (P) Nadu Street Ward 5 4.Vilacheri (R.V) Vilacheri (P) Yathavar Street Ward 3 5.Vilacheri (R.V) Vilacheri (P) Nethaji Street Ward 3,dravida munnetra kazhagam,tamilaga vettri kazhagam,2,0.308641975308642
74,Vilacheri-625006,"1.Vilacheri (R.V) Vilacheri (P) Main Road Ward 5 2.Vilacheri (R.V) Vilacheri (P) Kottaram Ward 4 3.Vilacheri (R.V) Vilacheri (P) Kalaingar Nagar Ward 3
4.Vilacheri (R.V) Vilacheri (P) Thirunagar Main Road Ward 3",tamilaga vettri kazhagam,dravida munnetra kazhagam,8,0.966183574879227
75,Thirunagar-625006,"1.Madurai (C) Thirunagar (TP) Gandhiji 1st Cross Street Ward 94
2.Madurai (C) Thirunagar (TP) Gandhiji 2nd Cross Street Ward 94
3.Madurai (C) Thirunagar (TP) Gandhiji 3rdcross Street Ward 94
4.Madurai (C) Thirunagar (TP) Gandhiji 4thcross Street Ward 94
5.Madurai (C) Thirunagar (TP) Gandhiji 5thcross Street Ward 94
6.Madurai (C) Thirunagar (TP) Gandhiji 6thcross Street Ward 94
7.Madurai (C) Thirunagar (TP) Gandhiji 7th Cross Street Ward 94
8.Madurai (C) Thirunagar (TP) Gandhiji Street Ward 94
9.Madurai (C) Thirunagar (TP) Bharathiyar Street Ward 94
10.Madurai (C) Thirunagar (TP) Bharathiyar East Street Ward 94",dravida munnetra kazhagam,tamilaga vettri kazhagam,6,1.345291479820628
102,Near H M Room Pasumalai-625004,"1.Madurai (C) Thirupparankundram (Tp) Krishnapuram West Street Ward 93,
2.Madurai (C) Thirupparankundram (Tp) Krishnapuram 1st West Street Ward93
3.Madurai (C) Thirupparankundram (Tp) Krishnapuram 2nd West Street Ward93
4.Madurai (C) Thirupparankundram (Tp) Krishnapuram 3rd West Street Ward93
5.Madurai (C) Thirupparankundram (Rv) Krishnapuram 1st South Street Ward93
6.Madurai (C) Thirupparankundram (Tp) Krishnapuram 2nd South Street Ward93
7.Madurai (C) Thirupparankundram (Tp) Thevamar 1st Street Ward 93
8.Madurai (C) Thirupparankundram (Tp) Devamar 2nd Street Ward 93
9.Madurai (C) Thirupparankundram (Tp) Krishnapuram Manthaiyamman Koil Street Ward 93
10.Madurai (C) Thirupparankundram (Tp) Krishnapuram Ward 93",tamilaga vettri kazhagam,all india anna dravida munnetra kazhagam,11,1.373283395755306
103,Near Correspondent Room Pasumalai-625004,"1.Madurai (C) Thirupparankundram (Tp) Jonespuram 1st Street Ward 93,
2.Madurai (C) Thirupparankundram (Tp) Jonespuram Cross Road Ward 93
3.Madurai (C) Thirupparankundram (Tp) Jonespuram 2nd Street Ward 93
4.Madurai (C) Thirupparankundram (Tp) Jonespuram 3rd Street Ward 93
5.Madurai (C) Thirupparankundram (Tp) Jonespuram 4th Street Ward 93
6.Madurai (C) Thirupparankundram (Tp) Ambedkhar Nagar 1st Street Ward93
7.Madurai (C) Thirupparankundram (Tp) Ambedkhar Nagar 2nd Street Ward93
8.Madurai (C) Thirupparankundram (Tp) Ambedkhar Nagar Main Street Ward93",dravida munnetra kazhagam,tamilaga vettri kazhagam,8,1.166180758017493
105,Pasumalai-625004,"1.Madurai (C) Thirupparankundram (TP) Seminari Line Pasumalai Ward 93,
2.Madurai (C) Thirupparankundram (TP) Malligai Nagar Pasumalai Ward 93,
3.Madurai (C) Thirupparankundram (TP) Nalla Samariyan Nagar Ist Street Pasumalai Ward 93,
4.Madurai (C) Thirupparankundram (TP) Perakka Nagar 2nd Street Pasumalai Ward 93,
5.Madurai (C) Thirupparankundram (TP) Perakka Nagar Pasumalai Ward 93,
6.Madurai (C) Thirupparankundram (TP) Perakka Nagar 3rd Street Pasumalai Ward 93,
7.Madurai (C) Thirupparankundram (TP) Vinayagar Cross Street Pasumalai Ward 93,
8.Madurai (C) Thirupparankundram (TP) Nylon Nagar Pasumalai Ward 93",dravida munnetra kazhagam,tamilaga vettri kazhagam,30,4.457652303120357
106,Room No 5 Pasumalai-625004,"1.Madurai (C) Thirupparankundram (TP) Moota Colony 1st Street Ward 93,
2.Madurai (C) Thirupparankundram (TP) Moota Thottam Ward 93,
3.Madurai (C) Thirupparankundram (TP) Gopalsamy Nagar Moota Colony Ward 93,
4.Madurai (C) Thirupparankundram (TP) Arthi Hotel Backside Woodlands Furniture Opposite Ward 93,
5.Madurai (C) Thirupparankundram (TP) Vinayagar Nagar West Moolakarai Pasumalai Ward 93,
6.Madurai (C) Thirupparankundram (TP) GST Road Pasumalai Ward 93,
7.Madurai (C) Thirupparankundram (TP) GST Road Best House Pasumalai Ward 93,
8.Madurai (C) Thirupparankundram (TP) GST Road Murphy Hostel Compound Pasumalai Ward 93,
9.Madurai (C) Thirupparankundram (TP) Teachers Quarters Pasumalai Ward 93,
10.Madurai (C) Thirupparankundram (TP) Teachers Quarters CSI Church Compound Ward 93",tamilaga vettri kazhagam,dravida munnetra kazhagam,29,4.559748427672956
115,Near Staff Room No 1 Thiruparankundram-625005,"1.Madurai (C) Thirupparankundram (TP) Mani Street Kodanki Thoppu Street Ward 97,
2.Madurai (C) Thirupparankundram (TP) East Lane 1 Kodanki Thoppu Street Ward 97,
3.Madurai (C) Thirupparankundram (TP) East Lane Ward 97,
4.Madurai (C) Thirupparankundram (TP) East Lane Ward 97,
5.Madurai (C) Thirupparankundram (TP) West Lane 1st Kodanki Thoppu Ward 97,
6.Madurai (C) Thirupparankundram (TP) West Lane Ward 97,
7.Madurai (C) Thirupparankundram (TP) Vinayakar Kovil Lane Kodanki Thoppu Ward 97,
8.Madurai (C) Thirupparankundram (TP) Palani Andavar Kovil Street Ward 97",tamilaga vettri kazhagam,dravida munnetra kazhagam,24,3.03030303030303
