Polling_Station_No,location_clean,Dominant_Party_In_Booth,Dominant_Party_Votes,Margin_Of_Victory
194,Avaniapuram-625012.,tamilaga vettri kazhagam,250,87
195,Avaniapuram-625012.,tamilaga vettri kazhagam,344,111
196,Avaniapuram-625012.,tamilaga vettri kazhagam,271,91
197,Centre Building Avaniapuram-625012,tamilaga vettri kazhagam,341,146
198,Avaniapuram-625012,tamilaga vettri kazhagam,383,197
199,Avaniapuram-625012.,tamilaga vettri kazhagam,346,61
200,Avaniapuram-625012.,tamilaga vettri kazhagam,234,52
201,Avaniapuram-625012.,tamilaga vettri kazhagam,424,233
202,Avaniyapuram -625012.,tamilaga vettri kazhagam,340,195
203,Avaniapuram -625012.,tamilaga vettri kazhagam,371,231
204,Avaniapuram - 625012.,tamilaga vettri kazhagam,374,202
205,Avaniapuram - 625012.,tamilaga vettri kazhagam,304,153
206,Room No. 3 Thiruparankundram Road Avaniyapuram,tamilaga vettri kazhagam,311,94
207,625012.,tamilaga vettri kazhagam,300,165
208,625012.,tamilaga vettri kazhagam,385,255
209,Avaniapuram.-625012,tamilaga vettri kazhagam,455,252
210,Avaniapuram.-625012,tamilaga vettri kazhagam,384,246
211,West Portion Periyasamy Nagar Avaniyapuram-625012,tamilaga vettri kazhagam,543,353
212,Avaniapuram.-625012,tamilaga vettri kazhagam,457,290
213,East Portion Periyasamy Nagar Avaniyapuram-625012,tamilaga vettri kazhagam,457,274
214,Chinna Anuppanadi-625009.,tamilaga vettri kazhagam,345,204
215,Chinna Anuppanadi-625009.,tamilaga vettri kazhagam,271,141
216,Chinna Anuppanadi.,tamilaga vettri kazhagam,259,160
217,625009.,tamilaga vettri kazhagam,411,246
218,Chinna Anuppanadi-625009.,tamilaga vettri kazhagam,247,97
219,Chinthamani Road -625009.,tamilaga vettri kazhagam,182,81
220,"Chinthamani
Road -625009.",tamilaga vettri kazhagam,322,147
221,625009.,tamilaga vettri kazhagam,323,178
222,Mela Anuppanadi.-625009,tamilaga vettri kazhagam,477,297
223,Mela Anuppanadi.-625009,tamilaga vettri kazhagam,439,191
