Polling_Station_No,location_clean,total of valid votes,Total_Independent_Votes,Winner_Party,Margin_Of_Victory,Independent_Vote_Share_%,Is_Spoiler_Risk
125,Room No 4 Harveypatti-625005,807,2,tamilaga vettri kazhagam,72,0.2478314745972739,No
282,Near Gate. Periyaalangulam-625022,813,2,tamilaga vettri kazhagam,218,0.2460024600246002,No
185,Middle Building North Side Avaniyapuram-625012,814,2,tamilaga vettri kazhagam,187,0.2457002457002457,No
24,Nagamalai Pudukottai - 625019.,816,2,tamilaga vettri kazhagam,98,0.2450980392156863,No
114,Tiruparankundram -625005,816,2,tamilaga vettri kazhagam,224,0.2450980392156863,No
117,Harveypatti-625005,832,2,tamilaga vettri kazhagam,184,0.2403846153846154,No
122,Room No 7 Harveypatti-625005,833,2,tamilaga vettri kazhagam,187,0.2400960384153661,No
222,Mela Anuppanadi.-625009,839,2,tamilaga vettri kazhagam,297,0.2383790226460071,No
52,Thiruvalluvar nagar Thanakkankulam-625006,840,2,tamilaga vettri kazhagam,95,0.2380952380952381,No
56,Vilacheri-625006,849,2,tamilaga vettri kazhagam,102,0.2355712603062426,No
252,Puliyankulam-625201,854,2,tamilaga vettri kazhagam,194,0.234192037470726,No
263,Samanatham-625009,856,2,tamilaga vettri kazhagam,54,0.2336448598130841,No
156,Karpagam Nagar Avaniyapuram-625012,857,2,tamilaga vettri kazhagam,416,0.2333722287047841,No
7,"East Facing South Portion Nagamalaipudur Vadapalanji -
625019",440,1,dravida munnetra kazhagam,3,0.2272727272727273,No
262,Samanatham-625009,883,2,tamilaga vettri kazhagam,208,0.2265005662514157,No
134,Nilaiyur-625005,884,2,tamilaga vettri kazhagam,119,0.2262443438914027,No
174,Avaniapuram-625012.,884,2,tamilaga vettri kazhagam,249,0.2262443438914027,No
75,Thirunagar-625006,446,1,dravida munnetra kazhagam,6,0.2242152466367713,No
48,Thanakkankulam-625006,899,2,tamilaga vettri kazhagam,120,0.2224694104560623,No
278,"Centre Portion
Valayankulam-625022",901,2,tamilaga vettri kazhagam,292,0.2219755826859046,No
153,,904,2,tamilaga vettri kazhagam,185,0.2212389380530974,No
21,Kilaneri-625019,452,1,tamilaga vettri kazhagam,6,0.2212389380530974,No
129,Nilaiyur-625005,904,2,tamilaga vettri kazhagam,180,0.2212389380530974,No
118,Harveypatti-625005,911,2,tamilaga vettri kazhagam,241,0.2195389681668496,No
4,"East Building ( Southern Portion)
Vadapalanji Muthupatti-625019",924,2,tamilaga vettri kazhagam,89,0.2164502164502164,No
145,"Perungudi-
625022",928,2,tamilaga vettri kazhagam,179,0.2155172413793103,No
244,Iravathanallur.-625009,470,1,dravida munnetra kazhagam,1,0.2127659574468085,No
218,Chinna Anuppanadi-625009.,481,1,tamilaga vettri kazhagam,97,0.2079002079002079,No
246,Viraganoor.-625009,495,1,tamilaga vettri kazhagam,81,0.202020202020202,No
177,Avaniapuram-625012.,498,1,tamilaga vettri kazhagam,131,0.2008032128514056,No
131,Nilaiyur-625005,516,1,tamilaga vettri kazhagam,51,0.1937984496124031,No
119,Harveypatti-625005,518,1,tamilaga vettri kazhagam,1,0.1930501930501931,No
215,Chinna Anuppanadi-625009.,526,1,tamilaga vettri kazhagam,141,0.1901140684410646,No
257,Silaiman-625201,531,1,tamilaga vettri kazhagam,90,0.1883239171374765,No
34,South building Melakuilkudi-625019,534,1,tamilaga vettri kazhagam,31,0.1872659176029963,No
49,Thanakkankulam-625006,536,1,tamilaga vettri kazhagam,60,0.1865671641791045,No
245,Viraganoor.-625009,540,1,tamilaga vettri kazhagam,159,0.1851851851851852,No
182,South side South Portion Avaniyapuram,545,1,tamilaga vettri kazhagam,116,0.1834862385321101,No
32,Northern Building Keelakuilkudi-625019,546,1,dravida munnetra kazhagam,34,0.1831501831501831,No
200,Avaniapuram-625012.,548,1,tamilaga vettri kazhagam,52,0.1824817518248175,No
162,north side western side portion villapuram.-625012,549,1,tamilaga vettri kazhagam,38,0.1821493624772313,No
19,Southern Portion Nagamalai Pudukottai -625019.,566,1,tamilaga vettri kazhagam,105,0.176678445229682,No
3,Vadapalanji -625019,577,1,dravida munnetra kazhagam,216,0.1733102253032929,No
11,Karadipatti - 625019.,582,1,tamilaga vettri kazhagam,42,0.1718213058419244,No
71,West Building Middle Portion (North Side) Thirunagar-625006,584,1,dravida munnetra kazhagam,47,0.1712328767123288,No
9,(Western Portion) Alampatti - 625019.,584,1,tamilaga vettri kazhagam,115,0.1712328767123288,No
227,Mela Anuppanadi-625009,602,1,tamilaga vettri kazhagam,188,0.1661129568106312,No
205,Avaniapuram - 625012.,604,1,tamilaga vettri kazhagam,153,0.1655629139072848,No
226,Mela Anuppanadi.-625009,621,1,tamilaga vettri kazhagam,179,0.1610305958132045,No
45,Thanakkankulam-625006,631,1,dravida munnetra kazhagam,73,0.1584786053882726,No
78,Thirunagar-625006,639,1,tamilaga vettri kazhagam,138,0.1564945226917058,No
221,625009.,640,1,tamilaga vettri kazhagam,178,0.15625,No
121,Harveypatti-625005,640,1,tamilaga vettri kazhagam,181,0.15625,No
89,Near Correspondent Room Pasumalai-625004,640,1,tamilaga vettri kazhagam,124,0.15625,No
251,Puliyankulam.-625201,643,1,tamilaga vettri kazhagam,161,0.1555209953343701,No
111,Tiruparankundram -625005,644,1,tamilaga vettri kazhagam,116,0.15527950310559,No
176,Avaniapuram-625012.,648,1,tamilaga vettri kazhagam,114,0.154320987654321,No
138,Southern Portion Koothiyarkundu-625008,654,1,tamilaga vettri kazhagam,82,0.1529051987767584,No
59,Vilacheri-625006,654,1,tamilaga vettri kazhagam,59,0.1529051987767584,No
12,Vadivel Nagar-625019,663,1,tamilaga vettri kazhagam,31,0.1508295625942685,No
276,"Valayankulam-
625022",675,1,tamilaga vettri kazhagam,192,0.1481481481481481,No
206,Room No. 3 Thiruparankundram Road Avaniyapuram,680,1,tamilaga vettri kazhagam,94,0.1470588235294118,No
210,Avaniapuram.-625012,681,1,tamilaga vettri kazhagam,246,0.1468428781204112,No
110,"Tiruparankundram
-625005",681,1,tamilaga vettri kazhagam,105,0.1468428781204112,No
77,Thirunagar-625006,687,1,tamilaga vettri kazhagam,65,0.1455604075691412,No
