Polling_Station_No,location_clean,polling areas,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
106,atchampathu.,"1.Erkudi Achampathu (R.V) Erkudi Achampathu (P) Lalachathiracolony Achampathu Madurai 19 Ward 4 ,
2.Erkudi Achampathu (R.V) Erkudi Achampathu (P) Erattai Vaykkal Kalavasal Melakkal Main road ,
3.Erkudi Achampathu (R.V) Erkudi Achampathu (P) V.O.C. Street Erkudi Ward 1 ,
4.Erkudi Achampathu (R.V) Erkudi Achampathu (P) Theni Mani Road Erkudi Madurai 19 Ward 5 ,",dravida munnetra kazhagam,tamilaga vettri kazhagam,43,4.720087815587267
108,Puthukulam Ist Bit -Madurai.,"1.Pudukulam Bit 1 (R.V) Pudukulam (p) Pudukulam Bit1 Ward 1 & Ward 2 ,",all india anna dravida munnetra kazhagam,dravida munnetra kazhagam,10,2.277904328018223
110,North Wing West Side Room P P Chavadi-625016,"1.Madurai (C) Pichaipillai Chavadi Ward 65 ,
2.Madurai (C) Thillai Nagar P P Chavadi Ward 65 ,
3.Madurai (C) Thirumalai Colony 1st Street Ward 65 ,
4.Madurai (C) Thirumalai Colony 2nd Street Ward 65 , 5.Madurai(C) Thirumalai Colony 3rd Street Ward 65 ,
6.Madurai (C) Thirumalai Colony 4th Street Ward 65
7.Madurai (C), Bharathiyar 1st Street Ward 64",tamilaga vettri kazhagam,dravida munnetra kazhagam,3,0.4329004329004329
113,Samatipuram,"1.Madurai (C) Johnson Street Natraj Nagar Ward 66 ,
2.Madurai (C) Madha Kovil West Street Ward 66 ,
3.Madurai (C) Kandhasamy Street Natraj Nagar Ward 66 ,
4.Madurai (C) Nethaji Street Ward 66 ,
5.Madurai (C) Parvathi Veethi Natraj Nagar Ward 66 ,
6.Madurai (C) Vivekanandhar Street Natraj  Nagar Ward 66
7.Madurai (C) Thamarai Veethi Natraj Nagar Ward 66 ,
8.Madurai (C) Prakash Veethi Natraj Nagar Ward 66 ,
9.Madurai (C) Krishna Street Natraj Nagar Ward 66 ,
10.Madurai (C) Meenakshi Street Natraj Nagar Ward 66 ,
11.Madurai (C) Mullai Veethi Natraj Nagar Ward 66 ,
12.Madurai (C) Murugan Street Natraj Nagar Ward 66 ,
13.Madurai (C) Officers Town Natraj Nagar Ward 66 ,
14.Madurai (C) Ayyanar Street Natraj Nagar Ward 66",tamilaga vettri kazhagam,dravida munnetra kazhagam,32,4.812030075187971
114,Madurai - 625016,"1 - Madurai (C), Irulandi Devar Colony Ward 67( till door no. 116)",tamilaga vettri kazhagam,dravida munnetra kazhagam,34,4.715672676837725
116,Madurai - 625016,"1.Madurai (C) Doak Nagar Main Visalam 12th Cross Street Ward 66  ,
2.Madurai (C) Doak Nagar 13th Cross Street Ward 66 ,
3.Madurai (C) Doak Nagar Visalam 14th Cross Street Ward 66  ,
4.Madurai (C) S B O Colony Ward 66,
5.Madurai (C) Ashok Nagar 3rd Street Ward 66 ,
6.Madurai (C) Ashok Nagar 4th Street Ward 66  ,
7.Madurai (C) Subaiah Devar Street Ward 66  ,
8.Madurai (C) Durairaj Devar Street Ward 66",tamilaga vettri kazhagam,dravida munnetra kazhagam,2,0.3448275862068966
119,Madurai - 625016,"1.Madurai (C) Ramasamy Muthaliar Street  Ward 66 ,
2.Madurai (C) Kalai Ambalagarar Street Ward 66",dravida munnetra kazhagam,tamilaga vettri kazhagam,6,0.8784773060029283
120,"kochadai-
625016",1.Madurai (C) Shanthisathan Apartments Kochadai  Ward 66,tamilaga vettri kazhagam,all india anna dravida munnetra kazhagam,5,0.8347245409015025
125,"South -
facing - Virattipathu -625016","1..Madurai (C) Virattipathu (P) Muthu Devar Colony 1st Street Ward 67 ,",tamilaga vettri kazhagam,dravida munnetra kazhagam,18,2.368421052631579
130,Virattipathu-625016,"1.Madurai (C) Virattipathu(P) Virattipathu Melatheru 1 Ward 67 ,
2.Madurai (C) Virattipathu (P) Virattipathu Melatheru 2  Ward 67 ,
3.Madurai (C) Virattipathu(P) H.M.S Colony Ward 67 ,
4.Madurai (C) Virattipathu(P) Kamatchi Amman Kovil Street Ward 67,
5 Madurai (C) Virattipathu (P), H.M.S.Colony Ward 67 (from door no.170 till last),",tamilaga vettri kazhagam,dravida munnetra kazhagam,14,1.846965699208443
