Polling_Station_No,location_clean,total of valid votes,Total_Independent_Votes,Winner_Party,Margin_Of_Victory,Independent_Vote_Share_%,Is_Spoiler_Risk
92,Thirunagar-625006,720,2,tamilaga vettri kazhagam,121,0.2777777777777778,No
84,West Building North Portion Thirunagar-625006,725,2,tamilaga vettri kazhagam,219,0.2758620689655172,No
85,Thirunagar-625006,726,2,tamilaga vettri kazhagam,117,0.2754820936639119,No
166,Perungudi-625022,728,2,tamilaga vettri kazhagam,195,0.2747252747252747,No
298,Viraganoor -625009,731,2,tamilaga vettri kazhagam,100,0.2735978112175103,No
204,Avaniapuram-625012,738,2,tamilaga vettri kazhagam,202,0.2710027100271002,No
183,"South Portion Room No 1
Karpagam Nagar Avaniyapuram-625012",741,2,tamilaga vettri kazhagam,160,0.2699055330634278,No
104,Near A H M Room Pasumalai-625004,742,2,tamilaga vettri kazhagam,78,0.2695417789757413,No
65,"Thanakkankulam-
625006",748,2,tamilaga vettri kazhagam,201,0.267379679144385,No
283,Chinthamani-625009,759,2,tamilaga vettri kazhagam,190,0.2635046113306983,No
188,(Near Avaniyapuram Out Post Police Station) -625012,759,2,tamilaga vettri kazhagam,184,0.2635046113306983,No
180,-625012,764,2,tamilaga vettri kazhagam,102,0.2617801047120419,No
306,Puliyankulam-625201,765,2,tamilaga vettri kazhagam,194,0.261437908496732,No
5,Muthupatti-625019,387,1,tamilaga vettri kazhagam,18,0.2583979328165375,No
302,Viraganoor - 625009,784,2,tamilaga vettri kazhagam,164,0.2551020408163265,No
123,MRCAS Manikam Ramaswami College of Arts & Science West Portion LH5 Room Tiruparankundram-625005,785,2,tamilaga vettri kazhagam,245,0.2547770700636943,No
96,Thirunagar-625006,785,2,tamilaga vettri kazhagam,103,0.2547770700636943,No
86,Thirunagar-625006,793,2,tamilaga vettri kazhagam,250,0.2522068095838588,No
15,Vijayalakshmi Sanjeevi malaiyan mazhalaiyar magizhvagam Primary School (Office Building) Theni Main Road,397,1,tamilaga vettri kazhagam,26,0.2518891687657431,No
62,Thanakkankulam-625006,794,2,tamilaga vettri kazhagam,145,0.2518891687657431,No
38,Keelakuilkudi-625019,794,2,tamilaga vettri kazhagam,13,0.2518891687657431,No
201,Karpagam Nagar Avaniyapuram,801,2,tamilaga vettri kazhagam,233,0.2496878901373283,No
125,Western portion Tiruparankundram - 625005,807,2,tamilaga vettri kazhagam,72,0.2478314745972739,No
282,(Near Anuppanadi Bus Stand)-625009,813,2,tamilaga vettri kazhagam,218,0.2460024600246002,No
185,Avaniyapuram - 625012,814,2,tamilaga vettri kazhagam,187,0.2457002457002457,No
24,"Southern Portion
Nagamalai Pudukottai -625019",816,2,tamilaga vettri kazhagam,98,0.2450980392156863,No
114,Thiruparankundram-625005,816,2,tamilaga vettri kazhagam,224,0.2450980392156863,No
117,Thiruparankundram-625005,832,2,tamilaga vettri kazhagam,184,0.2403846153846154,No
122,MRCAS Manikam Ramaswami College of Arts & Science Center Portion LH4 Room Tiruparankundram-625005,833,2,tamilaga vettri kazhagam,187,0.2400960384153661,No
222,Avaniapuram-625012,839,2,tamilaga vettri kazhagam,297,0.2383790226460071,No
52,Vedarpuliyankulam-625006,840,2,tamilaga vettri kazhagam,95,0.2380952380952381,No
334,"Centre
Portion Valayankulam-625022",847,2,tamilaga vettri kazhagam,216,0.2361275088547816,No
56,"West Building East
Portion Thanakankulam 625006",849,2,tamilaga vettri kazhagam,102,0.2355712603062426,No
252,Madurai-625012,854,2,tamilaga vettri kazhagam,194,0.234192037470726,No
263,625009,856,2,tamilaga vettri kazhagam,54,0.2336448598130841,No
156,Nilaiyur-625005,857,2,tamilaga vettri kazhagam,416,0.2333722287047841,No
312,Govt. Hr.Sec.School Southern Side Silaiman 625201,429,1,dravida munnetra kazhagam,7,0.2331002331002331,No
7,"East Facing West
Portion Nagamalaipudur Vadapalanji - 625019",440,1,dravida munnetra kazhagam,3,0.2272727272727273,No
262,Chinna Anuppanadi-625009,883,2,tamilaga vettri kazhagam,208,0.2265005662514157,No
134,X-Tiruparankundram -625005,884,2,tamilaga vettri kazhagam,119,0.2262443438914027,No
174,Ayanpappakudi- 625012,884,2,tamilaga vettri kazhagam,249,0.2262443438914027,No
297,"Eastern Building South portion 2nd
Room Iravthanallur-625009",884,2,tamilaga vettri kazhagam,192,0.2262443438914027,No
75,Thirunagar-625006,446,1,dravida munnetra kazhagam,6,0.2242152466367713,No
48,Thoppur-625008,899,2,tamilaga vettri kazhagam,120,0.2224694104560623,No
278,Mela Anuppanadi-625009,901,2,tamilaga vettri kazhagam,292,0.2219755826859046,No
153,Nilaiyur-625005,904,2,tamilaga vettri kazhagam,185,0.2212389380530974,No
129,Tiruparankundram -625005,904,2,tamilaga vettri kazhagam,180,0.2212389380530974,No
21,Nagamalai Pudukottai -625019,452,1,tamilaga vettri kazhagam,6,0.2212389380530974,No
118,HM Room Thiruparankundram-625005,911,2,tamilaga vettri kazhagam,241,0.2195389681668496,No
4,"East Building ( Southern Portion)
Vadapalanji Muthupatti-625019",924,2,tamilaga vettri kazhagam,89,0.2164502164502164,No
145,South Side,928,2,tamilaga vettri kazhagam,179,0.2155172413793103,No
244,Ayanpappakdui - 625012,470,1,dravida munnetra kazhagam,1,0.2127659574468085,No
331,Valayankulam-625022,941,2,tamilaga vettri kazhagam,251,0.2125398512221041,No
218,Avaniyapuram - 625012,481,1,tamilaga vettri kazhagam,97,0.2079002079002079,No
342,Kombadi -625022,983,2,dravida munnetra kazhagam,127,0.2034587995930824,No
321,Kusavankundu-625022,492,1,dravida munnetra kazhagam,23,0.2032520325203252,No
246,Avaniyapuram,495,1,tamilaga vettri kazhagam,81,0.202020202020202,No
177,Avaniyapuram -625012,498,1,tamilaga vettri kazhagam,131,0.2008032128514056,No
131,"East Building West
Portion Thiruparankundarm (East) -625005",516,1,tamilaga vettri kazhagam,51,0.1937984496124031,No
119,Tiruparankundram-625005,518,1,tamilaga vettri kazhagam,1,0.1930501930501931,No
322,Kusavankundu-625022,523,1,dravida munnetra kazhagam,22,0.1912045889101338,No
215,Avaniapuram-625012,526,1,tamilaga vettri kazhagam,141,0.1901140684410646,No
257,West Portion Periyasamy Nagar Avaniyapuram-625012,531,1,tamilaga vettri kazhagam,90,0.1883239171374765,No
34,Ben Matriculation School (East Portion) Vadivelkarai,534,1,tamilaga vettri kazhagam,31,0.1872659176029963,No
49,Munandipatti-625008,536,1,tamilaga vettri kazhagam,60,0.1865671641791045,No
245,Avaniyapuram -625012,540,1,tamilaga vettri kazhagam,159,0.1851851851851852,No
182,Avaniyapuram - 625012,545,1,tamilaga vettri kazhagam,116,0.1834862385321101,No
32,Nagamalai Pudukottai -625019,546,1,dravida munnetra kazhagam,34,0.1831501831501831,No
200,Avaniyapuram - 625012,548,1,tamilaga vettri kazhagam,52,0.1824817518248175,No
162,Karuvelampatti -625008,549,1,tamilaga vettri kazhagam,38,0.1821493624772313,No
330,Parambupattii-625022,557,1,tamilaga vettri kazhagam,72,0.1795332136445242,No
19,Nagamalai Pudhukkottai -625019,566,1,tamilaga vettri kazhagam,105,0.176678445229682,No
3,Vadapalanji -625019,577,1,dravida munnetra kazhagam,216,0.1733102253032929,No
11,(Western Portion) Alampatti - 625019,582,1,tamilaga vettri kazhagam,42,0.1718213058419244,No
71,625006,584,1,dravida munnetra kazhagam,47,0.1712328767123288,No
9,Akshara Matriculaction School (West Portion ) Rajambadi,584,1,tamilaga vettri kazhagam,115,0.1712328767123288,No
310,Road side new building Western portion 10th A Class Room Silaiman-625201,589,1,dravida munnetra kazhagam,336,0.1697792869269949,No
