Polling_Station_No,location_clean,Dominant_Party_In_Booth,Dominant_Party_Votes,Margin_Of_Victory
300,west portion Viraganoor-625009,tamilaga vettri kazhagam,345,153
301,Viraganoor-625009,tamilaga vettri kazhagam,355,138
302,Viraganoor - 625009,tamilaga vettri kazhagam,370,164
303,Viraganoor - 625009,tamilaga vettri kazhagam,222,35
304,Puliyankulam -625201,dravida munnetra kazhagam,275,27
305,Puliyankulam-625201,tamilaga vettri kazhagam,347,162
306,Puliyankulam-625201,tamilaga vettri kazhagam,383,194
307,Silaiman 625201,tamilaga vettri kazhagam,304,62
308,Silaiman-625201,tamilaga vettri kazhagam,365,114
309,Silaiman-625201,tamilaga vettri kazhagam,264,21
310,Road side new building Western portion 10th A Class Room Silaiman-625201,dravida munnetra kazhagam,430,336
311,"10 B Class
Room Silaiman-625201",tamilaga vettri kazhagam,287,84
312,Govt. Hr.Sec.School Southern Side Silaiman 625201,dravida munnetra kazhagam,170,7
313,East Side Panaiyur-625009,tamilaga vettri kazhagam,278,27
314,Panaiyur -625009,tamilaga vettri kazhagam,340,103
315,West Facing Room No 1 Kallambal- 625009,all india anna dravida munnetra kazhagam,319,130
316,Panaiyur-625009,tamilaga vettri kazhagam,291,43
317,Samanatham-625009,tamilaga vettri kazhagam,380,147
318,Samanatham-625009,tamilaga vettri kazhagam,312,112
319,Perumanendal-625012,tamilaga vettri kazhagam,370,14
320,Perumanendal-625012,tamilaga vettri kazhagam,375,20
321,Kusavankundu-625022,dravida munnetra kazhagam,209,23
322,Kusavankundu-625022,dravida munnetra kazhagam,204,22
323,Chinna Udaippu-625022,tamilaga vettri kazhagam,303,106
324,"Chinna Udaippu-
625022",all india anna dravida munnetra kazhagam,165,0
325,Transport Nagar Papanodai - 625022,dravida munnetra kazhagam,224,31
326,Solankuruni- 625022,tamilaga vettri kazhagam,430,240
327,Solankuruni - 625022,tamilaga vettri kazhagam,359,183
328,South Building Solankuruni - 625022,tamilaga vettri kazhagam,316,142
329,Parambupattii-625022,tamilaga vettri kazhagam,312,108
330,Parambupattii-625022,tamilaga vettri kazhagam,239,72
331,Valayankulam-625022,tamilaga vettri kazhagam,480,251
332,Valayankulam-625022,tamilaga vettri kazhagam,418,199
333,Valayankulam-625022,tamilaga vettri kazhagam,332,163
334,"Centre
Portion Valayankulam-625022",tamilaga vettri kazhagam,436,216
335,Valayankulam-625022,tamilaga vettri kazhagam,438,222
336,Valayapatti-625022,dravida munnetra kazhagam,289,27
337,"Valayapatti -
625022",dravida munnetra kazhagam,246,54
338,"Near
Gate Periyaalangulam-625022",tamilaga vettri kazhagam,312,6
339,"central
building Periyaalangulam-625022",tamilaga vettri kazhagam,253,44
340,"Panchayat Union Elementary School Near H M Room
Tottiyapatti",dravida munnetra kazhagam,146,38
341,Othai Alangulam-625022,tamilaga vettri kazhagam,326,9
342,Kombadi -625022,dravida munnetra kazhagam,409,127
343,"Nedumadurai-
625022",tamilaga vettri kazhagam,483,279
344,"Nedumadurai-
625022",tamilaga vettri kazhagam,321,132
345,Parapathi-625022,tamilaga vettri kazhagam,544,408
346,Parapathi-625022,tamilaga vettri kazhagam,629,423
347,Eliyarpathi-625022,tamilaga vettri kazhagam,442,110
348,Nallur-625022,tamilaga vettri kazhagam,249,38
349,Nallur-625022,dravida munnetra kazhagam,232,24
350,Virathanoor-625009,tamilaga vettri kazhagam,331,97
351,Virathanoor-625009,dravida munnetra kazhagam,329,71
352,Nedunkulam-625009,dravida munnetra kazhagam,254,10
