Serial No. Of Polling Station,Location and Name of Building in which Polling Station Located,Polling Area,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Percentage
106,"T.N.D.T.A.Primary School, Madathuvilai, Arumuganeri.","1.Arumuganeri (S.G.T.P) Selvavinayagar Street Ward 13,
2.Arumuganeri (S.G.T.P) Misson KOvil Street Ward 13,
3.Arumuganeri (S.G.T.P) Poovarasoor south street ward 13,
4.Arumuganeri (S.G.T.P) Poovarasoor south street ward 13,
5.Arumuganeri (S.G.T.P) Poovarasoor MelaStreet Ward 13,
6.Arumuganeri (S.G.T.P) Madathuvilai Antoniyaar kovilStreet Ward 13, 7.Arumuganeri (S.G.T.P) TheyaheSomaSundraeswar street Ward 13, 8.Arumuganeri (S.G.T.P) Madathuvilai MelasTreet Ward 13, 9.Arumuganeri (S.G.T.P) Madathuvilai KeelaStreet Ward 13, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,274,269,0.628930817610063
107,"Santhanasama Middle School ,East portion, Madathuvillai, Arumuganeri.","1.Arumuganeri (S.G.T.P) Catholikarkovil Street Ward 12,
2.Arumuganeri (S.G.T.P) Kandasamypuramroad ward 12,
3.Arumuganeri (S.G.T.P) North Subbramaiapuram Elangathammankovil Street Ward 12, 4.Arumuganeri(S.G.T.P) North subbramaniapuram ammankovilstreet ward 12, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,321,246,8.600917431192661
108,"Santhanasama Middle School ,Northern Building, East Protion, Madathuvillai, Arumuganeri.","1.Arumuganeri(S.G.T.P) subbramaniapuram Ammankovil street
Ward 11, 2.Arumuganeri(S.G.T.P) Muthusamypuram Ward 11,
3.Arumuganeri(S.G.T.P) Kadasamypuram Road Ward 11,
4.Arumuganeri(S.G.T.P) Rajamanniyapuram AmmanKovil Street Ward 11, 5.Arumuganeri(S.G.T.P) Rajamanniapuram Middle Street Ward 11, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,257,158,16.555183946488295
109,"Santhanasama Middle School ,South Building, Middle Protion, Madathuvillai, Arumuganeri.","1.Arumuganeri(S.G.T.P) Sadhukkai Street Ward 11,
2.Arumuganeri(S.G.T.P) Subramaniapuram South Street Ward 11,
3.Arumuganeri(S.G.T.P) Tiruchendur road, ward 11, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,344,154,27.33812949640288
110A,"Govt girls Hr.Sec.school,North Middle
building South Facing West portion Building Arumuganeri.","1.Arumuganeri(S.G.T.P) Kamarajapuram Ward 6 Above Door no 80, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,240,125,20.985401459854014
110,"Govt girls Hr.Sec.school, North Building west side south facing,Arumuganeri.","1.Arumuganeri(S.G.T.P) Kamarajapuram Ward 6, Door No 1- 79
,999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,184,151,6.457925636007827
111,"T.N.D.T.A Middle
School,Muthukrishnapuram, Arumuganeri.","1.Arumuganeri(S.G.T.P) Rajamanniapuram kurukku street ward 6,
2.Arumuganeri(S.G.T.P) Rajamanniapuram Misson kovil Street Ward 6, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,106,97,2.8753993610223643
114,"Arockiya Annai Middle School South Building, Adaikkalapuram.","1.Arumuganeri(S.G.T.P) Jothipuri Street Ward 7,
2.Arumuganeri(S.G.T.P) Adaikalapuram melastreet ward 7,
3.Arumuganeri(S.G.T.P) Jebamaalai Mathakovil StreetWard-7, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,185,122,13.876651982378855
115,"Illainjer Aramba vidhya saalai New
Building West Portion Ranimaharajapurtam, Arumuganeri.","1.Arumuganeri(S.G.T.P) RaniMaharajapuram North street Ward 9,
2.Arumuganeri(S.G.T.P) Ranimaharajapuram South Street Ward 8, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,158,157,0.19607843137254902
118,"Hindu Arulneri High School, Thirumalaiyappa puram, Sonaganvillai.","1.Arumuganeri(S.G.T.P) Kaniyalam pudur KeelaStreet Ward 10,
2.Arumuganeri(S.G.T.P) Nalayuramudaiyarkulam Ward 10,
3.Arumuganeri(S.G.T.P) Thirumalayappapuram Ward 10,
4.Arumuganeri(S.G.T.P) Kanniyalanpudur North Street Ward 10,
5.Arumuganeri(S.G.T.P) Mutharammankovil Street Ward 10, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,274,273,0.12391573729863693
