Serial No. Of Polling Station,Location and Name of Building in which Polling Station Located,Polling Area,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Percentage
138,"Govt Girls Hr. Sec School, North
building East side. south facing Theevu street, kayalpattinam.","1.kayalpattinam (Municipality) Vechalachiamman kovil street ward, 2.999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,241,187,9.908256880733946
155,"Thulir School for Special Children,
Thulir Arangam West Portion North Side Rathinapuri, kayalpattinam.","1.kayalpattinam (Municipality) Keela lakshmipuram ward 14, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,242,155,18.012422360248447
156,"Thulir School for Special Children,
Thulir Arangam, South side Building East side, Rathinapuri kayalpattinam.","1.kayalpattinam (Municipality) Lakshmipuram ward 14, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,265,157,19.35483870967742
162,"Municipality Middle School, New Building East portion, Odakarai, kayalpattinam.","1.kayalpattinam ward 12 Mangalavadi ward 12, 2.kayalpattinam
(Municipality) Mela nesavustreet ward 12, 3.kayalpattinam
(Municipality) Mottaiyan Thottam Ward 12, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,278,236,7.26643598615917
166,"St.Thomas Hr.Sec School, South Building West Side, Veerpandiyanpattanam.","1.Veerapandianpattinam (R.V) And (P) Jesurajaveethi Block 1,
2.Veerapandianpattinam (R.V) And (P) Fathima Street NehruStreet Block 1, 3.Veerapandianpattinam (R.V) And (P) Medona Street Block 1, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,371,286,11.533242876526458
167,"St.Thomas Hr.Sec School, South
Building, East Side, Veerapandiyanpattanam","1.Veerapandianpattinam (R.V) And (P) Prasanthnagar Block 1,
8.Veerapandian Pattinam (R.V), 2. Veerapandian Pattinam Rural (P) KattumoguthumBlock, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,283,207,13.66906474820144
169,"St. Thomas Hr.Sec School ,North Building West Side, IX A Standard,Veerapandiyanpattanam","1.Veerapandianpattinam (R.V) And (P) Veerapandianpattinam
(U.P)Thomas Veethi Block 2, 2.Veerapandianpattinam (R.V) And (P) Veerapandianpattinam (U.P) Main Road Block 2,
3.Veerapandianpattinam (R.V) And (P) Veerapandianpattinam (U.P) Kadarkarai Bypass Salai Block 2, 4.Veerapandianpattinam (R.V) And (P) Veerapandianpattinam (U.P) Joseph Street Block 2,
5.Veerapandianpattinam (R.V) And (P) Veerapandianpattinam (U.P) Petter Street (North ) Block 2, 6.Veerapandianpattinam (R.V) And
(P) Veerapandianpattinam (U.P) M.M.Street 1 Block 3,
7.Veerapandianpattinam (R.V) And (P) Veerapandianpattinam (U.P) Lookas Street Block 3 8.Veerapandianpattinam (R.V) And (P) Santhi",Dravida Munnetra Kazhagam,280,189,17.84313725490196
170,"St. Thomas Hr.Sec School , North Building West Side Class Room XII A Standard, Veerapandiyanpattanam","1N.aVgeaerraBploacnkdi1a,n9p9a9tt.iOnVaEmR(SRE.VA)SAEnLdE(CP)TROaRjSKannanagar, Main Road
Block 2, 2.Veerapandianpattinam (R.V) And (P) Petter Street South Block 2, 3.Veerapandianpattinam (R.V) And (P) Rajkanna Nagar Extend Block 2, 4.Veerapandianpattinam (R.V) And (P) M.M. Street 2 Block 3, 5.Veerapandianpattinam (R.V) And (P) Johnveethi Block 3, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,269,242,4.492512479201332
172,"St. Thomas Hr. Sec School North
Building East Side room,XI  A Standard Veerapandiyanpattanam","1.Veerapandianpattinam (R.V) And (P) Xavier Street Block 4, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,502,279,26.932367149758452
173,"Panchayat Union Primary School, South Building, Shanmugapuram.","1.Veerapandianpattinam (R.V), Veerapandianpattinam Rural (P)
ShunmugapuramValliammalpuram Ganthinagar (Door No.1 to 130), 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,419,178,31.544502617801047
174,"Panchayat Union Primary School, North Building, Shanmugapuram.","1.Veerapandianpattinam (R.V), Veerapandianpattinam Rural (P)
ShanmugapuramValliammalpuram Ganthinagar Part II (Door No. 131 and above), 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,292,150,24.825174825174827
180,"Panchayat Union Primary School, East Building, Nathankinaru.",", 1.Pallipathu (R.V) And (P) Nathankennru Keelastreet poochikadu
Block 4, 2.Pallipathu (R.V) And (P) Nathankinaru Melastreet chettyaavilai block-5, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,163,146,3.9812646370023423
182,"Hindu High School, East Side, Poochikadu, Pallipathu","1).Pallipathu (R.V) And (P) Erusalam Serivilai Block 3, 2).Pallipathu
(R.V) And (P) Mannanvilai vanubhanvilai, Senguli Block 6, 3).Pallipathu (R.V) And (P) Edayanvilai, Neduvalam, Block 7, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,301,244,8.00561797752809
187,"Si .Pa.Adithanar.Govt Hr.Sec School,
East wing, southern building, Ramanathapuram, Kayamozhi","1) Kayamozhi (R.V) And (P) Musleem Street Pillaiyar Street Block 6
2).Kayamozhi (R.V) And (P) North musleem street block 7, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,259,113,32.88288288288289
190,"Panchayat Union middle School,
Keelanalumoolaikinaru","1.Mela Tiruchendur (R.V) And (P) Therkoornalumoolaikinaru,
Murugankuruchi Block3, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,462,213,34.3448275862069
191,"Panchayat Union Middle School, East Building, North Room, N.Muthaiahpuram","1. MelaTiruchendur (R.V) And (P) Ayyangovilvilai muthaiyapuram block 4, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,430,230,26.666666666666668
199,"Municipality Primary School West
Building South Side, T.B.Road, Tiruchendur.","1.Tiruchendur (Municipality )JeevaNagar
VeilukathammankovilStreet Ward 1 DOOR NO 1 TO 103, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,282,139,27.9296875
200,"Municipality Primary School West Building North Side, T.B.Road, Tiruchendur.","1.Tiruchendur (Municipality )JeevaNagar
VeilukathammankovilStreet Ward 1 above Door no 103 ,
2.Tiruchendur (Municipality )kayalpattinam Road Ward 1,999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,271,154,20.74468085106383
202,"Municipality Primary School North
Building West Portion T.B. Road, Tiruchendur","1.Tiruchendur (Municipality )Salavaiyalar Mariamman Kovil Street
Ward 2, 2.Tiruchendur (Municipality )North Mariamman Kovil Street Ward-2, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,265,219,8.363636363636363
212,"Hindu Primary School, SouthSide NewBuilding, V.O.C Street, Tiruchendur","1.Tiruchendur (Municipality )Santhanamariamman kovil Street Ward 3, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,263,259,0.5722460658082975
214,"Hindu Primary School V.O.C Street,
South Buidling North Facing, Tiruchendur","1.Tiruchendur (Municipality )V.O.C. Street Ward 5, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,149,106,13.109756097560975
216,"Saravana Iyer middle school Ramachandra Iyer Ninaivarangam, North Building, East Portion, East car street, panthal Mandabam, Tiruchendur","1.Tiruchendur (Municipality )PuliadiStreet Ward 6, 2.Tiruchendur (Municipality )Sannathi Street eastPortionStreet Ward 6,
3.Tiruchendur (Municipality )SannathiStreet WestPortion Ward 6, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,314,198,16.0
223,"Govt Adhidravidar Primary School South Building, Thoppur, Tiruchendur","1.Tiruchendur (Municipality )Karamabavilai Ward 14,
2.Tiruchendur (Municipality )Benjamin Colony Ward 14, , 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,327,262,9.36599423631124
224,"Govt Adhidravidar Primary School
Additional Building , Thoppur, Tiruchendur","1.Tiruchendur (Municipality )Thoppur Block 14, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,431,294,16.97645600991326
225,"R.C Primary School South Building West
Portion Tiruchendur","1.Tiruchendur (Municipality )Amalinagar ward 12 Door no 1 TO 90,
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,482,165,44.837340876944836
227,"R.C Primary School, East Building
Eastern portion, Amalinagar, Tiruchendur","1.Tiruchendur (Municipality )Sweaken colony Ward 12,
2.Tiruchendur (Municipality )Roch Colony Ward 12, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,549,180,47.30769230769231
228,"Thiru Kudumbam High School West Portion, IIIrd Std , Alanthalai","1.Tiruchendur (Municipality )Ganeshpuram Ward 15,
2.Tiruchendur (Municipality )Kandasamypuram ward 15, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,375,198,23.599999999999998
229,"Thiru Kudumbam, High School , East Portion, IIIrd Std , Alanthalai","1.Tiruchendur (Municipality )Alanthalai north street ward 15,
2.Tiruchendur (Municipality )Alanthalai Kadarkarai Street Ward 15, 3.Tiruchendur (Municipality )Alanthalai North Street Puducolony Ward 15, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,509,380,14.175824175824175
230,"Carmal Middle School, South East
Building, Alanthalai","1.Tiruchendur (Municipality )Alanthalai south street ward 16, 16,
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,464,243,30.15006821282401
238,"T.N.D.T.A Bishop Azaria Memorial
Hr.Sec School, West Building North Room, Class Xth A, Vellalanvillai","1.Paramankuruchi (R.V) And (P) Seeyon nagar Perumalpuram
block 16, 2.Paramankuruchi (R.V) And (P) Seeyonnagar South Street Block 17, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,262,195,12.361623616236162
240,"Panchayat Union Primary School Eluvillai, Kuthiraimozhi","1.Kuthiraimozhi (R.V) And (P) Therikudiruppu, Harisanvilai, Kovil vilai Block 1, 2.Kuthiraimozhi (R.V) And (P) Sarvarnaperivanvilai, Punguamalpuram vilai, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,159,122,9.61038961038961
249,"TN.D.T.A Primary School, Aroickyapuram, Lakshmipuram","1.Lakshmipuram (R.V) And (P) Sankaralingapuram
Poologapandivilai block 5, 2.Lakshmipuram (R.V) And (P) Arockkyapuram Block 6, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,177,130,11.463414634146343
250,"Ambrose Boys Hr.Sec School Old
Students Bulding, Meiganapuram","1.Mejagannapuram (R.V) And (P) Madathuvilai block 1,
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,403,238,20.57356608478803
