Location and Name of Building in Which Polling Station Located,Total_Valid_Votes_In_Locality,Total_Independent_Votes_In_Locality,Independent_Vote_Share_%
"Corporation Vadakkupadai Primary School, Main Hall, Eyarpagainayanar Street, Palayamkottai.",784,10,1.275510204081633
"Corporation Vadkkupadai Primary School , New Building, Northern Portion Eyarpagainayanar Street, Palayamkottai",708,9,1.271186440677966
"Nehru Primary School, ,South Side
,Baseerappa North St Melapalayam",798,10,1.2531328320802
"Panchayat Union Primary School, New Building Western Portion V.M.Chathram",640,8,1.25
"The Muslim Girls Hr.Sec.School, North Building 2nd room, M L M Nagar,Melapalayam.",731,9,1.231190150478796
"Sarah Tucker Girls Higher Secondary School,
,Eastern side East Block, Central Hall, New Building, III B Class Room, Palayamkottai,",570,7,1.228070175438597
"Amala Primary School North part IInd Room
N.G.O.B Colony, Jawahar Nagar Palayamcottai",489,6,1.226993865030675
"Pushpalatha Matric Higher Secondary School, East Part, South Portion, Thiyagarajanagar, Palayamkottai",571,7,1.225919439579685
"Rosemary Marticulation Higher Secondary School, East to West 5th Entrance, L.K.G C Section, Tuticorin Road, V.M. Chatram",654,8,1.223241590214067
"Rosemary Matriculation Higher Secondary School ,U.K.G., A- Section, West to East 1st room, Ram nagar, Thiyagaraja Nagar",575,7,1.217391304347826
"St. Joseph Girls Hr. Sec. School ,Eastern Building, 12th C Class Room, N.G.O. A. Colony.",576,7,1.215277777777778
"Corporation Primary School, ,Westblock, South Building West Portion Nethaji Road Kurichi, Melapalayam",494,6,1.214574898785425
"Corporation Azath Primary School, Western Block, 4th Room, Melapalayam",497,6,1.207243460764587
"Azmath Primary and Nursery School,North Building West Facing, 112,NabiNagar , Melapalayam",681,8,1.174743024963289
"Ganesapuram West Primary School, ,New Building, Northern Wing , Ganesapuram South Street, Melapalayam",683,8,1.171303074670571
"Muslim Higher Secondary School, North Block Additional New Building, West Part West Portion 1st Room Nethaji Road, Kurichi.",685,8,1.167883211678832
Rahumania Higher Secondary School Middle Block 9th D Section Melapalayam,600,7,1.166666666666667
"Hameem Middle School,South Portion, South Side, Periakothuva Pallivasal South East St, Melapalayam",515,6,1.16504854368932
"Sarah Tucker Branch Elementary School , , Southern Building Chinnakoil Street Adaikalapuram",516,6,1.162790697674419
"Perarignar Anna Corporation Primary School
, ,Eastern Block 1st Room, C.N.Village.",516,6,1.162790697674419
"Amala Primary School, North Part, 1st Room
N.G.O.B Colony, Jawahar Nagar Palayamcottai",518,6,1.158301158301158
"Integrated Children Development Centre No. 105, 2nd Entrance, Corporation Primary School campus, Hameempuram, Melapalayam",522,6,1.149425287356322
"St.Joseph Primary School ,Western Wing, IV Class room Near R.T.O Office, N.G.O.B Colony, Palayamkottai",610,7,1.147540983606557
"Usborne Memorial Middle School , (Main Building) Lankarkana Street, Palayamkottai",698,8,1.146131805157593
"Flowrence sweinson Deaf and Dum High School ,Auditorium Hall North Portion Eastern Side, Thiruvanandapuram Road, Kulavanigarpuram,",536,6,1.119402985074627
"Rosemary Matriculation Higher Secondary School , West Portion 1t Room Tuticorin Road, V.M.Chatram.",543,6,1.104972375690608
"Muslim Matharasa Primary School , West Side, Palayamkottur,",453,5,1.103752759381899
"Sri Jeyandra Saraswathi Swamigal Silver Jubilee Higher Secondary School
,Manimandapam Hall No.16, Maharaja Nagar",545,6,1.100917431192661
"St.Joseph Girls Hr.Sec.School , South Building XI the B Class Room N.G.O. A. Colony.",727,8,1.10041265474553
"St.Joseph Girls Hr.Sec.School , Eastern Building 12th A Class Room, N.G.O.A. Colony",556,6,1.079136690647482
"Nehru Primary School, ,North Side, Baseerappa North St Melapalayam",649,7,1.078582434514638
"Ganesapuram West Primary School , New Building, Southern Portion, South Part Ganesapuram South Street, Melapalayam .",660,7,1.060606060606061
"Sri Jeyandra Saraswathi Swamigal Silver Jubilee Higher Secondary School, Manimandapam Hall No.19, Maharaja Nagar",472,5,1.059322033898305
"Sarah Tucker Girl’s Higher Secondary School, ,Howard Memorial Hall,Middle Portion, Last Room, Palayamkottai.",480,5,1.041666666666667
"Corporation Primary School, ,North Building, East Portion, A.R. Line, Palayamkottai",581,6,1.032702237521515
"Integrated Child Development Centre, Corporation Primary School Campus
,Nethaji Road, Kurichi, Melapalayam",586,6,1.023890784982935
"St. Thomas High School ,Central Portion, middle building hall no. 4 Kulavanigarpuram Main Road, Kurichi.",586,6,1.023890784982935
"Corporation New Middle School, New South Building,East Portion, Salai Street, Vannarpettai.",689,7,1.015965166908563
"Corporation Old Primary School, Main Northern Hall, Salai Street, Vannarpettai",691,7,1.013024602026049
"Periya Kothuba PalliVasal Women Arabic Matharasa, Periya Kothuba Pallivasal North West Street, Melapalayam",494,5,1.012145748987854
"Corporation Community Hall ,Northern Wing Scavenger’s Colony Palayamkottai",692,7,1.011560693641619
"Pushbalatha Matric Higher Secondary School, Northern Wing Western Portion Palayamkottai",694,7,1.00864553314121
"Panchayat Union Middle School , New Building Western Block, South Portion, IInd Room Piranthankulam, Manakavalampillai Nagar.",696,7,1.005747126436782
"Ganesapuram West Primary School, , Southern Tiled Old Building Eastern side, Ganesapuram South Street, Melapalayam",713,7,0.9817671809256662
"Corporation Primary School ,South to North, 12th Entrance, Perumalpuram",511,5,0.9784735812133072
"Corporation Primary School ,South to North, 4th Entrance, Perumalpuram",308,3,0.974025974025974
"Sarah Tucker Higher Secondary School ,
,Howard Memorial Hall, 2nd Hall From West Palayamkottai",616,6,0.974025974025974
"Quide Millath Corporation Higher Secondary School, Primary School Block 3rd Std Class Room West Portion, Melapalayam",618,6,0.9708737864077669
"Corporation Azath Primary School, ,Western Block IIrd Room Police Station Road Melapalayam",620,6,0.967741935483871
"Corporation Kartalil Inimai Primary School,
,East Building, East Side, Pulianthoppu North Street, Melaveeraragavapuram",724,7,0.9668508287292817
"Perarignar Anna Corporation Primary School, Eastern Block, IIIrd Room, C.N. Village.",520,5,0.9615384615384616
"Corporation Primary School, ,New Building Southern Block East Side. Hameempuram Melapalayam",836,8,0.9569377990430622
"M.D.T.Hindu College Hr.Sec.School, ,Eastern Building, Northern Last Room Tirunelveli.
Junction",526,5,0.9505703422053232
"Corporation New Middle School, North Building, East Portion, Salai Street, Vannarpettai",638,6,0.9404388714733543
