Serial No. Of Polling Station,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Naam Tamilar Katchi,Bahujan Samaj Party,Naam Indiar Party,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,Thamizh Perarasu Katchi,Tamilaga Vettri Kazhagam,Puthiya Makkal Tamil Desam Katchi,Independent,Independent.1,Independent.2,Independent.3,Independent.4,Independent.5,Independent.6,Independent.7,Independent.8,Independent.9,Independent.10,Independent.11,Total of Valid Votes,No. Of Rejected Votes,NOTA,Total,No. Of Tendered Votes,Locality,Building in Which it will be Located,Polling Area,Whether for all Voters or men olny or women only,Total_Valid_Votes_Clean,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Of_Victory,Runner_Up_Party,Dravida Munnetra Kazhagam_Rank,All India Anna Dravida Munnetra Kazhagam_Rank,Naam Tamilar Katchi_Rank,Tamilaga Vettri Kazhagam_Rank,Bahujan Samaj Party_Rank,Naam Indiar Party_Rank,All India Puratchi Thalaivar Makkal Munnettra Kazhagam_Rank,Thamizh Perarasu Katchi_Rank,Puthiya Makkal Tamil Desam Katchi_Rank,Independent_Rank,Independent.1_Rank,Independent.2_Rank,Independent.3_Rank,Independent.4_Rank,Independent.5_Rank,Independent.6_Rank,Independent.7_Rank,Independent.8_Rank,Independent.9_Rank,Independent.10_Rank,Independent.11_Rank,Margin_Percentage,Total_Independent_Votes,Core_Total_Votes,Dravida Munnetra Kazhagam_Share,All India Anna Dravida Munnetra Kazhagam_Share,Naam Tamilar Katchi_Share,Tamilaga Vettri Kazhagam_Share,Cluster_ID
57,199,298,29,0,0,2,3,89,0,1,0,1,0,2,1,7,0,1,0,0,2,635,0,1,636,0,USillankulam,"Panchayat  Union  Primary  School  ,  New Building  ,  USillankulam.","1.Ucilankulam  (R.V)  And  (P)  Single  Houses  Street  Block  1  ,  2.Ucilankulam (R.V)  And  (P)  North  Street  Block  2  ,  3.Uchilankulam  (R.V)  And  (P)  South
Street  Block  2  ,  999.OVERSEAS  ELECTORS",All  Voters,635,Dravida Munnetra Kazhagam,298,199,99,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,14,14,7,6,14,10,14,10,14,7,10,5,14,10,14,14,7,15.59055118110236,15,615,0.4845528455284553,0.3235772357723577,0.04715447154471545,0.14471544715447154,1
58,66,236,40,1,0,0,1,143,0,61,0,1,0,4,2,1,0,3,0,0,0,559,0,3,562,0,Manankathan,"Panchyat  Union  Primary  School,SSA Building  North  Portion  ,  Manankathan.","1.Therku  Elanthaikulam  (R.V)  And  (P)  Manankathan  Block  7  ,  2.Therku Elanthaikulam  (R.V)  And  (P)  Manankathan  Block  8  ,  999.OVERSEAS ELECTORS",All  Voters,559,Dravida Munnetra Kazhagam,236,143,93,Tamilaga Vettri Kazhagam,1,3,5,2,9,13,13,9,13,4,13,9,13,6,8,9,13,7,13,13,13,16.63685152057245,72,485,0.4865979381443299,0.1360824742268041,0.08247422680412371,0.2948453608247423,1
59,197,200,49,1,0,5,2,119,0,2,1,0,1,3,2,1,0,1,0,1,0,585,0,1,586,0,South Elanthaikulam,"Community  Hall  ,  South  Elanthaikulam.","1.Therku  elanthaikulam  (R.V)  And  (P)  Therku  Elanthaikulam  Block  1  , 999.OVERSEAS  ELECTORS",All  Voters,585,Dravida Munnetra Kazhagam,200,197,3,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,10,16,5,7,16,7,10,16,10,6,7,10,16,10,16,10,16,0.5128205128205128,12,565,0.35398230088495575,0.3486725663716814,0.08672566371681416,0.21061946902654868,0
60,245,124,40,0,0,0,4,253,3,65,0,1,3,2,2,10,2,2,1,1,1,759,0,2,761,0,Aatthikulam,"Hindu  Primary  School,  South  Portion, Aathikulam","1.Therku  Elanthaikulam  (R.V)  And  (P)  Ramalingam  Block  3  2.Therku Elanthaikulam  (R.V)  And  (P)  Aathikulam  Block  4  ,  3.Therku Elanthaikulam  (R.V)  And  (P)  Aathikulam  Block  5  ,  ,999.OVERSEAS ELECTORS",All  Voters,759,Tamilaga Vettri Kazhagam,253,245,8,All India Anna Dravida Munnetra Kazhagam,3,2,5,1,18,18,18,7,8,4,18,14,8,10,10,6,10,10,14,14,14,1.054018445322793,90,662,0.18731117824773413,0.37009063444108764,0.06042296072507553,0.3821752265861027,2
61,76,156,24,0,0,0,0,69,0,21,1,1,1,2,0,1,0,0,0,0,0,352,0,1,353,0,Kammapatti,"Panchayat  Union  Primary  School,  Main Building,  Kammapatti.","1.Therku  Elanthaikulam  (R.V)  And  (P)  Kammapatti  Block  2  , 999.OVERSEAS  ELECTORS",All  Voters,352,Dravida Munnetra Kazhagam,156,76,80,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,11,11,11,11,11,5,7,7,7,6,11,7,11,11,11,11,11,22.72727272727273,27,325,0.48,0.23384615384615384,0.07384615384615385,0.2123076923076923,1
62,322,88,17,1,0,2,2,142,1,11,1,0,0,3,1,0,4,0,0,1,1,597,0,0,597,0,Aatthikulam,"Hindu  Primary  School,  Aatthikulam.","1.Therku  Elanthaikulam  (R.V)  And  (P)  Aathikulam  Block  6  , 999.OVERSEAS  ELECTORS",All  Voters,597,All India Anna Dravida Munnetra Kazhagam,322,142,180,Tamilaga Vettri Kazhagam,3,1,4,2,10,16,8,8,10,5,10,16,16,7,10,16,6,16,16,10,10,30.15075376884422,22,569,0.1546572934973638,0.5659050966608085,0.029876977152899824,0.24956063268892795,3
63,169,121,33,0,0,2,1,111,0,160,1,0,0,4,0,0,0,0,0,0,0,602,0,0,602,0,Rajapudhukudi,"T.D.T.A..  Appasamy  Middle  School,  New Building  ,  Rajapudhukudi.","1.Rajapudhukudi  (R.V)  And  (P)  Rajapudhukudi  Block  1  ,  999.OVERSEAS ELECTORS",All  Voters,602,All India Anna Dravida Munnetra Kazhagam,169,160,9,Independent,3,1,5,4,10,10,7,8,10,2,8,10,10,6,10,10,10,10,10,10,10,1.495016611295681,165,434,0.27880184331797236,0.38940092165898615,0.07603686635944701,0.2557603686635945,3
64,98,95,23,0,0,1,1,108,0,197,1,0,0,3,0,2,0,1,0,0,2,532,0,0,532,0,Rajapudhukudi,"T.D.T.A..  Appasamy  Middle  School,  New Building  North,  Rajapudhukudi.","1.Rajapudhukudi  (R.V)  And  (P)  Rajapudhukudi  Block  2  ,  999.OVERSEAS ELECTORS",All  Voters,532,Independent,197,108,89,Tamilaga Vettri Kazhagam,4,3,5,2,13,13,9,9,13,1,9,13,13,6,13,7,13,9,13,13,7,16.72932330827068,206,324,0.2932098765432099,0.30246913580246915,0.07098765432098765,0.3333333333333333,2
65,223,214,56,1,0,9,0,203,1,69,0,0,0,0,0,1,0,0,1,0,1,779,0,4,783,0,Rajapudukudi,"T.D.T.A  Appasamy  Middle  School  ,  Old Building  ,  Rajapudukudi.","1.Sannathu  puthukudi  (R.V)  And  (P)  Sannathu  puthukudi  Block  1  ,
2.Sannathu  Puthukudi  (R.V)  And  (P)  Sannathu  Puthukudi  Block  2  ,
3.Sannathu  Puthukudi  (R.V)  And  (P)  Sannathu  Puthukudi  Block  3  ,
4.Sannathu  Puthukudi  (R.V)  And  (P)  Sannathu  Puthukudi  Block  4  ,
5.Sannathu  Puthukudi  (R.V)  And  (P)  Sannathu  Puthukudi  Block  5  , 999.OVERSEAS  ELECTORS",All  Voters,779,All India Anna Dravida Munnetra Kazhagam,223,214,9,Dravida Munnetra Kazhagam,2,1,5,3,7,12,6,12,7,4,12,12,12,12,12,7,12,12,7,12,7,1.155327342747112,72,696,0.3074712643678161,0.3204022988505747,0.08045977011494253,0.2916666666666667,0
66,52,202,25,0,0,3,1,134,1,182,0,0,0,3,1,3,2,0,0,0,0,609,0,7,616,0,Therkumayilodai,"Public  Library,  Therkumayilodai","1.Therkumaillodai  (R.V)  And  (P)  Therkumaillodai  Brlock  1  , 2.TherkuMaillodai  (R.V)  And  (P)  TherkuMaillodai  Block  2  , 999.OVERSEAS  ELECTORS",All  Voters,609,Dravida Munnetra Kazhagam,202,182,20,Independent,1,4,5,3,13,13,6,10,10,2,13,13,13,6,10,6,9,13,13,13,13,3.284072249589491,191,413,0.4891041162227603,0.12590799031476999,0.06053268765133172,0.324455205811138,1
67,83,127,14,0,0,0,0,104,0,4,2,0,0,0,1,1,0,0,0,0,0,336,0,0,336,0,Therkumayilodai,"Community  Hall,  Therkumayilodai","1.TherkuMaillodai  (R.V)  And  (P)  VadakuMaillodai  Block  4  ,
2.TherkuMaillodai  (R.V)  And  (P)  Kailasapuram  Block  5  ,  999.OVERSEAS ELECTORS",All  Voters,336,Dravida Munnetra Kazhagam,127,104,23,Tamilaga Vettri Kazhagam,1,3,4,2,9,9,9,9,9,5,6,9,9,9,7,7,9,9,9,9,9,6.845238095238096,8,328,0.3871951219512195,0.2530487804878049,0.042682926829268296,0.3170731707317073,1
68,184,104,52,1,0,0,2,149,4,535,1,4,2,4,2,10,2,1,0,0,2,1059,0,0,1059,0,Thalaiyal-nadantha nkulam,"T.D.T.A.  Primary  School  , Thalaiyalnadanthankulam.","1.Therkumayelodai  (R.V)  And  (P)  Thalaial  nadanthankulam  Block  4  , 2.Therkumayelodai  (R.V)  And  (P)  Thalaial  Nadanthankulam  Block  5  , 999.OVERSEAS  ELECTORS",All  Voters,1059,Independent,535,184,351,All India Anna Dravida Munnetra Kazhagam,4,2,5,3,15,18,18,10,7,1,15,7,10,7,10,6,10,15,18,18,10,33.14447592067989,563,489,0.21267893660531698,0.37627811860940696,0.10633946830265849,0.3047034764826176,0
69,175,217,37,0,0,0,1,188,0,0,0,1,2,1,0,3,1,1,0,0,0,627,0,1,628,0,Kayathar,"R.C.  Primary  School,  Main  Building  East Side,  Kayathar.","1.Kayathar  (F.G.T.P)  Pillaiarkovil  street  ward  1  ,  2.Kayathar  (F.G.T.P) Sakthi  Vinayagar  Kovil  Street  ,  3.Kayathar  (F.G.T.P)  Indhira  Nagar  ,
4.Kayathar  (F.G.T.P)  KottaiPillaiar  Kovil  Street  Ward  2  ,  999.OVERSEAS
ELECTORS",All  Voters,627,Dravida Munnetra Kazhagam,217,188,29,Tamilaga Vettri Kazhagam,1,3,4,2,12,12,12,7,12,12,12,7,6,7,12,5,7,7,12,12,12,4.625199362041467,9,617,0.35170178282009723,0.28363047001620745,0.059967585089141004,0.3047001620745543,2
70,138,200,33,0,0,0,1,176,0,0,0,1,0,0,0,1,0,0,1,0,1,552,0,2,554,0,Kayathar,"R.C.  Primary  School,  Main  Building  West Side,  Kayathar.","1.Kayathar  (F.G.T.P)  Theyagaraja  Bhawather  Street  ,  2.Kayathar  (F.G.T.P) RajaKovil  Street  ,  3.Kayathar  (F.G.T.P)  LurdumathaKovil  Street  ,
4.Kayathar  (F.G.T.P)  Ambalavanar  Street  8  ,  5.Kayathar  (F.G.T.P) Sudalaimadan  Kovil  Street  Ward  ,  6.Kayathar  (F.G.T.P)  KatturajaStreet  ,
7.Kayathar  (F.G.T.P)  Upatheiyar  Kennatru  Theru  ,  8.Kayathar  (F.G.T.P) Kalaivanarstreet  ,  9.Kayathar  (F.G.T.P)  Kaliamman  Kovil  Street  ,
999.OVERSEAS  ELECTORS",All  Voters,552,Dravida Munnetra Kazhagam,200,176,24,Tamilaga Vettri Kazhagam,1,3,4,2,10,10,10,5,10,10,10,5,10,10,10,5,10,10,5,10,5,4.347826086956522,4,547,0.3656307129798903,0.2522851919561243,0.0603290676416819,0.3217550274223035,2
